revolution,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell,birth_cohort_start,birth_cohort_end,overlaps_window
English Revolution,Politics,Administration & Law,Politics + Administration & Law,1715,827,96,56.538773100111264,0.7585859925312759,0.5682225215892469,0.9280657245663759,0.09308348998000607,0.0004997501249375312,0.11608222490931076,0.07202775675170706,0.14668397807855144,-0.21547284028225375,0.35952835378566783,0.6233978859532503,0.0020989505247376314,0.6325121678995356,associated,False,1520,1559,True
English Revolution,Politics,Military,Politics + Military,1715,827,39,25.96363413357011,0.5778414591535838,0.23089334411355789,0.8737007873336144,0.16412130574179098,0.001999000499750125,0.0471584038694075,-0.13183694583854919,0.2119514400010733,-0.5472617682406529,0.28358787656355444,0.5339320951162954,0.005247376311844078,0.5990923517806938,associated,False,1520,1559,True
English Revolution,Politics,Business,Politics + Business,1715,827,55,63.43900413297597,-0.20420850247105338,-0.5266765113487833,0.0430293613480863,0.14482497563124222,0.15292353823088456,0.06650544135429262,-0.903753053124386,0.16399599750519125,-1.225185208234561,-0.5823208980142112,3.5715803483118364e-08,0.17841079460269865,1.5000637462909712e-07,not distinguishable,False,1520,1559,True
English Revolution,Politics,Nobility & Kinship,Politics + Nobility & Kinship,1715,827,158,113.077458571357,0.4808063051191431,0.34295724105321745,0.6143045482506582,0.06933885348617323,0.0004997501249375312,0.19105199516324062,-0.6143351221080829,0.11243119824956264,-0.8347002706772257,-0.39396997353894014,4.6526560755106165e-08,0.0020989505247376314,1.6284296264287158e-07,associated,False,1520,1559,True
English Revolution,Politics,Religion,Politics + Religion,1715,827,34,58.69570899941424,-0.7788962391385271,-1.2280185650519397,-0.42430912168626134,0.206709681686507,0.0014992503748125937,0.041112454655380895,-2.1694422217956344,0.1878895760100199,-2.5377057907752736,-1.8011786528159954,7.700624247923731e-31,0.004497751124437781,8.085655460319917e-30,dissociated,False,1520,1559,True
English Revolution,Politics,Learning & Culture,Politics + Learning & Culture,1715,827,33,97.28542104077123,-1.5454582923062683,-2.0105860429846416,-1.1877293552856574,0.22049241944201614,0.0004997501249375312,0.03990326481257558,-2.827347952788572,0.18820846148792675,-3.1962365373049084,-2.4584593682722358,5.235478233885734e-51,0.0020989505247376314,1.099450429116004e-49,dissociated,False,1520,1559,True
English Revolution,Administration & Law,Military,Administration & Law + Military,1715,827,4,8.725103269326858,-1.035640059900025,-2.7162316421549733,-0.06758409583660548,0.7351799525091762,0.11244377811094453,0.0048367593712212815,-1.1330891053243761,0.48823967307368143,-2.0900388645487915,-0.17613934609996051,0.02029957906709918,0.14758245877061468,0.02841941069393885,not distinguishable,True,1520,1559,True
English Revolution,Administration & Law,Business,Administration & Law + Business,1715,827,10,21.318736025778318,-1.0551781998856329,-2.1195858456595764,-0.4062960910558085,0.4377216874804059,0.026486756621689155,0.012091898428053204,-1.1328411307183015,0.325180855126157,-1.770195606765569,-0.4954866546710338,0.0004944846953992029,0.055622188905547224,0.0009440162366712054,not distinguishable,False,1520,1559,True
English Revolution,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,1715,827,32,37.99978455991499,-0.24441065454406025,-0.7233708709955181,0.10880221384178873,0.2111914567576537,0.2288855572213893,0.03869407496977025,-0.8778951655924925,0.19854334791150655,-1.2670401274990453,-0.48875020368593963,9.793639368641594e-06,0.2403298350824588,2.2851825193497052e-05,not distinguishable,False,1520,1559,True
English Revolution,Administration & Law,Religion,Administration & Law + Religion,1715,827,10,19.72474730816227,-0.945732349570353,-1.9547826622801396,-0.28029260811362705,0.42738371296094907,0.03248375812093953,0.012091898428053204,-1.6405712585510777,0.3227225221298463,-2.2731074019255764,-1.008035115176579,3.704741401313797e-07,0.06201444732179365,9.724946178448718e-07,not distinguishable,False,1520,1559,True
