revolution,slug,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell
Glorious Revolution,glorious-revolution,Politics,Administration & Law,Politics + Administration & Law,3126,1605,174,121.34386647997376,0.5181934076276087,0.3791924594559419,0.6432802409240707,0.06735578959705793,0.0004997501249375312,0.10841121495327102,-0.08086327522980521,0.11043841903394867,-0.29732257653634464,0.13559602607673418,0.46404504101445154,0.0010494752623688157,0.48724729306517417,associated,False
Glorious Revolution,glorious-revolution,Politics,Military,Politics + Military,3126,1605,138,88.81667183729259,0.6328845774274419,0.4807465314068746,0.7689586151951706,0.0747964121311573,0.0004997501249375312,0.08598130841121496,0.01471046613543545,0.12450293188796946,-0.2293152803649847,0.2587362126358556,0.9059459763152825,0.0010494752623688157,0.9059459763152825,associated,False
Glorious Revolution,glorious-revolution,Politics,Business,Politics + Business,3126,1605,113,109.04811238012891,0.05112767200402163,-0.15084564615097834,0.2252507282680711,0.0958304501964008,0.5812093953023488,0.07040498442367601,-0.7372012171349969,0.12054729149565743,-0.9734739084664854,-0.5009285258035083,9.62834499159571e-10,0.5812093953023488,2.888503497478713e-09,not distinguishable,False
Glorious Revolution,glorious-revolution,Politics,Nobility & Kinship,Politics + Nobility & Kinship,3126,1605,322,237.04289990247574,0.4411110749345609,0.3517622160208024,0.5297510119469983,0.04590995415736759,0.0004997501249375312,0.20062305295950156,-0.19997823022344474,0.08521133015446393,-0.366992437326194,-0.032964023120695435,0.01893286312397058,0.0010494752623688157,0.022088340311299012,associated,False
Glorious Revolution,glorious-revolution,Politics,Religion,Politics + Religion,3126,1605,78,137.4082683234025,-0.8129443974563034,-1.1002840671720948,-0.5898971336768278,0.13019930729632384,0.0004997501249375312,0.048598130841121495,-1.9184940914485265,0.12872997343529094,-2.1708048393816965,-1.6661833435153564,3.1396266381811587e-50,0.0010494752623688157,3.296607970090217e-49,dissociated,False
Glorious Revolution,glorious-revolution,Politics,Learning & Culture,Politics + Learning & Culture,3126,1605,102,233.34018101639165,-1.1898989413209105,-1.4259027517448044,-0.9897780628953714,0.11300529112500968,0.0004997501249375312,0.06355140186915888,-2.7947827279540647,0.11385165269214463,-3.017931967230668,-2.5716334886774614,4.590001031665098e-133,0.0010494752623688157,9.639002166496706e-132,dissociated,False
Glorious Revolution,glorious-revolution,Administration & Law,Military,Administration & Law + Military,3126,1605,9,21.01820186295237,-1.1795581076753414,-2.263293422535159,-0.4842446785563519,0.4681921804516194,0.019490254872563718,0.005607476635514018,-1.4463738078626145,0.3347430902761367,-2.1024702648038422,-0.7902773509213866,1.5543114747416996e-05,0.029235382308845575,2.3314672121125494e-05,dissociated,True
Glorious Revolution,glorious-revolution,Administration & Law,Business,Administration & Law + Business,3126,1605,13,25.805912238844957,-0.9624276735754538,-1.925486639693407,-0.3441947262788293,0.4020585858152769,0.025987006496751622,0.00809968847352025,-1.3027157272565495,0.28330131963895183,-1.8579863137488952,-0.7474451407642039,4.2587104261141825e-06,0.0341079460269865,6.8794553037229106e-06,dissociated,False
Glorious Revolution,glorious-revolution,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,3126,1605,60,56.09549893354483,0.09624782297793467,-0.2307028507011996,0.37940349813208296,0.15106657505205118,0.5157421289355323,0.037383177570093455,-0.49553976201430383,0.14733050598110092,-0.7843075537372617,-0.20677197029134603,0.0007697293931340333,0.5415292353823089,0.0010102698284884188,not distinguishable,False
Glorious Revolution,glorious-revolution,Administration & Law,Religion,Administration & Law + Religion,3126,1605,17,32.51725899559484,-0.9158654344866898,-1.683497265477633,-0.39223836446649835,0.3273869606009216,0.010994502748625687,0.01059190031152648,-1.5046099914783246,0.24979448544611008,-1.9942071829527004,-1.015012800003949,1.7079957614184514e-09,0.020989505247376312,4.263464112371217e-09,dissociated,False
Glorious Revolution,glorious-revolution,Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,3126,1605,39,55.219261495465055,-0.4963234832587062,-0.960388042264015,-0.1391980327538771,0.21064778169889212,0.021989005497251374,0.024299065420560748,-1.47650287283338,0.17298073553899823,-1.8155451144898165,-1.1374606311769435,1.393706563724321e-17,0.030784607696151926,5.853567567642148e-17,dissociated,False
Glorious Revolution,glorious-revolution,Military,Business,Military + Business,3126,1605,12,18.88843091346302,-0.6332679573988489,-1.5313230868789136,-3.2427344452461135e-05,0.39311671075388244,0.10344827586206896,0.007476635514018692,-1.0630315655390294,0.29507840251068856,-1.641385234459979,-0.4846778966180799,0.000315123641087637,0.1206896551724138,0.0004411730975226918,not distinguishable,False
Glorious Revolution,glorious-revolution,Military,Nobility & Kinship,Military + Nobility & Kinship,3126,1605,47,41.0586514576911,0.19277867264868423,-0.20739279937425403,0.513155334145435,0.1791988787841466,0.2623688155922039,0.029283489096573207,-0.4388806910162248,0.16499240754626215,-0.7622658098068986,-0.11549557222555096,0.007813940433821059,0.28998658565454116,0.009652514653543661,not distinguishable,False
Glorious Revolution,glorious-revolution,Military,Religion,Military + Religion,3126,1605,2,23.80074745464483,-3.281000689655131,-5.670397148940185,-2.051149465671785,0.9854919983624304,0.0004997501249375312,0.0012461059190031153,-3.211253629261407,0.6371255056948569,-4.460019620423327,-1.9624876380994876,4.6499351116087285e-07,0.0010494752623688157,8.137386445315275e-07,dissociated,True
