country,domain,n_holders,share_of_classified,cross_domain_rate
Poland,Political,2853,0.24276718856364873,0.5264633718892394
Poland,Ideational,8959,0.7623383253914228,0.1986828887152584
Poland,Economic,1104,0.09394145677331518,0.7907608695652174
Poland,Security,1238,0.10534377127297481,0.524232633279483
Portugal,Political,2752,0.3100495718792249,0.5712209302325582
Portugal,Ideational,6220,0.7007661108607481,0.22508038585209003
Portugal,Economic,1390,0.1566020730058585,0.6496402877697842
Portugal,Security,685,0.07717440288418206,0.6817518248175183
Romania,Political,1345,0.2946976336546889,0.5018587360594795
Romania,Ideational,3424,0.7502191060473269,0.22546728971962618
Romania,Economic,555,0.12160385626643296,0.7603603603603604
Romania,Security,248,0.05433829973707274,0.592741935483871
Russia,Political,4196,0.20087127196131935,0.5386081982840801
Russia,Ideational,15311,0.7329695054813539,0.20077068774083992
Russia,Economic,2659,0.12729187610704198,0.752914629559985
Russia,Security,3038,0.14543539662023075,0.4259381171823568
Spain,Political,11691,0.2755751461436923,0.5409289196818066
Spain,Ideational,31655,0.7461578351876297,0.2128257779181804
Spain,Economic,5283,0.12452856873467848,0.7293204618587924
Spain,Security,3333,0.07856402036583066,0.6486648664866487
Sweden,Political,10592,0.1805875232298433,0.5539086102719033
Sweden,Ideational,44349,0.7561250063935349,0.18478432433651265
Sweden,Economic,11323,0.1930506538454981,0.6578645235361653
Sweden,Security,4132,0.07044822941708012,0.47797676669893513
Switzerland,Political,5687,0.26353104726598703,0.41462985756989623
Switzerland,Ideational,16133,0.7475903614457832,0.18756585879873552
Switzerland,Economic,3003,0.1391566265060241,0.6406926406926406
Switzerland,Security,587,0.027201112140871175,0.5996592844974447
Turkey,Political,1982,0.3200904392764858,0.5090817356205852
Turkey,Ideational,4235,0.6839470284237726,0.21723730814639905
Turkey,Economic,599,0.09673772609819122,0.5959933222036727
Turkey,Security,694,0.11208010335917312,0.5043227665706052
US,Political,78075,0.28544843647744017,0.3593211655459494
US,Ideational,182619,0.6676696512465404,0.17503655150887915
US,Economic,42364,0.15488616795299745,0.6564535926730243
US,Security,19513,0.07134108666006135,0.5267770204479065
United Kingdom,Political,36032,0.2707157829886025,0.3867395648312611
United Kingdom,Ideational,87754,0.6593137439049129,0.19680014586229688
United Kingdom,Economic,21800,0.16378785715895686,0.6195412844036697
United Kingdom,Security,13196,0.09914424601236674,0.5043194907547742
