country,domain,n_holders,share_of_classified,cross_domain_rate
Argentina,Political,4401,0.29099444591377943,0.523517382413088
Argentina,Ideational,10448,0.6908225337212378,0.19774119448698316
Argentina,Economic,1993,0.1317773075905845,0.613647767185148
Argentina,Security,1591,0.10519703782068236,0.6442489000628535
Australia,Political,11436,0.4093935705591752,0.33744316194473595
Australia,Ideational,15723,0.5628624615164316,0.20810277936780514
Australia,Economic,4751,0.17007947304360277,0.6598610818774995
Australia,Security,1610,0.057635855946158804,0.5627329192546584
Austria,Political,8474,0.2712982231471106,0.42718904885532216
Austria,Ideational,22644,0.7249559788698575,0.1625596184419714
Austria,Economic,4307,0.13789018728989916,0.7376364058509404
Austria,Security,1424,0.04558988314390908,0.526685393258427
Belgium,Political,4497,0.3249747073276485,0.29108294418501224
Belgium,Ideational,9502,0.6866599219540396,0.1579667438434014
Belgium,Economic,1307,0.09445006503830033,0.6809487375669472
Belgium,Security,542,0.03916750975574505,0.5904059040590406
Brazil,Political,10324,0.38601607777154606,0.4427547462223944
Brazil,Ideational,18506,0.6919424191437652,0.22733167621312006
Brazil,Economic,2835,0.10600112170499158,0.7601410934744268
Brazil,Security,775,0.028977378949336323,0.5896774193548387
Canada,Political,18308,0.4322614156868301,0.4438496831986017
Canada,Ideational,24272,0.5730745620248383,0.19528675016479893
Canada,Economic,8361,0.19740756481087973,0.7857911733046287
Canada,Security,1594,0.037635170231855315,0.5809284818067754
Chile,Political,3331,0.45350578624914906,0.4686280396277394
Chile,Ideational,4279,0.582573179033356,0.29235802757653656
Chile,Economic,1272,0.1731790333560245,0.7020440251572327
Chile,Security,494,0.06725663716814159,0.7226720647773279
China,Political,4369,0.3834137779727951,0.4417486839093614
China,Ideational,6910,0.6064063185607723,0.22329956584659913
China,Economic,1504,0.13198771390960948,0.6775265957446809
China,Security,1264,0.11092584466871434,0.6424050632911392
Denmark,Political,1751,0.1804968559942274,0.442604226156482
Denmark,Ideational,7646,0.7881661684362437,0.1477896939576249
Denmark,Economic,1298,0.13380063910937018,0.6394453004622496
Denmark,Security,484,0.04989176373569735,0.45661157024793386
Finland,Political,2149,0.24678456591639872,0.5481619357840857
Finland,Ideational,6722,0.7719338539274231,0.18714668253495984
Finland,Economic,1255,0.14412034910427193,0.750597609561753
Finland,Security,361,0.041456132292145155,0.4986149584487535
France,Political,32196,0.28124181065357534,0.36610137905329854
France,Ideational,78230,0.6833627421862716,0.16978141377987985
France,Economic,12857,0.11230978878037702,0.6777630862565139
France,Security,10931,0.09548559548559549,0.520446436739548
Germany,Political,61115,0.28003958998703243,0.3795631187106275
Germany,Ideational,153299,0.702442757185995,0.18103836293778824
Germany,Economic,29281,0.13417064933993778,0.6724155595778832
Germany,Security,12679,0.05809738953523005,0.4444356810474012
Greece,Political,1400,0.29882604055496265,0.5464285714285714
Greece,Ideational,3400,0.7257203842049093,0.20705882352941177
Greece,Economic,458,0.09775880469583778,0.631004366812227
Greece,Security,447,0.09541088580576307,0.6308724832214765
Hungary,Political,1727,0.26762746009607935,0.48928778228141284
Hungary,Ideational,5015,0.7771579110491245,0.20438683948155534
Hungary,Economic,667,0.10336277700294437,0.7931034482758621
Hungary,Security,336,0.05206880520688052,0.5505952380952381
India,Political,10448,0.3612350032845832,0.30733154670750384
India,Ideational,19066,0.6591985616983024,0.18787370187768804
India,Economic,2993,0.10348165819589945,0.6829268292682927
India,Security,1181,0.04083255540573246,0.5867908552074513
Iran,Political,1437,0.33403068340306835,0.5441892832289492
Iran,Ideational,3219,0.7482566248256625,0.2684063373718546
Iran,Economic,517,0.1201766620176662,0.7485493230174082
Iran,Security,209,0.048582054858205485,0.6076555023923444
Ireland,Political,4772,0.3914041994750656,0.33968985750209557
Ireland,Ideational,6965,0.5712762467191601,0.18147882268485283
Ireland,Economic,1724,0.1414041994750656,0.6276102088167054
Ireland,Security,962,0.07890419947506562,0.5145530145530145
Israel,Political,1759,0.28648208469055375,0.5014212620807277
Israel,Ideational,4593,0.7480456026058632,0.24842151099499238
Israel,Economic,856,0.13941368078175895,0.6904205607476636
Israel,Security,364,0.05928338762214984,0.6868131868131868
Italy,Political,17550,0.2351254672365054,0.41937321937321936
Italy,Ideational,56078,0.7513029032301282,0.13993009736438533
Italy,Economic,7943,0.10641604480111466,0.6403122246002769
Italy,Security,4122,0.055224340509907426,0.4393498301795245
Japan,Political,2694,0.13327396853665777,0.32925018559762437
Japan,Ideational,15388,0.7612545760364104,0.10300233948531323
Japan,Economic,1885,0.09325220144454338,0.5989389920424403
Japan,Security,2261,0.11185317106955575,0.18885448916408668
Lithuania,Political,1780,0.5650793650793651,0.5185393258426966
Lithuania,Ideational,1847,0.5863492063492064,0.41905793178126693
Lithuania,Economic,377,0.11968253968253968,0.7718832891246684
Lithuania,Security,196,0.06222222222222222,0.5714285714285714
Mexico,Political,6017,0.41778919594500763,0.3227522020940668
Mexico,Ideational,8404,0.5835300652687126,0.22572584483579247
Mexico,Economic,1569,0.1089432023330093,0.7036328871892925
Mexico,Security,1305,0.09061241494236912,0.6459770114942529
Netherlands,Political,3110,0.20392105435709135,0.44308681672025724
Netherlands,Ideational,12086,0.7924726247459183,0.15621380109217275
Netherlands,Economic,1746,0.11448429611173037,0.6603665521191294
Netherlands,Security,710,0.04655432430660285,0.5394366197183098
New Zealand,Political,3208,0.37259001161440186,0.3472568578553616
New Zealand,Ideational,4673,0.5427409988385599,0.25208645409800984
New Zealand,Economic,2031,0.23588850174216028,0.5642540620384048
New Zealand,Security,563,0.0653890824622532,0.5186500888099467
Norway,Political,5407,0.36737328441364314,0.4111337155539116
Norway,Ideational,9153,0.6218915613534448,0.21555774063148694
Norway,Economic,2561,0.174004620192961,0.631393986723936
Norway,Security,739,0.0502106264438103,0.6373477672530447
Peru,Political,1626,0.45841556244713844,0.5461254612546126
Peru,Ideational,2178,0.6140400338314068,0.31313131313131315
Peru,Economic,530,0.14942204680011278,0.7943396226415095
Peru,Security,329,0.09275444037214547,0.7325227963525835
