country,era,n_classified,n_crossings,crossing_rate,ci_low,ci_high
Argentina,1600-1799,769,446,0.5799739921976593,0.5447762798201122,0.6143766436250025
Argentina,1800-1899,2796,895,0.32010014306151646,0.30306477866434217,0.3376291805939245
Argentina,1900-2020,11531,1951,0.16919608013181858,0.16246318241222216,0.17614932181150292
Australia,1600-1799,294,113,0.3843537414965986,0.33058002610854126,0.44111069808848163
Australia,1800-1899,7919,2197,0.2774340194468999,0.2676823156556382,0.28740155728207134
Australia,1900-2020,19721,3276,0.16611733684904417,0.16098786913194393,0.17137685819747603
Austria,1400-1599,207,37,0.178743961352657,0.13255020541578227,0.23664448861044401
Austria,1600-1799,2370,448,0.1890295358649789,0.1737741270144051,0.20529143490008828
Austria,1800-1899,10216,2143,0.20976898981989037,0.20198361362716682,0.21777255950177882
Austria,1900-2020,18387,2981,0.16212541469516506,0.15686867633812648,0.16752330798520107
Belgium,1400-1599,489,55,0.11247443762781185,0.08743746889247549,0.14355277219106938
Belgium,1600-1799,947,174,0.18373812038014783,0.16036680681104673,0.20966496293903572
Belgium,1800-1899,4135,759,0.18355501813784764,0.17205102192946137,0.1956464516824788
Belgium,1900-2020,8127,1009,0.12415405438661252,0.1171616854735568,0.13150157713384658
Brazil,1600-1799,634,185,0.2917981072555205,0.25775053300653905,0.3283536031927933
Brazil,1800-1899,4828,1374,0.28458989229494613,0.2720370775116251,0.29748523464364085
Brazil,1900-2020,21247,4125,0.19414505577257965,0.18888192090918055,0.19951877188973427
Canada,1600-1799,1699,840,0.49440847557386697,0.4706739204677704,0.5181682595682354
Canada,1800-1899,11017,4426,0.40174276118725605,0.3926238789298238,0.4109301436595218
Canada,1900-2020,29621,4911,0.16579453765909322,0.16160269044734124,0.17007306102739414
Chile,1600-1799,364,126,0.34615384615384615,0.2991159121796019,0.3964052034310305
Chile,1800-1899,1613,453,0.28084314941103533,0.25945152582757847,0.30327620210816986
Chile,1900-2020,5346,1444,0.27010849233071454,0.25837415531889873,0.282172989104966
China,1000-1399,283,61,0.21554770318021202,0.1716178778883024,0.26709672975577714
China,1400-1599,218,45,0.20642201834862386,0.15800302153149337,0.26500871296735634
China,1600-1799,361,71,0.19667590027700832,0.15895760391064426,0.24078189947932002
China,1800-1899,1371,464,0.3384390955506929,0.3138740833231119,0.36390697887343487
China,1900-2020,8079,1795,0.2221809629904691,0.21324915181091147,0.2313768569432375
China,Pre-1000,1083,216,0.1994459833795014,0.17672817830047907,0.22428849239007967
Denmark,1400-1599,214,26,0.12149532710280374,0.08427493466277203,0.1720654521136747
Denmark,1600-1799,1263,227,0.17973079968329375,0.15953583396154877,0.20186814898312241
Denmark,1800-1899,3446,553,0.1604759141033082,0.14859979842151172,0.1731081895626323
Denmark,1900-2020,4737,669,0.14122862571247624,0.1316015497064106,0.15143714114544146
Finland,1600-1799,361,64,0.1772853185595568,0.14134723490068057,0.22001945135439555
Finland,1800-1899,2669,795,0.2978643686774073,0.280814847983551,0.3154949370781602
Finland,1900-2020,5646,917,0.1624158696422246,0.15302507778432062,0.1722657409883685
France,1000-1399,1088,123,0.1130514705882353,0.09558071573573672,0.1332451505804029
France,1400-1599,2674,548,0.2049364248317128,0.19006503497807578,0.22065440414035456
France,1600-1799,22222,5153,0.23188731887318872,0.22638493707546212,0.23748238392623175
France,1800-1899,32826,6357,0.19365746664229574,0.1894185326121142,0.19796809431574772
France,1900-2020,55366,7539,0.1361666004407037,0.13333499846479918,0.13904868846993107
France,Pre-1000,302,16,0.052980132450331126,0.032870716691872484,0.08431935817040917
Germany,1000-1399,924,82,0.08874458874458875,0.07207000613468455,0.1088246638176004
Germany,1400-1599,4877,894,0.18330941152347754,0.17270080896346915,0.19441653407835383
Germany,1600-1799,19879,3885,0.19543236581316967,0.18997906072259407,0.2010033630371968
Germany,1800-1899,67408,13687,0.20304711606930928,0.2000272856300984,0.2061007914286954
Germany,1900-2020,124944,19575,0.15667018824433346,0.15466521278611778,0.1586962754846808
Germany,Pre-1000,205,14,0.06829268292682927,0.04111261707817787,0.11135509050498565
Greece,1600-1799,271,115,0.42435424354243545,0.3669692078682619,0.4838539571838991
Greece,1800-1899,904,272,0.3008849557522124,0.2718806617873009,0.33157439028345675
Greece,1900-2020,2840,537,0.18908450704225352,0.17510644630077704,0.20390256742206886
Greece,Pre-1000,588,87,0.14795918367346939,0.12154730658851617,0.17894120249905052
Hungary,1600-1799,373,79,0.21179624664879357,0.1733768133020468,0.25609169548254607
Hungary,1800-1899,2121,456,0.214992927864215,0.19803266826357308,0.23298374255970905
Hungary,1900-2020,3751,725,0.19328179152226074,0.1809613118765008,0.20622988148835383
India,1600-1799,555,134,0.24144144144144145,0.2076920077007133,0.2787456519151778
India,1800-1899,3154,779,0.2469879518072289,0.23225080115356683,0.26234069450600017
India,1900-2020,24803,3812,0.15369108575575535,0.1492563299875684,0.15823310067014176
Iran,1800-1899,346,85,0.24566473988439305,0.20326109719171054,0.2936540781333508
Iran,1900-2020,3578,950,0.2655114589155953,0.2512984774384311,0.2802274281180848
Ireland,1400-1599,288,39,0.13541666666666666,0.10066609719122874,0.17976547939004003
Ireland,1600-1799,2095,344,0.16420047732696896,0.14895409606792812,0.18067611518765211
Ireland,1800-1899,3622,866,0.2390944229707344,0.22548451274346942,0.253257195112715
Ireland,1900-2020,6016,966,0.1605718085106383,0.1515113991926925,0.17006543432399004
Israel,1800-1899,360,108,0.3,0.25497643810277004,0.3492469382236313
Israel,1900-2020,5723,1320,0.2306482614013629,0.21991716434159675,0.24174072401347835
Italy,1000-1399,1658,234,0.1411338962605549,0.125203535389601,0.15872340445833638
Italy,1400-1599,5610,632,0.11265597147950089,0.10464595760479893,0.12119611104209697
Italy,1600-1799,7822,900,0.1150600869342879,0.10817668066247609,0.1223214168201001
Italy,1800-1899,17112,3591,0.20985273492286116,0.20381697003296964,0.21601874520290873
Italy,1900-2020,42101,5672,0.13472364076862783,0.1314955082179949,0.13801842815553614
Italy,Pre-1000,338,23,0.06804733727810651,0.04576785803164366,0.10003534438725445
Japan,1000-1399,364,31,0.08516483516483517,0.060644990071256163,0.11834944666455623
Japan,1400-1599,763,62,0.08125819134993446,0.06390351626585951,0.10280835747703602
Japan,1600-1799,633,68,0.10742496050552923,0.08562675627816078,0.13395940141003043
Japan,1800-1899,2733,533,0.19502378338821807,0.18060116217324165,0.21030257153206303
Japan,1900-2020,15464,1290,0.08341955509570616,0.07916405792634408,0.0878819764731807
Japan,Pre-1000,257,30,0.11673151750972763,0.08300148517301194,0.16175088561446976
Lithuania,1800-1899,359,122,0.3398328690807799,0.29276233365117105,0.39029495636188144
Lithuania,1900-2020,2443,854,0.3495702005730659,0.3309110486378818,0.3687017092946301
Mexico,1600-1799,449,185,0.41202672605790647,0.36743285135624293,0.4581132115496386
Mexico,1800-1899,2424,935,0.3857260726072607,0.3665433220775137,0.40527045687742314
Mexico,1900-2020,11419,1757,0.15386636307907872,0.14736475937937793,0.1606007822245606
Netherlands,1400-1599,1419,233,0.164200140944327,0.14583611010963787,0.18437745688193735
Netherlands,1600-1799,3023,494,0.16341382732385049,0.15066180942747115,0.17702022058030992
Netherlands,1800-1899,2507,478,0.190666134822497,0.17576661741682198,0.20651221689913002
Netherlands,1900-2020,8221,1191,0.14487288651015692,0.13743016256369314,0.15264735090477297
New Zealand,1800-1899,3315,1018,0.30708898944193064,0.29161669731898715,0.3230078753029784
New Zealand,1900-2020,5246,826,0.1574532977506672,0.14784805692393296,0.1675598593834848
Norway,1600-1799,760,290,0.3815789473684211,0.3477194138126413,0.416629634471715
Norway,1800-1899,4209,1173,0.2786885245901639,0.26534973997326144,0.2924309275932571
Norway,1900-2020,9553,1660,0.1737674029100806,0.16630054684960943,0.18149653288853335
Peru,1800-1899,737,308,0.417910447761194,0.38281708934190645,0.453855149366071
Peru,1900-2020,2586,740,0.2861562258313998,0.2690635886328579,0.30388326649527037
Poland,1400-1599,379,71,0.18733509234828497,0.15126163420223365,0.22968338326713233
Poland,1600-1799,813,192,0.23616236162361623,0.2082499536636673,0.2665564225052252
Poland,1800-1899,2965,751,0.2532883642495784,0.23796038760269025,0.26925481714248706
Poland,1900-2020,7495,1374,0.18332221480987324,0.1747252069322726,0.1922436859697991
Portugal,1000-1399,232,30,0.12931034482758622,0.09210020250876778,0.17859673984576174
Portugal,1400-1599,585,143,0.24444444444444444,0.21135963307320277,0.28086374244917883
Portugal,1600-1799,931,299,0.32116004296455425,0.2919542310791069,0.3518356901225169
Portugal,1800-1899,2379,857,0.36023539302227825,0.34118363159466664,0.37973780942768237
Portugal,1900-2020,4729,838,0.17720448297737365,0.16658460312579038,0.18834838258833114
Romania,1800-1899,1428,419,0.2934173669467787,0.2703802699428475,0.31756297741077044
Romania,1900-2020,3006,571,0.18995342648037258,0.1763295445777406,0.20436876193779155
Russia,1600-1799,1544,398,0.25777202072538863,0.23657380631732833,0.2801726101118465
Russia,1800-1899,7007,1636,0.23348080490937634,0.22372296552293675,0.2435307233922428
Russia,1900-2020,12226,2262,0.18501554065107148,0.1782316168196636,0.19199734836987736
Spain,1000-1399,460,50,0.10869565217391304,0.08342536739370696,0.14044760993303562
Spain,1400-1599,2547,559,0.2194738908519827,0.20382881698263716,0.23596391652147375
