country,domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
US,Political,Ideational,Political + Ideational,273517,49054,13330,14068.175023460912,-0.07775556910472828,-0.0860265147864859,-0.06965685779325208,0.004169405738065819,0.0004997501249375312,0.27174134627145596,-14.741275443862033,1.4142461043481198,-17.513197808384348,-11.969353079339719,1.9386260479491573e-25,0.0004997501249375312,1.9386260479491573e-25,dissociated
US,Political,Economic,Political + Economic,273517,49054,10403,10838.036687532067,-0.05910102230898681,-0.07125197845157681,-0.047005866119823776,0.006092756153176507,0.0004997501249375312,0.212072409997146,-0.7141453232844933,0.011962493227060462,-0.7375918100095318,-0.6906988365594549,0.0,0.0004997501249375312,0.0,dissociated
US,Political,Security,Political + Security,273517,49054,4321,3147.788290149316,0.45696450610243966,0.42710905756591544,0.4856532572995231,0.015085131845621333,0.0004997501249375312,0.08808659844253272,-0.682564732182355,0.017728704657230657,-0.7173129933105271,-0.6478164710541829,0.0,0.0004997501249375312,0.0,associated
US,Ideational,Economic,Ideational + Economic,273517,49054,15042,13868.788288923457,0.11715059999199003,0.10809728591193422,0.12596764157802062,0.0045378758148079375,0.0004997501249375312,0.3066416602111958,-2.7879483177141386,0.011966665304329436,-2.8114029817106245,-2.7644936537176528,0.0,0.0004997501249375312,0.0,associated
US,Ideational,Security,Ideational + Security,273517,49054,3593,4028.036685339377,-0.1648662072409383,-0.19964124249189988,-0.13038003478942772,0.017471743702620352,0.0004997501249375312,0.07324581073918539,-3.156504836789819,0.019250483536704097,-3.194235784521759,-3.1187738890578793,0.0,0.0004997501249375312,0.0,dissociated
US,Economic,Security,Economic + Security,273517,49054,2365,3103.175024594869,-0.391832344823048,-0.43961086318082504,-0.34820357380493083,0.023327971373766014,0.0004997501249375312,0.04821217433848412,-0.4026325288073855,0.02255714623990424,-0.4468445354375978,-0.3584205221771732,2.9192589234877537e-71,0.0004997501249375312,3.5031107081853047e-71,dissociated
Germany,Political,Ideational,Political + Ideational,218237,38137,13898,14150.134119532022,-0.02593751665746053,-0.031778485998616705,-0.020263407401174705,0.0029300988934322547,0.0004997501249375312,0.3644230012848415,-14.145614501740988,1.4142474157624054,-16.917539436635302,-11.373689566846673,1.4901754365079022e-23,0.0004997501249375312,1.4901754365079022e-23,dissociated
Germany,Political,Economic,Political + Economic,218237,38137,6435,7330.191414870029,-0.18789703502690855,-0.2026960200038289,-0.173738148498716,0.007304293517781199,0.0004997501249375312,0.16873377559850014,-0.7047599344270552,0.014780881468074448,-0.7337304621044811,-0.6757894067496293,0.0,0.0004997501249375312,0.0,dissociated
Germany,Political,Security,Political + Security,218237,38137,2864,1716.674466802747,0.7382467115901856,0.7035441339240839,0.7715264014590115,0.01728893517540743,0.0004997501249375312,0.075097674174686,-0.4902581121569557,0.021754033499284665,-0.5328960178155536,-0.44762020649835776,1.824770865603061e-112,0.0004997501249375312,2.7371562984045915e-112,associated
Germany,Ideational,Economic,Ideational + Economic,218237,38137,12169,11021.674465522618,0.14286102593818786,0.13395659658630954,0.15121692974582746,0.004417897320055287,0.0004997501249375312,0.3190864514775677,-3.3953405312688165,0.015544095782581513,-3.425806959002676,-3.364874103534957,0.0,0.0004997501249375312,0.0,associated
Germany,Ideational,Security,Ideational + Security,218237,38137,1686,2581.19141309081,-0.6142842487455052,-0.6640892093485176,-0.563111182441482,0.026161714935301988,0.0004997501249375312,0.04420903584445551,-4.185661718354815,0.027261297320221856,-4.23909386110245,-4.13222957560718,0.0,0.0004997501249375312,0.0,dissociated
Germany,Economic,Security,Economic + Security,218237,38137,1085,1337.13412018177,-0.3013238271085914,-0.3781825657463414,-0.23168112975995853,0.03704245692756144,0.0004997501249375312,0.028450061619949132,-0.6385611688963848,0.03233439240802139,-0.7019365780161068,-0.5751857597766629,8.236217475453414e-87,0.0004997501249375312,9.883460970544097e-87,dissociated
United Kingdom,Political,Ideational,Political + Ideational,133099,25683,6868,7356.118894510571,-0.09904778955862012,-0.11153451983418022,-0.08691731948156035,0.006499722090600508,0.0004997501249375312,0.26741424288439825,-13.757092711468465,1.4142794921307418,-16.52908051604472,-10.98510490689221,2.306784878056874e-22,0.0004997501249375312,2.306784878056874e-22,dissociated
United Kingdom,Political,Economic,Political + Economic,133099,25683,3994,4655.855526064473,-0.22118628707538243,-0.245545321311478,-0.19734173014411477,0.012004711161588839,0.0004997501249375312,0.15551142779270336,-0.8283424221061616,0.018542943460133597,-0.8646865912880235,-0.7919982529242997,0.0,0.0004997501249375312,0.0,dissociated
United Kingdom,Political,Security,Political + Security,133099,25683,3073,1923.025580054702,0.6761294695908817,0.6418925861028298,0.7099239213120507,0.01755321988208796,0.0004997501249375312,0.11965113109839193,-0.35217209094887114,0.021534599740206006,-0.3943799064396749,-0.3099642754580674,4.088189291018511e-60,0.0004997501249375312,4.9058271492222136e-60,associated
United Kingdom,Ideational,Economic,Ideational + Economic,133099,25683,8166,7016.025579322433,0.21896108210425577,0.20491648713678062,0.23292067313064044,0.006961949290554015,0.0004997501249375312,0.31795351010395984,-2.8173368608695157,0.017019429241946448,-2.850694942183731,-2.7839787795553006,0.0,0.0004997501249375312,0.0,associated
United Kingdom,Ideational,Security,Ideational + Security,133099,25683,2236,2897.855524902796,-0.3739918146595625,-0.4154348839622475,-0.33391670100750026,0.02121392231370915,0.0004997501249375312,0.08706148035665616,-3.52084844540156,0.02477489368423975,-3.56940723702267,-3.47228965378045,0.0,0.0004997501249375312,0.0,dissociated
United Kingdom,Economic,Security,Economic + Security,133099,25683,1346,1834.1188951450217,-0.4462661737263648,-0.5100939423249553,-0.3856021151916968,0.03213791284494444,0.0004997501249375312,0.05240820776389051,-0.6813875335887186,0.02971090834968976,-0.7396209139541106,-0.6231541532233267,2.1324562022934935e-116,0.0004997501249375312,3.1986843034402404e-116,dissociated
France,Political,Ideational,Political + Ideational,114478,19736,6120,6575.940732669852,-0.10365747186329738,-0.11562899653711359,-0.09191708008032384,0.006082662787083028,0.0004997501249375312,0.3100932306445075,-13.641396629953265,1.4142874946842572,-16.41340011953441,-10.869393140372122,5.140043986065e-22,0.0004997501249375312,6.168052783278e-22,dissociated
France,Political,Economic,Political + Economic,114478,19736,2334,3266.908231500617,-0.48503312844499447,-0.5206344963566564,-0.44937595692777654,0.01768736666109723,0.0004997501249375312,0.118261045804621,-0.8587088195244617,0.023690816609795183,-0.9051428200796602,-0.8122748189692631,1.1288564468123158e-287,0.0004997501249375312,2.2577128936246315e-287,dissociated
France,Political,Security,Political + Security,114478,19736,3333,1944.1510364359783,0.7775264372874898,0.7482669504375431,0.8072250228177135,0.015332231276854062,0.0004997501249375312,0.16887920551276855,-0.011300676117894544,0.021839310413336754,-0.05410572452803458,0.031504372292245494,0.6048444623712474,0.0004997501249375312,0.6048444623712474,associated
France,Ideational,Economic,Ideational + Economic,114478,19736,5593,4204.151035771049,0.4117652285898185,0.39262623725983026,0.4322558679629458,0.010070505406805555,0.0004997501249375312,0.2833907580056749,-2.408374284493238,0.019963473027471198,-2.4475026916270815,-2.3692458773593947,0.0,0.0004997501249375312,0.0,associated
France,Ideational,Security,Ideational + Security,114478,19736,1569,2501.908230759598,-0.6730121340650672,-0.7224651055011109,-0.6231072192212541,0.025259389565146482,0.0004997501249375312,0.07949939197405756,-3.9734850246553917,0.029162141934047838,-4.030642822846126,-3.916327226464658,0.0,0.0004997501249375312,0.0,dissociated
France,Economic,Security,Economic + Security,114478,19736,787,1242.9407328629025,-0.6589859162221374,-0.7491034977679716,-0.5732680919245278,0.04454007061986186,0.0004997501249375312,0.03987636805837049,-0.6103548520342986,0.03816652281573191,-0.6851612367531331,-0.5355484673154641,1.4554633208764854e-57,0.0004997501249375312,2.183194981314728e-57,dissociated
Sweden,Political,Ideational,Political + Ideational,58653,11743,2627,2993.5672441712486,-0.18841585926063562,-0.2090755600487975,-0.16933569559732878,0.010025353162983516,0.0004997501249375312,0.22370774078174233,-12.662315293004632,1.4143971773639135,-15.434533760637901,-9.890096825371362,3.4768888669898116e-19,0.0007496251874062968,6.953777733979622e-19,dissociated
Sweden,Political,Economic,Political + Economic,58653,11743,2347,2410.675070237934,-0.038611247849635946,-0.062411136184839004,-0.014495760363777102,0.012503052304953619,0.004997501249375313,0.19986374861619688,0.03175228154056516,0.02586001307356261,-0.018933344083617548,0.08243790716474787,0.2195023457240718,0.004997501249375313,0.2195023457240718,dissociated
Sweden,Political,Security,Political + Security,58653,11743,893,462.75768569084096,0.9476528177393565,0.8772542192529222,1.011714373702744,0.033830119507080224,0.0004997501249375312,0.07604530358511453,0.1836605427558511,0.03935328849949929,0.10652809729683248,0.2607929882148697,3.0567673921008126e-06,0.0007496251874062968,3.6681208705209754e-06,associated
Sweden,Ideational,Economic,Ideational + Economic,58653,11743,4794,4363.75768557489,0.1356440825230075,0.12130870075798297,0.1490150376385543,0.007188511721553242,0.0004997501249375312,0.40824320872008857,-11.882559347660127,1.4143426629496665,-14.654670967041474,-9.11044772827878,4.409187955253173e-17,0.0007496251874062968,6.61378193287976e-17,associated
Sweden,Ideational,Security,Ideational + Security,58653,11743,774,837.6750697027556,-0.11398637222810114,-0.18834094429699386,-0.04182726878781438,0.03771925723090532,0.004997501249375313,0.06591160691475773,-4.126700095950332,0.04346260129647965,-4.2118867944914316,-4.041513397409232,0.0,0.004997501249375313,0.0,dissociated
Sweden,Economic,Security,Economic + Security,58653,11743,308,674.5672446223285,-1.1297607293090102,-1.2814309557501042,-0.9982768738768706,0.07238241931709044,0.0004997501249375312,0.026228391382099973,-1.239208720497031,0.060088315487394434,-1.3569818188523242,-1.1214356221417379,1.702088476055692e-94,0.0007496251874062968,5.106265428167076e-94,dissociated
Italy,Political,Ideational,Political + Ideational,74641,11052,4492,4527.185531518399,-0.01125525614091505,-0.021236771520340952,-0.0012245642728306201,0.005049263027018644,0.02448775612193903,0.4064422728917843,-12.967333136140624,1.414321187867986,-15.739402664361876,-10.195263607919372,4.7923990128093584e-20,0.029385307346326838,9.584798025618717e-20,dissociated
Italy,Political,Economic,Political + Economic,74641,11052,1907,2170.3505879493437,-0.18657737665817828,-0.21363314559995955,-0.16056843018524247,0.013825860864120696,0.0004997501249375312,0.17254795512124502,-0.200136457663694,0.027524559032385792,-0.25408459336717015,-0.14618832196021786,3.563190566828695e-13,0.0007496251874062968,5.344785850243043e-13,dissociated
Italy,Political,Security,Political + Security,74641,11052,961,662.4638810815848,0.5363565845182858,0.4759572922365357,0.5943561379946637,0.029911231412163047,0.0004997501249375312,0.08695258776692001,-0.16810529083988554,0.03780504801134306,-0.24220318494211796,-0.09400739673765314,8.722541670251588e-06,0.0007496251874062968,8.722541670251588e-06,associated
Italy,Ideational,Economic,Ideational + Economic,74641,11052,2842,2543.463880519166,0.1600821618937628,0.13900625823439344,0.18100629360861029,0.01069730465702448,0.0004997501249375312,0.2571480275063337,-4.725210235386685,0.038077801125549704,-4.799842725592763,-4.650577745180607,0.0,0.0007496251874062968,0.0,associated
Italy,Ideational,Security,Ideational + Security,74641,11052,513,776.3505873360227,-0.5972728733929837,-0.6916625918009244,-0.5057690024176947,0.048401557571384805,0.0004997501249375312,0.046416938110749185,-5.076667790760229,0.05076128066895263,-5.176159900871377,-4.977175680649082,0.0,0.0007496251874062968,0.0,dissociated
Italy,Economic,Security,Economic + Security,74641,11052,337,372.1855315954831,-0.1430713096572076,-0.2823765857267193,-0.015374365889484095,0.0674108550824195,0.03498250874562719,0.03049221860296779,-0.3565908061959076,0.05803999322425185,-0.47034919291544125,-0.24283241947637396,8.052923018735103e-10,0.03498250874562719,9.663507622482123e-10,dissociated
