cluster,Economic + Security__mean,Economic + Security__size,Ideational + Economic__mean,Ideational + Economic__size,Ideational + Security__mean,Ideational + Security__size,Political + Economic__mean,Political + Economic__size,Political + Ideational__mean,Political + Ideational__size,Political + Security__mean,Political + Security__size
China group,-1.6851861890721143,5,0.5829526205459036,5,-1.1717113020757537,5,-0.5441755958756971,5,-0.0737672373362895,5,0.8153011271893209,5
Germany group,-0.3902103845958911,16,0.270347045101771,16,-0.6565799512948978,16,-0.3663527243714106,16,-0.04353116322332845,16,0.7459842753340089,16
Sweden group,-1.1598300277676836,3,0.11578942691313877,3,-0.11345598830289487,3,-0.025941461116973184,3,-0.11069803533844137,3,0.7054159277657616,3
US group,-0.29141440977549016,12,0.10169797481964792,12,-0.18206313922222275,12,-0.05916473339666902,12,-0.026519403908865636,12,0.22693610139031004,12
