country,n_elites,n_classified,n_crossings,n_sector_diversified,median_birth,crossing_rate,crossing_rate_ci_low,crossing_rate_ci_high,share_of_all_elites,in_domain_panel,in_sector_panel
US,359101,273517,49054,131235,1942.0,0.1793453423370394,0.17791207976211626,0.18078761210077987,0.17597322822992792,True,True
Germany,250412,218237,38137,97598,1921.0,0.17475038604819532,0.17316282946691258,0.17634939308859282,0.12271146008368873,True,True
United Kingdom,190890,133099,25683,72259,1918.0,0.19296163006483896,0.19085042874255465,0.19509055480441118,0.09354340293346701,True,True
France,139287,114478,19736,49237,1911.0,0.17239993710581947,0.17022280554320654,0.17459905483469293,0.06825595874269905,True,True
Sweden,70429,58653,11743,27291,1925.0,0.2002114128859564,0.19699260033351101,0.20346949341822618,0.03451290442244826,True,True
Italy,99499,74641,11052,30560,1926.0,0.14806875577765571,0.14553885792343385,0.15063487794527486,0.04875831656177398,True,True
Canada,61118,42354,10181,21369,1946.0,0.24037871275440337,0.2363327406267513,0.24447177704253426,0.029950158208851364,True,True
Spain,56443,42424,9538,25217,1942.0,0.22482557043183105,0.22087800594848195,0.22882296587752765,0.027659229356035826,True,True
Brazil,39171,26745,5695,13656,1955.0,0.21293699756963919,0.2080719798679373,0.21788446977510073,0.019195288576179144,True,True
Austria,37593,31235,5614,13251,1926.0,0.17973427245077636,0.17551551731742582,0.18403179701064443,0.018422008206180656,True,True
Australia,55526,27934,5586,14127,1945.0,0.19997136106536836,0.19532218166244697,0.20470305149658136,0.02720986427410388,True,True
India,34674,28923,4765,13023,1951.0,0.1647477785845175,0.16051718723031588,0.16906741560444355,0.016991586533160644,True,True
Russia,40386,20889,4315,10000,1955.0,0.2065680501699459,0.20113210051047775,0.21211190742762864,0.01979068505878254,True,True
Switzerland,27330,21580,3830,9802,1935.0,0.17747914735866543,0.1724389440960209,0.18263415836781488,0.013392745571646778,True,True
Argentina,24493,15124,3309,8143,1953.0,0.21879132504628404,0.2122741580868349,0.22545131360239792,0.012002507035724279,True,True
Norway,20697,14718,3142,6801,1938.0,0.2134800924038592,0.20693518981893277,0.22017452721538172,0.01014232181106379,True,True
Mexico,19797,14402,2893,6828,1956.0,0.20087487848909874,0.19441146055197392,0.2074978315785185,0.009701287379505718,True,True
China,18263,11395,2652,6125,1958.0,0.23273365511189117,0.22506558759029396,0.24058186907758358,0.008949568692827849,True,True
Poland,18496,11752,2402,6003,1944.0,0.20439074200136148,0.19719700053810557,0.21177768316297463,0.009063747606775661,True,True
Netherlands,23591,15251,2401,7260,1943.0,0.15743229952134286,0.1517382739066533,0.16329886158218715,0.011560492527651635,True,True
Ireland,18921,12192,2231,6346,1932.0,0.18298884514435695,0.17622556763447866,0.18995183499757917,0.009272013866122529,True,True
Portugal,13041,8876,2171,5319,1935.0,0.24459215863001352,0.23576139506925375,0.25364391143981735,0.00639058891327646,True,True
Chile,9843,7345,2031,4797,1947.0,0.2765146358066712,0.2664044473386978,0.28685847780041523,0.004823446566473445,True,False
Japan,33023,20214,2014,9836,1963.0,0.0996339170871673,0.09558069917588016,0.10383928243086069,0.016182533370380225,True,True
Belgium,19496,13838,2010,6003,1934.0,0.1452522040757335,0.13947981468114837,0.15122150355962674,0.009553785864062407,True,True
New Zealand,15883,8610,1865,4765,1946.0,0.21660859465737514,0.2080347521264752,0.22543521091533414,0.007783277640485393,True,False
Finland,13666,8708,1779,4129,1943.0,0.20429490124023886,0.19595775305137753,0.21289283945709964,0.006696862824080676,True,False
Denmark,14466,9701,1478,4617,1927.0,0.1523554272755386,0.14534185326477989,0.15964422708505294,0.0070888934299100734,True,False
Israel,7812,6140,1432,3031,1952.0,0.23322475570032572,0.22281580709946686,0.24396732090305195,0.0038281788659240627,True,False
Turkey,10840,6192,1318,3766,1959.0,0.21285529715762275,0.20283940425216998,0.22322726601260892,0.005312014708988331,True,False
Hungary,11652,6453,1292,3356,1936.0,0.20021695335502868,0.19063294943802248,0.21015767859906612,0.0057099257739051685,True,False
Peru,4955,3547,1116,2297,1950.0,0.3146320834508035,0.2995572775742808,0.3301079826276951,0.0024281395648558285,True,False
Iran,6496,4302,1080,2511,1959.0,0.2510460251046025,0.23831439880369937,0.26422187656695056,0.0031832885193347044,True,False
Lithuania,4528,3150,1050,1942,1955.0,0.3333333333333333,0.3170826692065722,0.3499900208105801,0.0022188932289943877,True,False
Greece,7828,4685,1020,2457,1951.0,0.21771611526147278,0.20613238513863266,0.22976239962014447,0.0038360194780406504,True,False
Romania,8773,4564,1008,2501,1954.0,0.22085889570552147,0.20906135374345966,0.2331259585311166,0.004299105631176626,True,False
Colombia,7689,4507,988,2791,1970.0,0.2192145551364544,0.20737796345961346,0.23152940140994882,0.003767904160277793,False,False
South Africa,10614,4811,946,2450,1966.0,0.19663271669091664,0.18564550824527545,0.20810401821889726,0.005201266062841526,False,False
Nigeria,5474,3404,940,1803,1967.0,0.27614571092831963,0.2613848860869975,0.29141122978881073,0.00268246942038765,False,False
Ukraine,7408,3072,773,1648,1976.0,0.2516276041666667,0.2365986737508103,0.26727694845288186,0.003630203409980217,False,False
Pakistan,5889,4185,756,2090,1961.0,0.18064516129032257,0.16928349400587378,0.1925925912583673,0.0028858352971616492,False,False
Venezuela,4968,3242,751,1914,1965.0,0.23164713140037013,0.21744729408847377,0.24648218417072407,0.002434510062200556,False,False
Czech Republic,9742,4724,721,2272,1963.0,0.15262489415749364,0.14265205759062458,0.16316224887852612,0.004773952702487483,False,False
Philippines,5500,4376,714,2340,1960.0,0.16316270566727606,0.15251062143432687,0.17440567617789732,0.002695210415077105,False,False
Uruguay,5737,2911,648,1711,1957.0,0.22260391618000688,0.20786302523603928,0.23807599251367306,0.002811349482054064,False,False
Serbia,7032,2931,526,1470,1975.0,0.17946093483452746,0.16599069038808106,0.1937703270378679,0.0034459490252404007,False,False
Egypt,4053,2264,520,1361,1953.0,0.22968197879858657,0.21282178983683878,0.24745797573408998,0.0019861250567831832,False,False
Bulgaria,5456,2172,508,1146,1966.0,0.23388581952117865,0.21656293220143324,0.25214839310827686,0.002673648731756488,False,False
South Korea,9729,4788,477,1887,1979.0,0.09962406015037593,0.09145890778682092,0.10843117205221214,0.0047675822051427555,False,False
Cuba,4676,2625,476,1320,1953.0,0.18133333333333335,0.16706288831716892,0.19653513143419232,0.002291418891072826,False,False
Bangladesh,2331,1782,450,935,1953.0,0.25252525252525254,0.23290010081919885,0.27321511119064573,0.0011422791777354058,False,False
Croatia,5305,2364,441,1145,1970.0,0.1865482233502538,0.17135787028599275,0.2027556683899051,0.0025996529549061893,False,False
Sri Lanka,3370,2147,424,1066,1959.0,0.19748486259897532,0.18119188393459137,0.21485848072266653,0.0016514289270563353,False,False
Indonesia,3782,2210,423,1173,1971.0,0.19140271493212668,0.17554157805511214,0.2083348474307943,0.0018533246890584747,False,False
Estonia,3381,2139,408,995,1957.0,0.19074333800841514,0.17465329225699291,0.20794222950252486,0.0016568193478864895,False,False
Roman Empire,1226,1097,398,852,39.5,0.3628076572470374,0.33487918973595215,0.3916936432674519,0.000600786903433551,False,False
Ecuador,2480,1431,372,932,1967.5,0.259958071278826,0.23789645972376758,0.28330504433075654,0.001215294878071131,False,False
Albania,2789,1513,352,757,1969.0,0.232650363516193,0.21205319753032284,0.2546017254359249,0.0013667166995727357,False,False
Malaysia,3236,1738,348,968,1971.0,0.2002301495972382,0.1820865362899716,0.219696036821154,0.0015857638005799112,False,False
Lebanon,1853,1492,347,717,1954.0,0.23257372654155495,0.21183974776343792,0.25468130633747754,0.0009080408907523411,False,False
