domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,era
Political,Ideational,Political + Ideational,64132,14466,3701,3732.5618972622483,-0.012249401334041515,-0.030977990377427413,0.006621853182713144,0.009629969585146447,0.20189905047476261,0.25584128300843356,-13.259280045298885,1.4143307875775935,-16.031368388950966,-10.487191701646802,6.920873697308016e-21,0.2063968015992004,6.920873697308016e-21,not distinguishable,US,1800-1899
Political,Economic,Political + Economic,64132,14466,3844,3910.76643525206,-0.024839836373607507,-0.04254881140523915,-0.006558496802204839,0.00921018646431857,0.005997001499250375,0.26572653117655193,-1.5174078605366255,0.02106425084665185,-1.558693792196063,-1.4761219288771878,0.0,0.011244377811094452,0.0,dissociated,US,1800-1899
Political,Security,Political + Security,64132,14466,1525,1426.671666911132,0.09612330052984237,0.048312335482458516,0.14275884369131264,0.02425266540868049,0.0004997501249375312,0.10541960459007328,-1.809854731430962,0.029854123558914328,-1.8683688136064343,-1.75134064925549,0.0,0.0014992503748125937,0.0,associated,US,1800-1899
Ideational,Economic,Ideational + Economic,64132,14466,3187,3088.671667461012,0.045205297191399756,0.02217122094960962,0.06820771738873611,0.011566691214118964,0.0004997501249375312,0.22030969169086134,-1.9721048532107377,0.022294573224901495,-2.0158022167315446,-1.9284074896899308,0.0,0.0014992503748125937,0.0,associated,US,1800-1899
Ideational,Security,Ideational + Security,64132,14466,1060,1126.7664355091497,-0.08808392370859623,-0.15376260410701267,-0.022331705904786246,0.03333807393678432,0.0074962518740629685,0.07327526614129683,-2.406026971012258,0.03420926073521803,-2.4730771220532852,-2.3389768199712306,0.0,0.011244377811094452,0.0,dissociated,US,1800-1899
Economic,Security,Economic + Security,64132,14466,1149,1180.5618976043968,-0.03907811004802488,-0.09992090100621005,0.020698122403362638,0.030974744333953263,0.2063968015992004,0.07942762339278307,-0.5273380364739748,0.03350880812141996,-0.5930153003919579,-0.4616607725559917,8.395516687709313e-56,0.2063968015992004,1.0074620025251176e-55,not distinguishable,US,1800-1899
Political,Ideational,Political + Ideational,200424,31979,9053,9585.807116841723,-0.08249952767509848,-0.0913316488447412,-0.07374057746988501,0.0044877175977581195,0.0004997501249375312,0.28309202914412585,-14.281857522143477,1.4142629663418738,-17.05381293617355,-11.509902108113405,5.612475624064912e-24,0.0005997001499250374,5.612475624064911e-24,dissociated,US,1900-2020
Political,Economic,Political + Economic,200424,31979,5828,5944.644628713982,-0.028587262294684588,-0.04458837658487864,-0.012919820344631374,0.008096172390462578,0.0004997501249375312,0.18224459801744894,-0.41815591824634785,0.015590318980544917,-0.4487129434482159,-0.3875988930444798,1.813623890181533e-158,0.0005997001499250374,3.627247780363066e-158,dissociated,US,1900-2020
Political,Security,Political + Security,200424,31979,2055,1405.5482550642278,0.547843263873177,0.501656537369588,0.5916451121062487,0.022862240915103686,0.0004997501249375312,0.0642609212295569,-0.3748143926068485,0.025151899736644223,-0.4241121160906712,-0.32551666912302585,3.197107684129524e-50,0.0005997001499250374,4.7956615261942865e-50,associated,US,1900-2020
Ideational,Economic,Ideational + Economic,200424,31979,11526,10876.548254357347,0.08366740775370474,0.07501055800470395,0.09160121605408444,0.004209598486270995,0.0004997501249375312,0.36042402826855124,-4.040110234011092,0.019071030192627684,-4.077489453188642,-4.002731014833541,0.0,0.0005997001499250374,0.0,associated,US,1900-2020
Ideational,Security,Ideational + Security,200424,31979,2455,2571.644627198014,-0.0669549426346389,-0.10577487937570539,-0.03022926377775391,0.019219120804411065,0.0009995002498750624,0.07676912974139279,-3.6480756209611696,0.024597771444090224,-3.6962872529915862,-3.599863988930753,0.0,0.0009995002498750624,0.0,dissociated,US,1900-2020
Economic,Security,Economic + Security,200424,31979,1062,1594.8071178246998,-0.5863713474487615,-0.6604498919420088,-0.516493142683146,0.036508834318568655,0.0004997501249375312,0.03320929359892429,-0.4550240829954455,0.03299322034132764,-0.5196907948644477,-0.3903573711264433,2.8696605853145867e-43,0.0005997001499250374,3.443592702377504e-43,dissociated,US,1900-2020
Political,Ideational,Political + Ideational,67408,13687,4479,4769.959889707271,-0.09079064576591417,-0.10192836955924621,-0.08065008091419208,0.005400885744887987,0.0004997501249375312,0.3272448308614013,-13.016675947679193,1.414316286900029,-15.78873587000325,-10.244616025355135,3.464398908420244e-20,0.0005997001499250374,3.464398908420244e-20,dissociated,Germany,1800-1899
Political,Economic,Political + Economic,67408,13687,3079,3164.9765965449687,-0.03972660109346202,-0.05789402750673171,-0.021517128715042848,0.00957993804357959,0.0004997501249375312,0.22495798933294367,-0.8801298958434614,0.02238185203444566,-0.9239983258309749,-0.8362614658559478,0.0,0.0005997001499250374,0.0,dissociated,Germany,1800-1899
Political,Security,Political + Security,67408,13687,1136,759.0635142583999,0.5813551719531342,0.5262149798497445,0.6339419087051285,0.027562139036941106,0.0004997501249375312,0.08299846569737707,-0.9772860910424561,0.03428984626736107,-1.044494189726484,-0.9100779923584285,1.1468580291837863e-178,0.0005997001499250374,1.7202870437756794e-178,associated,Germany,1800-1899
Ideational,Economic,Ideational + Economic,67408,13687,3946,3569.063513737952,0.14482607694956867,0.12772967665923426,0.1625561943137533,0.00871046842374266,0.0004997501249375312,0.2883027690509242,-2.5749624494227192,0.022582110980969513,-2.6192233869454196,-2.530701511900019,0.0,0.0005997001499250374,0.0,associated,Germany,1800-1899
Ideational,Security,Ideational + Security,67408,13687,770,855.9765959428543,-0.15261886706074165,-0.2281099665918389,-0.08126917362403588,0.03802861364837054,0.0009995002498750624,0.05625776284065171,-3.205305536500041,0.040129918316301645,-3.283960176399992,-3.12665089660009,0.0,0.0009995002498750624,0.0,dissociated,Germany,1800-1899
Economic,Security,Economic + Security,67408,13687,277,567.9598898085537,-1.0345707855426192,-1.1978124390094962,-0.8858553451210446,0.07865802680610016,0.0004997501249375312,0.02023818221670198,-1.5786088638474862,0.06240354153565891,-1.7009198052573777,-1.4562979224375947,3.465481782550403e-141,0.0005997001499250374,4.1585781390604834e-141,dissociated,Germany,1800-1899
Political,Ideational,Political + Ideational,124944,19575,7656,7542.983349298274,0.021454176956804575,0.013297169729896714,0.030263390914076777,0.00425509131617365,0.0004997501249375312,0.39111111111111113,-13.571513512358448,1.4142757826744412,-16.34349404640035,-10.799532978316543,8.303711780698725e-22,0.0004997501249375312,1.2455567671048088e-21,associated,Germany,1900-2020
Political,Economic,Political + Economic,124944,19575,2737,3422.4327275858404,-0.3223739739874282,-0.3487483847254909,-0.29849245232588995,0.012838722696593587,0.0004997501249375312,0.13982120051085567,-0.6032720325912264,0.02219543743620593,-0.64677508996619,-0.5597689752162628,1.1195316191699608e-162,0.0004997501249375312,2.2390632383399216e-162,dissociated,Germany,1900-2020
Political,Security,Political + Security,124944,19575,1376,803.583923761136,0.7755866187458644,0.7222102384954049,0.8261958204190261,0.026360620755864244,0.0004997501249375312,0.07029374201787995,-0.03780645646568228,0.03230405686546367,-0.10112240792199106,0.025509494990626512,0.2418675759590312,0.0004997501249375312,0.2418675759590312,associated,Germany,1900-2020
Ideational,Economic,Ideational + Economic,124944,19575,6392,5819.583923066209,0.13534029915149146,0.12380281686242191,0.14756290178082698,0.006149415406127463,0.0004997501249375312,0.3265389527458493,-5.566745018977634,0.04611084147493332,-5.657122268268503,-5.476367769686765,0.0,0.0004997501249375312,0.0,associated,Germany,1900-2020
Ideational,Security,Ideational + Security,124944,19575,681,1366.4327265984148,-1.0041566805147601,-1.0934017539522212,-0.9214218097524691,0.04361622786929496,0.0004997501249375312,0.03478927203065134,-5.08936239210662,0.04392525930387493,-5.1754559003422145,-5.003268883871025,0.0,0.0004997501249375312,0.0,dissociated,Germany,1900-2020
Economic,Security,Economic + Security,124944,19575,733,619.9833496901232,0.241404468906103,0.1540599676327223,0.3309619456685325,0.04411561469887766,0.0004997501249375312,0.03744572158365262,0.2678900420868593,0.04097404699733535,0.187580909972082,0.3481991742016366,6.232940377111668e-11,0.0004997501249375312,7.479528452534002e-11,associated,Germany,1900-2020
Political,Ideational,Political + Ideational,37375,8726,2251,2377.400483967038,-0.07880186133507372,-0.10179959734559663,-0.055341002700850676,0.011895086753788815,0.0004997501249375312,0.25796470318588127,-5.095754245083499,0.04521324461104967,-5.184372204521156,-5.007136285645841,0.0,0.0004997501249375312,0.0,dissociated,United Kingdom,1800-1899
Political,Economic,Political + Economic,37375,8726,1618,1726.4086003505824,-0.09353436218923553,-0.12794834680597234,-0.06173353973498805,0.01733561452425443,0.0004997501249375312,0.18542287416914965,-0.785309202095371,0.030482309206009497,-0.8450545281391496,-0.7255638760515924,2.317837499168044e-146,0.0004997501249375312,2.781404999001653e-146,dissociated,United Kingdom,1800-1899
Political,Security,Political + Security,37375,8726,1031,796.1909158878925,0.3726517911469096,0.3169985624807452,0.42843520081411984,0.0291676070810322,0.0004997501249375312,0.11815264726105891,-0.9860278292488381,0.0362994344460356,-1.057174720763068,-0.9148809377346083,1.7433383960345068e-162,0.0004997501249375312,2.6150075940517604e-162,associated,United Kingdom,1800-1899
Ideational,Economic,Ideational + Economic,37375,8726,2365,2130.1909156622737,0.15082383416843984,0.1254524274447484,0.17781849551541754,0.013218864970668012,0.0004997501249375312,0.27102910841164335,-2.173312573223154,0.028708201679046565,-2.2295806485140854,-2.1170444979322225,0.0,0.0004997501249375312,0.0,associated,United Kingdom,1800-1899
Ideational,Security,Ideational + Security,37375,8726,874,982.4086000340817,-0.16859888347867674,-0.23268921259349526,-0.11056096110702314,0.03192564602807538,0.0004997501249375312,0.10016044006417603,-3.1029335461102083,0.03933190776042684,-3.1800240853206447,-3.025843006899772,0.0,0.0004997501249375312,0.0,dissociated,United Kingdom,1800-1899
Economic,Security,Economic + Security,37375,8726,587,713.4004840981303,-0.2811341285930204,-0.36911723449529743,-0.19299925525859485,0.04484783000698003,0.0004997501249375312,0.06727022690809076,-0.909135063074938,0.045608386423599476,-0.9985275004651929,-0.819742625684683,2.084345367490609e-88,0.0004997501249375312,2.084345367490609e-88,dissociated,United Kingdom,1800-1899
Political,Ideational,Political + Ideational,69329,10707,2985,3084.426450422039,-0.04726352491492646,-0.06500148207812394,-0.030463105790207848,0.008993722415319217,0.0004997501249375312,0.2787895769123004,-12.949130109396124,1.4143726554980676,-15.721300514172338,-10.176959704619911,5.416293420017411e-20,0.0004997501249375312,1.0832586840034821e-19,dissociated,United Kingdom,1900-2020
Political,Economic,Political + Economic,69329,10707,1267,1447.0850967121412,-0.1916624127275453,-0.23663410862095793,-0.14844867515067867,0.0230788000852532,0.0004997501249375312,0.11833380031754927,-0.6537909759944333,0.03160727929121539,-0.7157412434052154,-0.5918407085836511,4.7451277419448486e-95,0.0004997501249375312,1.4235383225834544e-94,dissociated,United Kingdom,1900-2020
Political,Security,Political + Security,69329,10707,748,468.48845306901796,0.6744499135966434,0.5957066908345817,0.7523561219456456,0.03884161272400618,0.0004997501249375312,0.06986083870365181,-0.10780742375671416,0.0414370062267249,-0.18902395596109495,-0.026590891552333365,0.009275796804131547,0.0004997501249375312,0.009275796804131547,associated,United Kingdom,1900-2020
Ideational,Economic,Ideational + Economic,69329,10707,4147,3867.488452805686,0.10065849327042756,0.08620463126460258,0.11534623650756505,0.007413179593423812,0.0004997501249375312,0.3873167086952461,-12.195223963184873,1.4143571231115082,-14.96736392448343,-9.423084001886316,6.553642553756529e-18,0.0004997501249375312,9.830463830634794e-18,associated,United Kingdom,1900-2020
Ideational,Security,Ideational + Security,69329,10707,1072,1252.0850961936546,-0.22393097061485087,-0.27517002114699035,-0.1721631046160617,0.027132976082596443,0.0004997501249375312,0.10012141589614271,-5.262632313103056,0.04750460233033601,-5.355741333670515,-5.169523292535597,0.0,0.0004997501249375312,0.0,dissociated,United Kingdom,1900-2020
Economic,Security,Economic + Security,69329,10707,488,587.4264507974598,-0.2672771239792447,-0.37841476441281824,-0.16940380919362674,0.05436988307205201,0.0004997501249375312,0.04557765947510974,-0.3965181622765781,0.0492291721690765,-0.49300733972796806,-0.30002898482518814,7.978057163869204e-16,0.0004997501249375312,9.573668596643046e-16,dissociated,United Kingdom,1900-2020
Political,Ideational,Political + Ideational,32826,6357,1977,2030.6535417957014,-0.03862160727697332,-0.0595033529958582,-0.01762263317994791,0.010872652186715882,0.0004997501249375312,0.3109957527135441,-12.330702618561459,1.414444716497534,-15.103014262896625,-9.558390974226292,2.839137135577099e-18,0.0005997001499250374,3.4069645626925184e-18,dissociated,France,1800-1899
Political,Economic,Political + Economic,32826,6357,928,1061.9307827513398,-0.19439503761537824,-0.24439771871007887,-0.1458176153971855,0.02526631129610715,0.0004997501249375312,0.14598080855749568,-0.874339226729679,0.03867051212496965,-0.9501334304946195,-0.7985450229647385,3.457520583510128e-113,0.0005997001499250374,6.915041167020256e-113,dissociated,France,1800-1899
