revolution,age_band,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell
Latin American independence,under 20,Politics,Administration & Law,Politics + Administration & Law,542,331,67,53.700729941569385,0.31657522113799097,0.16262092098918696,0.48129762935667025,0.08122932896652744,0.0004997501249375312,0.20241691842900303,0.43636449972806474,0.23845505897525893,-0.031007415863442744,0.9037364153195722,0.06725511762696434,0.010494752623688156,0.0941571646777501,associated,False
Latin American independence,under 20,Politics,Military,Politics + Military,542,331,103,95.74711362930846,0.10481558648975738,-0.0022871881274097124,0.21354760115142538,0.0560751980248677,0.05847076461769116,0.311178247734139,-0.4338701256597102,0.18260451611230288,-0.7917749772398239,-0.07596527407959658,0.017500996472812502,0.191904047976012,0.028270840456081733,not distinguishable,False
Latin American independence,under 20,Politics,Business,Politics + Business,542,331,23,26.051919476184256,-0.17615540249430756,-0.6077049277076465,0.1494689070141354,0.19183391540458514,0.33683158420789605,0.06948640483383686,-0.8482017698569391,0.2865217389178186,-1.4097843781358637,-0.2866191615780146,0.0030729967765053736,0.505247376311844,0.007170325811845872,not distinguishable,False
Latin American independence,under 20,Politics,Nobility & Kinship,Politics + Nobility & Kinship,542,331,22,26.051919476184256,-0.23889115784227027,-0.6812642931031974,0.09738870217813266,0.20007875925403787,0.2273863068465767,0.06646525679758308,-1.0979789764240162,0.28172417119729243,-1.6501583519707093,-0.545799600877323,9.724919953955686e-05,0.36731634182908546,0.0005105582975826735,not distinguishable,False
Latin American independence,under 20,Politics,Religion,Politics + Religion,542,331,4,8.408719303253779,-0.9852930467307468,-2.719549417755891,-0.14688787929714942,0.6800445032790661,0.10044977511244378,0.012084592145015106,-1.6596194779689606,0.5470580110120918,-2.731853179552661,-0.5873857763852606,0.0024156049022166564,0.23438280859570215,0.006445182523825441,not distinguishable,True
Latin American independence,under 20,Politics,Learning & Culture,Politics + Learning & Culture,542,331,34,43.03959815353621,-0.3357317304176775,-0.6664724070886172,-0.07663773369284013,0.14821448413874924,0.025987006496751622,0.1027190332326284,-1.8176424221848861,0.2271011115618505,-2.262760600846113,-1.372524243523659,1.207644661553109e-15,0.136431784107946,2.5360537892615287e-14,not distinguishable,False
Latin American independence,under 20,Administration & Law,Military,Administration & Law + Military,542,331,6,16.478013729990025,-1.3851560635812756,-2.7392951382755863,-0.5917691065788115,0.5601250109758193,0.0239880059970015,0.01812688821752266,-2.3049888162339527,0.4171387332379874,-3.122580733380408,-1.4873968990874973,3.281506569542364e-08,0.136431784107946,2.297054598679655e-07,not distinguishable,True
Latin American independence,under 20,Administration & Law,Business,Administration & Law + Business,542,331,1,4.483517785018155,-1.7322019763847414,-3.5666599179162235,-0.3687938135499514,1.004830948370126,0.063968015992004,0.0030211480362537764,-2.1922930864751167,0.8354234035725496,-3.8297229574773137,-0.5548632154729194,0.008686040257772386,0.191904047976012,0.01658244049211092,not distinguishable,True
Latin American independence,under 20,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,542,331,2,4.483517785018155,-0.9952363822185353,-3.433994418633738,0.13241169559738877,0.9555700112407163,0.19940029985007496,0.006042296072507553,-1.7521464210569386,0.6558550651201751,-3.037622348692482,-0.46667049342139544,0.0075502913493736236,0.36731634182908546,0.01585561183368461,not distinguishable,True
Latin American independence,under 20,Administration & Law,Religion,Administration & Law + Religion,542,331,3,1.447134925310528,0.8460020640230447,-1.6984930649577987,1.808675084077127,0.8052023456057824,0.22138930534732634,0.00906344410876133,0.028270433938255526,0.6026070906488035,-1.1528394637333992,1.2093803316099103,0.9625821338572051,0.36731634182908546,0.9625821338572051,not distinguishable,True
