domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,cohort
Political,Ideational,Political + Ideational,541,326,33,26.139755363384452,0.3305802615716177,0.06903718796366033,0.5881387447085719,0.13008325914099794,0.01249375312343828,0.10122699386503067,-2.1877498593067752,0.2487460438589852,-2.675292105270386,-1.7002076133431643,1.4290258251165713e-18,0.047976011994003,4.287077475349714e-18,associated,Argentina,1775
Political,Economic,Political + Economic,541,326,28,34.24369091276453,-0.2857891041634067,-0.593474494828937,-0.04467142413101204,0.1416792198917329,0.041979010494752625,0.08588957055214724,-2.0624513536972002,0.26214868140942343,-2.57626276925967,-1.5486399381347304,3.618357369616094e-15,0.08395802098950526,7.236714739232188e-15,not distinguishable,Argentina,1775
Political,Security,Political + Security,541,326,210,210.6165537016903,-0.004219471906982975,-0.025072621138197356,0.020973857312089828,0.011501834220852922,0.7091454272863568,0.6441717791411042,-5.580428725695686,1.4201621819757129,-8.363946602368083,-2.796910849023289,8.514724837422276e-05,0.7376311844077961,0.00012097474013186997,not distinguishable,Argentina,1775
Ideational,Economic,Ideational + Economic,541,326,3,3.616553702591714,-0.23408212486264907,-2.8987414681101176,0.7961618078955155,0.8386792361976849,0.7376311844077961,0.009202453987730062,-1.6833178804607838,0.5589337464567093,-2.778828023515934,-0.5878077374056334,0.002598242409883384,0.7376311844077961,0.002598242409883384,not distinguishable,Argentina,1775
Ideational,Security,Ideational + Security,541,326,16,22.24369093440872,-0.46300037490736357,-1.056293198155443,-0.07758733838613616,0.2470389883721237,0.062468765617191405,0.049079754601226995,-2.6762882332366047,0.2921603169971315,-3.2489224545509825,-2.103654011922227,5.1733411560658206e-20,0.09370314842578711,3.104004693639492e-19,not distinguishable,Argentina,1775
Economic,Security,Economic + Security,541,326,36,29.139755385160285,0.3003629227616082,0.05740835678607988,0.5287741196323428,0.11945713863694703,0.015992003998001,0.11042944785276074,-0.9557504092273917,0.24578084659710286,-1.4374808685577134,-0.47401994989707014,0.00010081228344322498,0.047976011994003,0.00012097474013186997,associated,Argentina,1775
Political,Ideational,Political + Ideational,431,194,40,37.32203621195034,0.09869487274223283,-0.07385757211480017,0.2654065169463823,0.08973761588273173,0.29185407296351823,0.20618556701030927,-2.7082305783165475,0.261037818356741,-3.2198647022957596,-2.1965964543373353,3.226881409095246e-25,0.43778110944527737,1.9361288454571474e-24,not distinguishable,Argentina,1800
Political,Economic,Political + Economic,431,194,33,36.574040809629444,-0.14624827176648836,-0.3827562563891879,0.03191433790937442,0.10503151204415394,0.15142428785607195,0.17010309278350516,-1.496144345035478,0.26674673892483525,-2.018967953328155,-0.9733207367428011,2.0366707889527246e-08,0.43778110944527737,3.055006183429087e-08,not distinguishable,Argentina,1800
Political,Security,Political + Security,431,194,91,90.10392296499042,0.014198226021306498,-0.04794223076317704,0.08577305059806953,0.034061872067653313,0.6681659170414792,0.4690721649484536,-2.5698225509945973,0.28211636438012083,-3.1227706251796343,-2.0168744768095603,8.307801819512074e-20,0.6681659170414792,2.492340545853622e-19,not distinguishable,Argentina,1800
Ideational,Economic,Ideational + Economic,431,194,6,5.103922970054109,0.21400259311553005,-1.1326266145617767,0.9747348367244827,0.5337241534942666,0.6541729135432284,0.030927835051546393,-1.5816849350562603,0.4260100616948142,-2.416664655978096,-0.7467052141344245,0.00020498879791082874,0.6681659170414792,0.00020498879791082877,not distinguishable,Argentina,1800
