spec,shock_type,outcome,group,event_time,cohort,n_treated,n_control,att,weight,treated_countries
main,revolutionary rupture,Economic + Security,1750,-3,1675,1,3,0.778091090318361,1,France
main,revolutionary rupture,Economic + Security,1750,-2,1700,1,4,0.2954286634863503,1,France
main,revolutionary rupture,Economic + Security,1750,0,1750,1,6,-0.06864351948996403,1,France
main,revolutionary rupture,Economic + Security,1750,1,1775,1,6,-0.5547683503069947,1,France
main,revolutionary rupture,Economic + Security,1750,2,1800,1,6,-0.5077248473747361,1,France
main,revolutionary rupture,Economic + Security,1750,3,1825,1,6,-0.03382946958725225,1,France
main,revolutionary rupture,Economic + Security,1875,-3,1800,3,12,-0.10079943229022569,3,"Austria,Germany,Russia"
main,revolutionary rupture,Economic + Security,1875,-2,1825,3,12,-0.4759096461937866,3,"Austria,Germany,Russia"
main,revolutionary rupture,Economic + Security,1875,0,1875,3,12,-0.21419545466127304,3,"Austria,Germany,Russia"
main,revolutionary rupture,Economic + Security,1875,1,1900,3,12,0.7771833085184793,3,"Austria,Germany,Russia"
main,revolutionary rupture,Economic + Security,1875,2,1925,3,12,-0.09378634411139253,3,"Austria,Germany,Russia"
main,revolutionary rupture,Ideational + Economic,1750,-3,1675,1,3,-0.7748339895212446,1,France
main,revolutionary rupture,Ideational + Economic,1750,-2,1700,1,4,-0.6740752668083347,1,France
main,revolutionary rupture,Ideational + Economic,1750,0,1750,1,6,0.5328002845902994,1,France
main,revolutionary rupture,Ideational + Economic,1750,1,1775,1,6,-0.17653871040176078,1,France
main,revolutionary rupture,Ideational + Economic,1750,2,1800,1,6,-0.7120184720177196,1,France
main,revolutionary rupture,Ideational + Economic,1750,3,1825,1,6,-0.8486302068571017,1,France
main,revolutionary rupture,Ideational + Economic,1875,-3,1800,3,12,-0.04381482533378369,3,"Austria,Germany,Russia"
main,revolutionary rupture,Ideational + Economic,1875,-2,1825,3,12,-0.009242383575837614,3,"Austria,Germany,Russia"
main,revolutionary rupture,Ideational + Economic,1875,0,1875,3,12,0.2193157905150705,3,"Austria,Germany,Russia"
