country,cohort,n_classified,log_n_classified,crossing_rate,share_political,share_ideational,share_economic,share_security,n_crossings,usable
Argentina,1500,7,1.9459101490553132,0.8571428571428571,0.7142857142857143,0.0,0.2857142857142857,0.8571428571428571,6,False
Argentina,1525,5,1.6094379124341003,0.4,0.4,0.0,0.6,0.4,2,False
Argentina,1550,5,1.6094379124341003,0.6,0.2,0.2,0.4,0.8,3,False
Argentina,1575,7,1.9459101490553132,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.0,0.7142857142857143,4,False
Argentina,1600,7,1.9459101490553132,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.2857142857142857,3,False
Argentina,1625,1,0.0,0.0,1.0,0.0,0.0,0.0,0,False
Argentina,1650,6,1.791759469228055,0.16666666666666666,0.0,0.8333333333333334,0.3333333333333333,0.0,1,False
Argentina,1675,2,0.6931471805599453,1.0,1.0,0.5,0.0,0.5,2,False
Argentina,1700,7,1.9459101490553132,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.2857142857142857,4,False
Argentina,1725,34,3.5263605246161616,0.5294117647058824,0.47058823529411764,0.2647058823529412,0.35294117647058826,0.4411764705882353,18,False
Argentina,1750,171,5.14166355650266,0.5380116959064327,0.7368421052631579,0.25146198830409355,0.18128654970760233,0.3684210526315789,92,False
Argentina,1775,541,6.293419278846481,0.6025878003696857,0.6598890942698706,0.14972273567467653,0.14048059149722736,0.6524953789279113,326,True
Argentina,1800,431,6.066108090103747,0.45011600928074247,0.6148491879350348,0.23897911832946636,0.15777262180974477,0.4385150812064965,194,True
Argentina,1825,503,6.220590170099739,0.40357852882703776,0.5745526838966203,0.3558648111332008,0.18886679920477137,0.28429423459244535,203,True
Argentina,1850,602,6.400257445308821,0.34053156146179403,0.5813953488372093,0.5,0.1378737541528239,0.1212624584717608,205,True
Argentina,1875,1260,7.138866999945524,0.23253968253968255,0.34365079365079365,0.7150793650793651,0.1,0.07380952380952381,293,True
Argentina,1900,2422,7.792348924113037,0.1915772089182494,0.26548307184145337,0.7597027250206441,0.08918249380677126,0.07720891824938067,464,True
Argentina,1925,3711,8.219056661060598,0.18216114254917812,0.2301266504985179,0.7809215844785772,0.10455402856372946,0.06655887900835354,676,True
Australia,1725,8,2.0794415416798357,0.5,0.5,0.25,0.125,0.625,4,False
Australia,1750,65,4.174387269895637,0.38461538461538464,0.27692307692307694,0.3230769230769231,0.49230769230769234,0.2923076923076923,25,False
