country,cohort,n_classified,n_crossings,usable,country_in_panel
Abkhazia,1925,6,1,False,False
Afghanistan,1575,1,0,False,False
Afghanistan,1600,1,1,False,False
Afghanistan,1625,1,0,False,False
Afghanistan,1650,2,0,False,False
Afghanistan,1675,1,0,False,False
Afghanistan,1700,3,0,False,False
Afghanistan,1725,1,0,False,False
Afghanistan,1750,1,0,False,False
Afghanistan,1775,4,0,False,False
Afghanistan,1800,10,2,False,False
Afghanistan,1825,9,2,False,False
Afghanistan,1850,12,3,False,False
Afghanistan,1875,37,5,False,False
Afghanistan,1900,61,11,False,False
Afghanistan,1925,161,45,False,False
Albania,1500,1,0,False,False
Albania,1550,5,0,False,False
Albania,1575,3,1,False,False
Albania,1600,1,0,False,False
Albania,1625,3,0,False,False
Albania,1650,1,0,False,False
Albania,1675,3,1,False,False
Albania,1700,6,1,False,False
Albania,1725,6,0,False,False
Albania,1750,5,3,False,False
Albania,1775,4,3,False,False
Albania,1800,17,6,False,False
Albania,1825,25,6,False,False
Albania,1850,92,37,False,False
Albania,1875,164,63,False,False
Albania,1900,220,64,False,False
Albania,1925,288,67,False,False
Algeria,1500,2,1,False,False
Algeria,1575,1,0,False,False
Algeria,1625,1,0,False,False
Algeria,1650,1,0,False,False
Algeria,1700,2,0,False,False
Algeria,1725,2,1,False,False
Algeria,1750,4,1,False,False
Algeria,1775,5,1,False,False
Algeria,1800,5,1,False,False
Algeria,1825,6,0,False,False
Algeria,1850,19,4,False,False
Algeria,1875,53,13,False,False
Algeria,1900,178,49,False,False
Algeria,1925,472,107,False,False
Andorra,1500,1,0,False,False
Andorra,1550,1,0,False,False
Andorra,1700,1,1,False,False
Andorra,1725,2,0,False,False
Andorra,1750,1,0,False,False
Andorra,1800,2,0,False,False
Andorra,1850,1,0,False,False
Andorra,1875,2,0,False,False
Andorra,1900,2,1,False,False
Andorra,1925,18,4,False,False
Angola,1525,1,0,False,False
Angola,1575,1,0,False,False
Angola,1600,2,0,False,False
Angola,1675,1,0,False,False
Angola,1725,2,2,False,False
Angola,1825,5,4,False,False
Angola,1850,2,0,False,False
Angola,1875,2,2,False,False
Angola,1900,16,5,False,False
Angola,1925,97,26,False,False
Antigua and Barbuda,1700,1,0,False,False
Antigua and Barbuda,1750,1,0,False,False
Antigua and Barbuda,1875,1,0,False,False
Antigua and Barbuda,1900,4,2,False,False
Antigua and Barbuda,1925,11,1,False,False
Argentina,1500,7,6,False,True
Argentina,1525,5,2,False,True
Argentina,1550,5,3,False,True
Argentina,1575,7,4,False,True
Argentina,1600,7,3,False,True
Argentina,1625,1,0,False,True
Argentina,1650,6,1,False,True
Argentina,1675,2,2,False,True
Argentina,1700,7,4,False,True
Argentina,1725,34,18,False,True
Argentina,1750,171,92,False,True
Argentina,1775,541,326,True,True
Argentina,1800,431,194,True,True
Argentina,1825,503,203,True,True
Argentina,1850,602,205,True,True
Argentina,1875,1260,293,True,True
Argentina,1900,2422,464,True,True
Argentina,1925,3711,676,True,True
Armenia,1500,1,0,False,False
Armenia,1550,3,1,False,False
Armenia,1575,1,0,False,False
Armenia,1600,3,1,False,False
Armenia,1625,2,0,False,False
Armenia,1650,6,2,False,False
Armenia,1675,3,0,False,False
Armenia,1700,5,1,False,False
Armenia,1725,5,0,False,False
Armenia,1750,7,2,False,False
Armenia,1775,4,1,False,False
Armenia,1800,16,2,False,False
Armenia,1825,39,6,False,False
Armenia,1850,128,44,False,False
Armenia,1875,157,42,False,False
Armenia,1900,185,27,False,False
Armenia,1925,281,49,False,False
Australia,1725,8,4,False,True
Australia,1750,65,25,False,True
Australia,1775,221,84,False,True
Australia,1800,834,279,True,True
Australia,1825,1532,452,True,True
Australia,1850,2363,652,True,True
Australia,1875,3190,814,True,True
Australia,1900,3703,834,True,True
Australia,1925,5938,1091,True,True
Austria,1500,22,2,False,True
Austria,1525,28,4,False,True
Austria,1550,42,12,False,True
Austria,1575,49,7,False,True
Austria,1600,63,15,False,True
Austria,1625,81,10,False,True
Austria,1650,152,32,False,True
Austria,1675,140,12,False,True
Austria,1700,225,33,False,True
Austria,1725,377,77,False,True
Austria,1750,575,104,False,True
Austria,1775,757,165,True,True
Austria,1800,1241,258,True,True
Austria,1825,1546,300,True,True
Austria,1850,2907,621,True,True
Austria,1875,4522,964,True,True
Austria,1900,4453,915,True,True
Austria,1925,5448,851,True,True
Austria-Hungary,1625,1,0,False,False
Austria-Hungary,1725,6,3,False,False
Austria-Hungary,1750,9,0,False,False
Austria-Hungary,1775,31,6,False,False
Austria-Hungary,1800,228,54,False,False
Austria-Hungary,1825,344,87,False,False
Austria-Hungary,1850,549,110,False,False
Austria-Hungary,1875,313,74,False,False
Austria-Hungary,1900,53,11,False,False
Azerbaijan,1675,1,0,False,False
Azerbaijan,1700,3,1,False,False
Azerbaijan,1725,1,0,False,False
Azerbaijan,1750,2,0,False,False
Azerbaijan,1775,5,1,False,False
Azerbaijan,1800,4,0,False,False
Azerbaijan,1825,14,1,False,False
Azerbaijan,1850,26,6,False,False
Azerbaijan,1875,75,17,False,False
Azerbaijan,1900,120,17,False,False
Azerbaijan,1925,223,39,False,False
Bahrain,1600,1,0,False,False
Bahrain,1675,2,0,False,False
Bahrain,1825,1,0,False,False
Bahrain,1850,2,0,False,False
Bahrain,1875,3,1,False,False
Bahrain,1900,3,3,False,False
Bahrain,1925,32,11,False,False
Bangladesh,1525,2,1,False,False
Bangladesh,1550,1,0,False,False
Bangladesh,1600,3,0,False,False
Bangladesh,1700,1,1,False,False
Bangladesh,1725,1,0,False,False
Bangladesh,1800,1,0,False,False
Bangladesh,1825,4,1,False,False
Bangladesh,1850,3,1,False,False
Bangladesh,1875,35,11,False,False
Bangladesh,1900,213,53,False,False
Bangladesh,1925,743,234,True,False
Barbados,1575,4,2,False,False
Barbados,1600,3,0,False,False
Barbados,1625,1,1,False,False
Barbados,1675,1,0,False,False
Barbados,1700,2,1,False,False
Barbados,1725,1,0,False,False
Barbados,1750,1,0,False,False
Barbados,1775,6,2,False,False
Barbados,1800,3,0,False,False
Barbados,1825,8,0,False,False
Barbados,1850,8,1,False,False
Barbados,1875,18,4,False,False
Barbados,1900,36,7,False,False
Barbados,1925,61,11,False,False
Belarus,1600,1,0,False,False
Belarus,1675,1,0,False,False
Belarus,1725,3,0,False,False
Belarus,1750,1,0,False,False
Belarus,1775,1,0,False,False
Belarus,1800,4,1,False,False
Belarus,1825,17,1,False,False
Belarus,1850,27,5,False,False
Belarus,1875,69,25,False,False
Belarus,1900,88,26,False,False
Belarus,1925,104,33,False,False
Belgium,1500,75,9,False,False
Belgium,1525,90,13,False,False
Belgium,1550,80,9,False,False
Belgium,1575,128,16,False,False
Belgium,1600,117,12,False,False
Belgium,1625,74,13,False,False
Belgium,1650,51,6,False,False
Belgium,1675,55,6,False,False
Belgium,1700,52,5,False,False
Belgium,1725,73,16,False,False
Belgium,1750,155,30,False,False
Belgium,1775,370,86,False,False
Belgium,1800,600,118,False,False
Belgium,1825,782,139,True,False
Belgium,1850,1261,216,True,False
Belgium,1875,1492,286,True,False
Belgium,1900,1740,281,True,False
Belgium,1925,2302,311,True,False
Belize,1825,2,0,False,False
Belize,1850,7,0,False,False
Belize,1875,10,2,False,False
Belize,1900,19,6,False,False
Belize,1925,37,8,False,False
Benin,1650,1,0,False,False
Benin,1675,1,0,False,False
Benin,1750,1,0,False,False
Benin,1825,1,0,False,False
Benin,1850,2,1,False,False
Benin,1875,6,1,False,False
Benin,1900,27,9,False,False
Benin,1925,85,22,False,False
Bhutan,1825,1,1,False,False
Bhutan,1850,1,0,False,False
Bhutan,1875,1,0,False,False
Bhutan,1900,4,0,False,False
Bhutan,1925,5,1,False,False
Bolivia,1550,1,0,False,False
Bolivia,1575,1,0,False,False
Bolivia,1650,1,0,False,False
Bolivia,1675,2,0,False,False
Bolivia,1700,3,2,False,False
Bolivia,1725,2,0,False,False
Bolivia,1750,20,8,False,False
Bolivia,1775,29,12,False,False
Bolivia,1800,31,16,False,False
Bolivia,1825,36,14,False,False
Bolivia,1850,30,6,False,False
Bolivia,1875,64,23,False,False
Bolivia,1900,115,38,False,False
Bolivia,1925,208,59,False,False
Bosnia and Herzegovina,1550,1,1,False,False
Bosnia and Herzegovina,1625,2,1,False,False
Bosnia and Herzegovina,1650,2,0,False,False
