spec,shock_type,outcome,event_time,att,n_groups,n_treated_cells,min_controls,p_value_ri,null_sd,null_ci_low,null_ci_high,n_draws
placebo_time,revolutionary rupture,Economic + Security,-3,-0.4077868742083596,2.0,2.0,2.0,0.2683560753736192,0.41379036987246093,-1.0044012561128666,0.7691942027063403,1538
placebo_time,revolutionary rupture,Economic + Security,-2,0.0021754674193112944,2.0,2.0,2.0,0.9960474308300395,0.5340749578453996,-1.4941256357202257,0.5291375743812118,1770
placebo_time,revolutionary rupture,Economic + Security,0,-0.2476348993474155,2.0,2.0,2.0,0.7241740954378605,0.5618718209507736,-2.029638153042817,0.7819054672154615,1906
placebo_time,revolutionary rupture,Economic + Security,1,-0.24324877789633387,2.0,2.0,2.0,0.8075511274252754,0.5005394777679366,-0.744427976037842,0.7897266276368501,1906
placebo_time,revolutionary rupture,Economic + Security,2,-0.6508845601475055,2.0,2.0,2.0,0.3198741478762454,0.5722122487530457,-1.0922750495509057,0.720972626299902,1906
placebo_time,revolutionary rupture,Economic + Security,3,-0.5215248233733235,2.0,2.0,2.0,0.34452018877818563,0.4978553687647859,-1.1477185820538889,0.6575891741580715,1906
placebo_time,revolutionary rupture,Ideational + Economic,-3,0.038567248879131114,2.0,2.0,2.0,0.9596616785946649,0.5310106042475518,-1.2163774644237708,0.6693246021669602,1536
placebo_time,revolutionary rupture,Ideational + Economic,-2,-0.07747101943284593,2.0,2.0,2.0,0.7825842696629214,0.26128210037543714,-0.5328002845902994,0.6052041879557732,1779
placebo_time,revolutionary rupture,Ideational + Economic,0,0.10300633486418175,2.0,2.0,2.0,0.8678947368421053,0.3449498898580342,-0.704723779169135,0.5618644609872248,1899
placebo_time,revolutionary rupture,Ideational + Economic,1,0.1547863305290929,2.0,2.0,2.0,0.8352631578947368,0.509910911658775,-1.2497193098467638,0.6392286585849367,1899
placebo_time,revolutionary rupture,Ideational + Economic,2,0.18407277458468813,2.0,2.0,2.0,0.7405263157894737,0.5482177779684053,-1.3820029833210568,0.7128184726500261,1899
placebo_time,revolutionary rupture,Ideational + Economic,3,0.5371961006554923,2.0,2.0,2.0,0.3005263157894737,0.5515791200977018,-1.4546939113957913,0.7147213915694115,1899
placebo_time,revolutionary rupture,Ideational + Security,-3,0.034625392462338644,2.0,2.0,2.0,0.9002590673575129,0.42041402167157177,-0.5440957298237454,0.7546131679499897,1543
placebo_time,revolutionary rupture,Ideational + Security,-2,0.10336851478401793,2.0,2.0,2.0,0.6183986371379898,0.32629338171903055,-0.9452543334916778,0.40339253287459925,1760
placebo_time,revolutionary rupture,Ideational + Security,0,0.28459890137061694,2.0,2.0,2.0,0.16272965879265092,0.24717163923791788,-0.5485353120946415,0.2717792372282302,1904
placebo_time,revolutionary rupture,Ideational + Security,1,0.10803692502892126,2.0,2.0,2.0,0.6257217847769029,0.2925871210179038,-0.8652932592558372,0.2847701045689451,1904
placebo_time,revolutionary rupture,Ideational + Security,2,0.5344860314084094,2.0,2.0,2.0,0.09291338582677165,0.35297862605531743,-1.132234961897093,0.42275496581306415,1904
placebo_time,revolutionary rupture,Ideational + Security,3,-0.11767902413801745,2.0,2.0,2.0,0.4797900262467192,0.17744000965760998,-0.5831628433345409,0.1940304182182236,1904
placebo_time,revolutionary rupture,Political + Economic,-3,0.03204852285836951,2.0,2.0,2.0,0.8848920863309353,0.1944618267264834,-0.4614007368156734,0.24771906546624686,1528
placebo_time,revolutionary rupture,Political + Economic,-2,0.03091762381455803,2.0,2.0,2.0,0.8296422487223168,0.13585930079991362,-0.27061258357561685,0.20794061126843044,1760
placebo_time,revolutionary rupture,Political + Economic,0,0.14540605700258585,2.0,2.0,2.0,0.4041994750656168,0.1838636535849147,-0.17248090411342176,0.7365172837521695,1904
placebo_time,revolutionary rupture,Political + Economic,1,-0.18227220737617528,2.0,2.0,2.0,0.7616797900262468,0.28648248953108957,-0.3669447720150769,0.7320084796122013,1904
placebo_time,revolutionary rupture,Political + Economic,2,0.23156739357733114,2.0,2.0,2.0,0.6897637795275591,0.31081235210559116,-0.4170003678985019,0.9180084754679618,1904
placebo_time,revolutionary rupture,Political + Economic,3,0.2722965545723699,2.0,2.0,2.0,0.42152230971128607,0.28058237202388836,-0.3177505053349238,0.9568256946066781,1904
placebo_time,revolutionary rupture,Political + Ideational,-3,0.0015482578095882896,2.0,2.0,2.0,1.0,0.0855807968541065,-0.16432132911439937,0.10098454568810693,1536
placebo_time,revolutionary rupture,Political + Ideational,-2,0.04025964632167297,2.0,2.0,2.0,0.7351290684624018,0.07101156382623827,-0.09620624218353185,0.11388373906600802,1781
placebo_time,revolutionary rupture,Political + Ideational,0,-0.01562692126628159,2.0,2.0,2.0,0.8973958333333333,0.10662154663465878,-0.20333065437453254,0.2158977930864433,1919
placebo_time,revolutionary rupture,Political + Ideational,1,-0.015223634490420305,2.0,2.0,2.0,0.8494791666666667,0.10346005711955406,-0.24516646213016074,0.2736107703314123,1919
placebo_time,revolutionary rupture,Political + Ideational,2,-0.07622396650756263,2.0,2.0,2.0,0.6020833333333333,0.13353069032720943,-0.24270397471514704,0.2913702496884342,1919
placebo_time,revolutionary rupture,Political + Ideational,3,0.005112107069245003,2.0,2.0,2.0,0.9932291666666667,0.11536529981930103,-0.26978992585613737,0.21265257970736734,1919
placebo_time,revolutionary rupture,Political + Security,-3,0.07243931846905667,2.0,2.0,2.0,0.8893203883495145,0.24979142616721983,-0.3549679681038839,0.43034899152956296,1544
placebo_time,revolutionary rupture,Political + Security,-2,0.01706834274867814,2.0,2.0,2.0,0.8977853492333902,0.17130335325225857,-0.20608918209657928,0.41144736861827375,1760
placebo_time,revolutionary rupture,Political + Security,0,-0.2911602961498876,2.0,2.0,2.0,0.3785488958990536,0.2908173537640431,-0.7804911541986531,0.37507515290265403,1901
placebo_time,revolutionary rupture,Political + Security,1,-0.31550661821101544,2.0,2.0,2.0,0.4815983175604627,0.4181450657086879,-0.805304724102933,0.6335576269021034,1901
placebo_time,revolutionary rupture,Political + Security,2,-0.5868511795550215,2.0,2.0,2.0,0.16876971608832808,0.3884612052558045,-0.6872784459501213,0.5799086078258769,1901
placebo_time,revolutionary rupture,Political + Security,3,-0.6690472822331444,2.0,2.0,2.0,0.059411146161934804,0.3725297187733307,-0.6890501409781379,0.6621937158362492,1901
