spec,shock_type,outcome,event_time,att,n_groups,n_treated_cells,min_controls,p_value_ri,null_sd,null_ci_low,null_ci_high,n_draws
placebo_outcome,revolutionary rupture,log_n_classified,-3,-0.26914761116822694,2.0,4.0,3.0,0.11244377811094453,0.1671584712076615,-0.3376491995659516,0.32484927756548027,2000
placebo_outcome,revolutionary rupture,log_n_classified,-2,-0.2746276456128725,2.0,4.0,4.0,0.015992003998001,0.1181782975851819,-0.25287000507090374,0.2135301625041867,2000
placebo_outcome,revolutionary rupture,log_n_classified,0,0.13696494495516875,2.0,4.0,6.0,0.15692153923038482,0.09496512008969696,-0.183528716143662,0.19916062548682367,2000
placebo_outcome,revolutionary rupture,log_n_classified,1,-0.20630758218633788,2.0,4.0,6.0,0.26786606696651677,0.17827062526038698,-0.29872425704566674,0.35153843558185005,2000
placebo_outcome,revolutionary rupture,log_n_classified,2,-0.44164906213362093,2.0,4.0,6.0,0.037481259370314844,0.22546876481704767,-0.39200799584775103,0.4502970871408908,2000
placebo_outcome,revolutionary rupture,log_n_classified,3,-0.8818829123993261,1.0,1.0,6.0,0.2826086956521739,0.5618977878398008,-0.8818829123993261,1.1694661549502936,873
placebo_outcome,revolutionary rupture,crossing_rate,-3,-0.06152232835037131,2.0,4.0,3.0,0.047976011994003,0.0320187947648716,-0.06581994834712833,0.05519117480074849,2000
placebo_outcome,revolutionary rupture,crossing_rate,-2,-0.04758996845790254,2.0,4.0,4.0,0.06296851574212893,0.026187132324281822,-0.0489146297533542,0.05128700565788257,2000
placebo_outcome,revolutionary rupture,crossing_rate,0,0.011299883410851348,2.0,4.0,6.0,0.688655672163918,0.0263499946801104,-0.05595400683947049,0.04690365549744035,2000
placebo_outcome,revolutionary rupture,crossing_rate,1,0.024048537327454718,2.0,4.0,6.0,0.519240379810095,0.033510774273464876,-0.07522182696509908,0.05271872129970555,2000
placebo_outcome,revolutionary rupture,crossing_rate,2,0.008488864523487575,2.0,4.0,6.0,0.8195902048975512,0.03065016964121321,-0.06682617855457448,0.04630274159524234,2000
placebo_outcome,revolutionary rupture,crossing_rate,3,-0.08187813429064879,1.0,1.0,6.0,0.42093023255813955,0.07686101499179125,-0.14303546557991842,0.09886737814866159,859
placebo_outcome,revolutionary rupture,share_political,-3,-0.20758825105740783,2.0,4.0,3.0,0.0009995002498750624,0.060765994353064526,-0.13170024258949856,0.11088761350960052,2000
placebo_outcome,revolutionary rupture,share_political,-2,-0.16303151850440428,2.0,4.0,4.0,0.0004997501249375312,0.0474967688649725,-0.10599890416462432,0.08229360563697545,2000
placebo_outcome,revolutionary rupture,share_political,0,0.07686891131327704,2.0,4.0,6.0,0.08745627186406797,0.04504947211435597,-0.09629161819971781,0.08588323231791696,2000
placebo_outcome,revolutionary rupture,share_political,1,0.052552942629827466,2.0,4.0,6.0,0.4287856071964018,0.06399522616644537,-0.12258099561225036,0.12645784617472713,2000
placebo_outcome,revolutionary rupture,share_political,2,0.01401250572745022,2.0,4.0,6.0,0.8415792103948025,0.0686398705534492,-0.13135018712357036,0.123850241825696,2000
placebo_outcome,revolutionary rupture,share_political,3,-0.2511499422513178,1.0,1.0,6.0,0.4624591947769314,0.19738423703636626,-0.2702705259363086,0.2575256236510651,918
