shock_type,outcome,dropped,event_time,att,n_groups,n_treated_cells,min_controls
revolutionary rupture,Political + Economic,New Zealand,-2,0.001617215079977502,2.0,4.0,4.0
revolutionary rupture,Political + Economic,New Zealand,0,-0.20959206152141768,2.0,4.0,6.0
revolutionary rupture,Political + Economic,New Zealand,1,-0.3275039714634109,2.0,4.0,6.0
revolutionary rupture,Political + Economic,New Zealand,2,-0.011287735878250965,2.0,4.0,6.0
revolutionary rupture,Political + Economic,New Zealand,3,0.3023668966551755,1.0,1.0,6.0
revolutionary rupture,Political + Ideational,New Zealand,-3,-0.011897988315748481,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,New Zealand,-2,-0.0867114316586303,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,New Zealand,0,-0.033687428976134075,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,New Zealand,1,0.0339559913889218,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,New Zealand,2,0.004092358632256404,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,New Zealand,3,0.0172175401596926,1.0,1.0,6.0
revolutionary rupture,Political + Security,New Zealand,-3,0.2546493499724983,2.0,4.0,3.0
revolutionary rupture,Political + Security,New Zealand,-2,0.11482720580058745,2.0,4.0,4.0
revolutionary rupture,Political + Security,New Zealand,0,0.24214458055136576,2.0,4.0,6.0
revolutionary rupture,Political + Security,New Zealand,1,0.12100276156391736,2.0,4.0,6.0
revolutionary rupture,Political + Security,New Zealand,2,0.22074434339352977,2.0,4.0,6.0
revolutionary rupture,Political + Security,New Zealand,3,0.37329744455572456,1.0,1.0,6.0
revolutionary rupture,Economic + Security,Norway,-3,0.12333588587332991,2.0,4.0,3.0
revolutionary rupture,Economic + Security,Norway,-2,-0.28042295588512706,2.0,4.0,4.0
revolutionary rupture,Economic + Security,Norway,0,-0.17275702344569124,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Norway,1,0.4514764654082797,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Norway,2,-0.19594329839771088,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Norway,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,Norway,-3,-0.22695130890944135,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Norway,-2,-0.17631300815771464,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,Norway,0,0.2978865095461559,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Norway,1,0.09267824155544203,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Norway,2,-0.17630778832925015,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Norway,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,Norway,-3,0.10704735608999225,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Norway,-2,0.42101502869711654,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,Norway,0,-0.4192035900208866,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Norway,1,-0.5998185471803626,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Norway,2,-0.043024941111857146,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Norway,3,0.34629626308329675,1.0,1.0,6.0
revolutionary rupture,Political + Economic,Norway,-3,-0.21627658427469068,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Norway,-2,0.0039641154486218105,2.0,4.0,4.0
revolutionary rupture,Political + Economic,Norway,0,-0.21382197390156843,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Norway,1,-0.32970975409606806,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Norway,2,-0.013313910178284899,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Norway,3,0.3023668966551755,1.0,1.0,6.0
revolutionary rupture,Political + Ideational,Norway,-3,-0.010528349373587603,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Norway,-2,-0.08721885857095915,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,Norway,0,-0.03137138898791064,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Norway,1,0.034439039320058054,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Norway,2,0.004572177206466126,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Norway,3,0.0172175401596926,1.0,1.0,6.0
revolutionary rupture,Political + Security,Norway,-3,0.2526573894033843,2.0,4.0,3.0
revolutionary rupture,Political + Security,Norway,-2,0.11231752951433513,2.0,4.0,4.0
revolutionary rupture,Political + Security,Norway,0,0.24235741288925086,2.0,4.0,6.0
revolutionary rupture,Political + Security,Norway,1,0.12431781969866565,2.0,4.0,6.0
revolutionary rupture,Political + Security,Norway,2,0.2223777403601998,2.0,4.0,6.0
revolutionary rupture,Political + Security,Norway,3,0.37329744455572456,1.0,1.0,6.0
revolutionary rupture,Economic + Security,Russia,-3,0.22229979512406814,2.0,3.0,3.0
revolutionary rupture,Economic + Security,Russia,-2,-0.2797364236614108,2.0,3.0,4.0
revolutionary rupture,Economic + Security,Russia,0,0.05453451348131722,2.0,3.0,6.0
revolutionary rupture,Economic + Security,Russia,1,0.6700488424309926,2.0,3.0,6.0
revolutionary rupture,Economic + Security,Russia,2,-0.12415763663926704,2.0,3.0,6.0
revolutionary rupture,Economic + Security,Russia,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,Russia,-3,-0.29034760573818336,2.0,3.0,3.0
revolutionary rupture,Ideational + Economic,Russia,-2,-0.2337064294044239,2.0,3.0,4.0
revolutionary rupture,Ideational + Economic,Russia,0,0.3193509223045175,2.0,3.0,6.0
revolutionary rupture,Ideational + Economic,Russia,1,0.06419606097678082,2.0,3.0,6.0
revolutionary rupture,Ideational + Economic,Russia,2,-0.23617875837993915,2.0,3.0,6.0
revolutionary rupture,Ideational + Economic,Russia,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,Russia,-3,0.06843820725978268,2.0,3.0,3.0
revolutionary rupture,Ideational + Security,Russia,-2,0.4731341465185744,2.0,3.0,4.0
revolutionary rupture,Ideational + Security,Russia,0,-0.42415417803782174,2.0,3.0,6.0
revolutionary rupture,Ideational + Security,Russia,1,-0.6534049885764605,2.0,3.0,6.0
revolutionary rupture,Ideational + Security,Russia,2,-0.08757028247610125,2.0,3.0,6.0
revolutionary rupture,Ideational + Security,Russia,3,0.34629626308329675,1.0,1.0,6.0
revolutionary rupture,Political + Economic,Russia,-3,-0.2925778069998003,2.0,3.0,3.0
revolutionary rupture,Political + Economic,Russia,-2,-0.024557581685494257,2.0,3.0,4.0
revolutionary rupture,Political + Economic,Russia,0,-0.19849271791370834,2.0,3.0,6.0
revolutionary rupture,Political + Economic,Russia,1,-0.2766916863802736,2.0,3.0,6.0
revolutionary rupture,Political + Economic,Russia,2,0.014210045794786205,2.0,3.0,6.0
revolutionary rupture,Political + Economic,Russia,3,0.3023668966551755,1.0,1.0,6.0
revolutionary rupture,Political + Ideational,Russia,-3,-0.015542996381293098,2.0,3.0,3.0
revolutionary rupture,Political + Ideational,Russia,-2,-0.08517071842035535,2.0,3.0,4.0
revolutionary rupture,Political + Ideational,Russia,0,-0.029939339924429983,2.0,3.0,6.0
revolutionary rupture,Political + Ideational,Russia,1,0.014206214705754486,2.0,3.0,6.0
revolutionary rupture,Political + Ideational,Russia,2,-0.0006791528116846107,2.0,3.0,6.0
revolutionary rupture,Political + Ideational,Russia,3,0.0172175401596926,1.0,1.0,6.0
revolutionary rupture,Political + Security,Russia,-3,0.3235532575408721,2.0,3.0,3.0
revolutionary rupture,Political + Security,Russia,-2,0.08126759477682771,2.0,3.0,4.0
revolutionary rupture,Political + Security,Russia,0,0.20282882639778255,2.0,3.0,6.0
revolutionary rupture,Political + Security,Russia,1,0.07820838594786772,2.0,3.0,6.0
revolutionary rupture,Political + Security,Russia,2,0.2682990186912703,2.0,3.0,6.0
revolutionary rupture,Political + Security,Russia,3,0.37329744455572456,1.0,1.0,6.0
revolutionary rupture,Economic + Security,Spain,-3,0.121053762041726,2.0,4.0,3.0
revolutionary rupture,Economic + Security,Spain,-2,-0.2864800924659337,2.0,4.0,4.0
revolutionary rupture,Economic + Security,Spain,0,-0.15919419476030552,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Spain,1,0.42684941964925693,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Spain,2,-0.1977691297917021,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Spain,3,-0.12304104984578518,1.0,1.0,5.0
revolutionary rupture,Ideational + Economic,Spain,-3,-0.21886872252144818,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Spain,-2,-0.1717513139342594,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,Spain,0,0.2982928546288691,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Spain,1,0.09316640775778832,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Spain,2,-0.1849391950503772,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Spain,3,-0.8523740722754958,1.0,1.0,5.0
revolutionary rupture,Ideational + Security,Spain,-3,0.09890936975560226,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Spain,-2,0.4220276738954508,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,Spain,0,-0.4099084902882143,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Spain,1,-0.5814095326377043,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Spain,2,-0.03835961496229008,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Spain,3,0.23946120130905146,1.0,1.0,5.0
revolutionary rupture,Political + Economic,Spain,-3,-0.2164985586970871,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Spain,-2,0.00353168844229812,2.0,4.0,4.0
revolutionary rupture,Political + Economic,Spain,0,-0.2103732077559971,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Spain,1,-0.32421742606632437,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Spain,2,-0.007335491044339823,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Spain,3,0.3066750664004328,1.0,1.0,5.0
revolutionary rupture,Political + Ideational,Spain,-3,-0.011984551246632145,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Spain,-2,-0.0894638826230028,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,Spain,0,-0.03357118136117404,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Spain,1,0.031662161600056915,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Spain,2,0.004215830945604779,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Spain,3,0.01392932043606615,1.0,1.0,5.0
revolutionary rupture,Political + Security,Spain,-3,0.23820460411950972,2.0,4.0,3.0
revolutionary rupture,Political + Security,Spain,-2,0.11217516655247511,2.0,4.0,4.0
revolutionary rupture,Political + Security,Spain,0,0.2302324917836942,2.0,4.0,5.0
revolutionary rupture,Political + Security,Spain,1,0.10681323228470727,2.0,4.0,5.0
revolutionary rupture,Political + Security,Spain,2,0.20339949217158226,2.0,4.0,5.0
revolutionary rupture,Political + Security,Spain,3,0.42342367619472926,1.0,1.0,5.0
revolutionary rupture,Economic + Security,Sweden,-3,0.13373009530457272,2.0,4.0,2.0
revolutionary rupture,Economic + Security,Sweden,-2,-0.2904610968922309,2.0,4.0,3.0
revolutionary rupture,Economic + Security,Sweden,0,-0.1523962250174233,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Sweden,1,0.4710174881904888,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Sweden,2,-0.16371977034244073,2.0,4.0,5.0
revolutionary rupture,Economic + Security,Sweden,3,-0.025952552929198403,1.0,1.0,5.0
revolutionary rupture,Ideational + Economic,Sweden,-3,-0.21288985535285324,2.0,4.0,2.0
revolutionary rupture,Ideational + Economic,Sweden,-2,-0.15595866916883247,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Sweden,0,0.2877325372427113,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Sweden,1,0.08189292540443457,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Sweden,2,-0.1740466380441389,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,Sweden,3,-0.8422776369493801,1.0,1.0,5.0
revolutionary rupture,Ideational + Security,Sweden,-3,0.16158752512068958,2.0,4.0,2.0
revolutionary rupture,Ideational + Security,Sweden,-2,0.3879325689427179,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Sweden,0,-0.44231620582598313,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Sweden,1,-0.6540333726948617,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Sweden,2,-0.10665326136977166,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,Sweden,3,0.25921180988776515,1.0,1.0,5.0
revolutionary rupture,Political + Economic,Sweden,-3,-0.22059473493962756,2.0,4.0,2.0
revolutionary rupture,Political + Economic,Sweden,-2,0.00048800913742948204,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Sweden,0,-0.22140832776885216,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Sweden,1,-0.33593195286126326,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Sweden,2,-0.01911937633284315,2.0,4.0,5.0
revolutionary rupture,Political + Economic,Sweden,3,0.30397303384702135,1.0,1.0,5.0
revolutionary rupture,Political + Ideational,Sweden,-3,-0.012564077512418281,2.0,4.0,2.0
revolutionary rupture,Political + Ideational,Sweden,-2,-0.09089108526401346,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Sweden,0,-0.029554879017027462,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Sweden,1,0.03577221008196016,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Sweden,2,0.006054177993629839,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,Sweden,3,0.017822982762106865,1.0,1.0,5.0
revolutionary rupture,Political + Security,Sweden,-3,0.2155208851530923,2.0,4.0,2.0
revolutionary rupture,Political + Security,Sweden,-2,0.12609035636441612,2.0,4.0,3.0
revolutionary rupture,Political + Security,Sweden,0,0.2508005310282714,2.0,4.0,5.0
revolutionary rupture,Political + Security,Sweden,1,0.15143189705081553,2.0,4.0,5.0
revolutionary rupture,Political + Security,Sweden,2,0.25925734416526225,2.0,4.0,5.0
revolutionary rupture,Political + Security,Sweden,3,0.36094148435065304,1.0,1.0,5.0
revolutionary rupture,Economic + Security,Switzerland,-3,0.11351113595725502,2.0,4.0,3.0
revolutionary rupture,Economic + Security,Switzerland,-2,-0.28037886483569036,2.0,4.0,4.0
revolutionary rupture,Economic + Security,Switzerland,0,-0.17822977674490034,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Switzerland,1,0.4412278081666279,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Switzerland,2,-0.19505026303531903,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Switzerland,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,Switzerland,-3,-0.2220722396506104,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Switzerland,-2,-0.17934144669067184,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,Switzerland,0,0.29867177209978024,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Switzerland,1,0.09202858297998424,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Switzerland,2,-0.1782164805778803,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Switzerland,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,Switzerland,-3,0.11047488329264048,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Switzerland,-2,0.4224108353230599,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,Switzerland,0,-0.4130045410197569,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Switzerland,1,-0.5861003968264836,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Switzerland,2,-0.03918780418333176,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Switzerland,3,0.34629626308329675,1.0,1.0,6.0
revolutionary rupture,Political + Economic,Switzerland,-3,-0.21612870737452164,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Switzerland,-2,0.003840357808053474,2.0,4.0,4.0
revolutionary rupture,Political + Economic,Switzerland,0,-0.21287248148172536,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Switzerland,1,-0.32616103948357855,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Switzerland,2,-0.010993468188169972,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Switzerland,3,0.3023668966551755,1.0,1.0,6.0
revolutionary rupture,Political + Ideational,Switzerland,-3,-0.014797940240200588,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Switzerland,-2,-0.08680773959381809,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,Switzerland,0,-0.03227786533994052,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Switzerland,1,0.03240885471133065,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Switzerland,2,0.00385682529632049,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Switzerland,3,0.0172175401596926,1.0,1.0,6.0
revolutionary rupture,Political + Security,Switzerland,-3,0.2536011345892141,2.0,4.0,3.0
revolutionary rupture,Political + Security,Switzerland,-2,0.11174198985807224,2.0,4.0,4.0
revolutionary rupture,Political + Security,Switzerland,0,0.24222946252516367,2.0,4.0,6.0
revolutionary rupture,Political + Security,Switzerland,1,0.12196726817784277,2.0,4.0,6.0
revolutionary rupture,Political + Security,Switzerland,2,0.2200753477244825,2.0,4.0,6.0
revolutionary rupture,Political + Security,Switzerland,3,0.37329744455572456,1.0,1.0,6.0
revolutionary rupture,Economic + Security,US,-3,0.0742738774260136,2.0,4.0,3.0
revolutionary rupture,Economic + Security,US,-2,-0.2948538861498658,2.0,4.0,3.0
revolutionary rupture,Economic + Security,US,0,-0.39611875163571686,2.0,4.0,5.0
revolutionary rupture,Economic + Security,US,1,0.13410691731087987,2.0,4.0,5.0
revolutionary rupture,Economic + Security,US,2,-0.5097910755331929,2.0,4.0,5.0
revolutionary rupture,Economic + Security,US,3,0.09274490898752846,1.0,1.0,5.0
revolutionary rupture,Ideational + Economic,US,-3,-0.20795927827454638,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,US,-2,-0.1896417415500178,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,US,0,0.32741409904533836,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,US,1,0.13019030800561215,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,US,2,-0.13808002830472102,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,US,3,-0.8900623170718527,1.0,1.0,5.0
revolutionary rupture,Ideational + Security,US,-3,0.08219752891208543,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,US,-2,0.4158344954730557,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,US,0,-0.4134679942631395,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,US,1,-0.5593534567561612,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,US,2,-0.020295685203076924,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,US,3,0.3753696551344121,1.0,1.0,5.0
revolutionary rupture,Political + Economic,US,-3,-0.21889699576487848,2.0,4.0,3.0
revolutionary rupture,Political + Economic,US,-2,0.030560686071866724,2.0,4.0,3.0
revolutionary rupture,Political + Economic,US,0,-0.21502198293972896,2.0,4.0,5.0
revolutionary rupture,Political + Economic,US,1,-0.3472286934584304,2.0,4.0,5.0
revolutionary rupture,Political + Economic,US,2,-0.05173647688412146,2.0,4.0,5.0
revolutionary rupture,Political + Economic,US,3,0.14839285162727772,1.0,1.0,5.0
revolutionary rupture,Political + Ideational,US,-3,-0.01698676653489079,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,US,-2,-0.08525002983023718,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,US,0,-0.042968695245385574,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,US,1,0.015187628045686234,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,US,2,-0.007177295091252221,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,US,3,0.03281541855434974,1.0,1.0,5.0
revolutionary rupture,Political + Security,US,-3,0.29576013767921633,2.0,4.0,3.0
revolutionary rupture,Political + Security,US,-2,0.12557176557185984,2.0,4.0,3.0
revolutionary rupture,Political + Security,US,0,0.31625861599512034,2.0,4.0,5.0
revolutionary rupture,Political + Security,US,1,0.24175230083974897,2.0,4.0,5.0
revolutionary rupture,Political + Security,US,2,0.33960462098381083,2.0,4.0,5.0
revolutionary rupture,Political + Security,US,3,0.4957159242718681,1.0,1.0,5.0
revolutionary rupture,Economic + Security,United Kingdom,-3,0.03628616088430465,2.0,4.0,2.0
revolutionary rupture,Economic + Security,United Kingdom,-2,-0.2790615813512083,2.0,4.0,3.0
revolutionary rupture,Economic + Security,United Kingdom,0,-0.07383394904835061,2.0,4.0,5.0
revolutionary rupture,Economic + Security,United Kingdom,1,0.6013379640559027,2.0,4.0,5.0
revolutionary rupture,Economic + Security,United Kingdom,2,-0.10419679115806138,2.0,4.0,5.0
revolutionary rupture,Economic + Security,United Kingdom,3,0.05759017121088708,1.0,1.0,5.0
revolutionary rupture,Ideational + Economic,United Kingdom,-3,-0.27270774940671766,2.0,4.0,2.0
revolutionary rupture,Ideational + Economic,United Kingdom,-2,-0.20076640909274662,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,United Kingdom,0,0.3009460928641974,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,United Kingdom,1,0.06734541663661184,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,United Kingdom,2,-0.2203019676691565,2.0,4.0,5.0
revolutionary rupture,Ideational + Economic,United Kingdom,3,-0.9224139165202107,1.0,1.0,5.0
revolutionary rupture,Ideational + Security,United Kingdom,-3,0.15050975095000402,2.0,4.0,2.0
revolutionary rupture,Ideational + Security,United Kingdom,-2,0.4577437931897403,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,United Kingdom,0,-0.34685763737279446,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,United Kingdom,1,-0.48045640523381267,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,United Kingdom,2,0.09551685253431476,2.0,4.0,5.0
revolutionary rupture,Ideational + Security,United Kingdom,3,0.42371904682331063,1.0,1.0,5.0
revolutionary rupture,Political + Economic,United Kingdom,-3,-0.1366935018747462,2.0,4.0,2.0
revolutionary rupture,Political + Economic,United Kingdom,-2,-0.0006887999081214985,2.0,4.0,3.0
revolutionary rupture,Political + Economic,United Kingdom,0,-0.22134093193063636,2.0,4.0,5.0
revolutionary rupture,Political + Economic,United Kingdom,1,-0.33154165960262366,2.0,4.0,5.0
revolutionary rupture,Political + Economic,United Kingdom,2,0.0056337548448816555,2.0,4.0,5.0
revolutionary rupture,Political + Economic,United Kingdom,3,0.35201417483691644,1.0,1.0,5.0
revolutionary rupture,Political + Ideational,United Kingdom,-3,-0.01256608464982353,2.0,4.0,2.0
revolutionary rupture,Political + Ideational,United Kingdom,-2,-0.08680529815832827,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,United Kingdom,0,-0.03505418769308364,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,United Kingdom,1,0.03875325853942087,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,United Kingdom,2,0.012757723191574977,2.0,4.0,5.0
revolutionary rupture,Political + Ideational,United Kingdom,3,0.05059314525797565,1.0,1.0,5.0
revolutionary rupture,Political + Security,United Kingdom,-3,0.24452847440764017,2.0,4.0,2.0
revolutionary rupture,Political + Security,United Kingdom,-2,0.08410540930457093,2.0,4.0,3.0
revolutionary rupture,Political + Security,United Kingdom,0,0.18471174547421665,2.0,4.0,5.0
revolutionary rupture,Political + Security,United Kingdom,1,0.06520734398813059,2.0,4.0,5.0
revolutionary rupture,Political + Security,United Kingdom,2,0.14051247121408478,2.0,4.0,5.0
revolutionary rupture,Political + Security,United Kingdom,3,0.34602034267384807,1.0,1.0,5.0
state creation,Economic + Security,Argentina,-3,0.2918874726658592,2.0,5.0,6.0
state creation,Economic + Security,Argentina,-2,-0.3327073929413422,3.0,6.0,4.0
state creation,Economic + Security,Argentina,0,0.043205187762684984,3.0,6.0,6.0
state creation,Economic + Security,Argentina,1,0.23770900467942346,3.0,6.0,6.0
state creation,Economic + Security,Argentina,2,0.20570358707284822,3.0,6.0,6.0
state creation,Economic + Security,Argentina,3,0.4508543451407813,2.0,3.0,5.0
state creation,Ideational + Economic,Argentina,-3,-0.21869811365536038,2.0,5.0,6.0
state creation,Ideational + Economic,Argentina,-2,-0.16734390423495973,3.0,6.0,4.0
state creation,Ideational + Economic,Argentina,0,-0.1728006564105078,3.0,6.0,6.0
state creation,Ideational + Economic,Argentina,1,-0.22803705288368134,3.0,6.0,6.0
state creation,Ideational + Economic,Argentina,2,-0.25745809392064334,3.0,6.0,6.0
state creation,Ideational + Economic,Argentina,3,-0.6660810807204897,2.0,3.0,5.0
state creation,Ideational + Security,Argentina,-3,0.02553606756097184,2.0,5.0,6.0
state creation,Ideational + Security,Argentina,-2,0.11119358311030199,3.0,6.0,4.0
state creation,Ideational + Security,Argentina,0,-0.12083350144413456,3.0,6.0,6.0
state creation,Ideational + Security,Argentina,1,-0.23781204121058705,3.0,6.0,6.0
state creation,Ideational + Security,Argentina,2,-0.06197838737114081,3.0,6.0,6.0
state creation,Ideational + Security,Argentina,3,0.6843874799223935,2.0,3.0,5.0
state creation,Political + Economic,Argentina,-3,0.1352909129293033,2.0,5.0,6.0
state creation,Political + Economic,Argentina,-2,0.046711679088512814,3.0,6.0,4.0
state creation,Political + Economic,Argentina,0,0.10808067654074632,3.0,6.0,6.0
state creation,Political + Economic,Argentina,1,0.1388285746798462,3.0,6.0,6.0
state creation,Political + Economic,Argentina,2,0.04315391929466119,3.0,6.0,6.0
state creation,Political + Economic,Argentina,3,0.19178612606173331,2.0,3.0,5.0
state creation,Political + Ideational,Argentina,-3,0.05438021642312071,2.0,5.0,6.0
state creation,Political + Ideational,Argentina,-2,0.045421243555219454,3.0,6.0,4.0
state creation,Political + Ideational,Argentina,0,0.025595865327687855,3.0,6.0,6.0
state creation,Political + Ideational,Argentina,1,0.022452632201858575,3.0,6.0,6.0
state creation,Political + Ideational,Argentina,2,0.028589664832393353,3.0,6.0,6.0
state creation,Political + Ideational,Argentina,3,0.05933186141394737,2.0,3.0,5.0
state creation,Political + Security,Argentina,-3,0.2445315267185432,2.0,5.0,6.0
state creation,Political + Security,Argentina,-2,0.05363434595255264,3.0,6.0,4.0
state creation,Political + Security,Argentina,0,-0.02416152695740501,3.0,6.0,6.0
state creation,Political + Security,Argentina,1,0.020861665759993448,3.0,6.0,6.0
state creation,Political + Security,Argentina,2,-0.08465767217553342,3.0,6.0,6.0
state creation,Political + Security,Argentina,3,-0.5228477292970485,2.0,3.0,5.0
state creation,Economic + Security,Australia,-3,-0.08013181674736697,2.0,4.0,6.0
state creation,Economic + Security,Australia,-2,-0.4884231368782393,3.0,5.0,4.0
state creation,Economic + Security,Australia,0,-0.14522604614285106,3.0,5.0,6.0
state creation,Economic + Security,Australia,1,0.14938698787154248,3.0,5.0,6.0
state creation,Economic + Security,Australia,2,0.05754163122131799,3.0,5.0,6.0
state creation,Economic + Security,Australia,3,0.4508543451407813,2.0,3.0,5.0
state creation,Ideational + Economic,Australia,-3,-0.17628783611994436,2.0,4.0,6.0
state creation,Ideational + Economic,Australia,-2,-0.19515543156252366,3.0,5.0,4.0
state creation,Ideational + Economic,Australia,0,-0.15203353099024924,3.0,5.0,6.0
state creation,Ideational + Economic,Australia,1,-0.2345929034041921,3.0,5.0,6.0
