birth_century,n_two_sector,n_within_domain,n_cross_domain,share_within_domain
800,223,129,94,0.57847533632287
900,238,133,105,0.5588235294117647
1000,352,231,121,0.65625
1100,508,310,198,0.610236220472441
1200,714,418,296,0.5854341736694678
1300,973,521,452,0.5354573484069887
1400,2925,1481,1444,0.5063247863247863
1500,8205,4305,3900,0.5246800731261426
1600,11716,5873,5843,0.5012803004438375
1700,37959,15973,21986,0.42079612213177375
1800,158660,72662,85998,0.45797302407664187
1900,344051,184929,159122,0.5375046141415081
