pair,sector_a,sector_b,n_pair_total,expected_total,assoc_pooled,assoc_pooled_ci_low,assoc_pooled_ci_high,q_pooled,direction_pooled,share_of_diversified,log_or_uncond,assoc_Pre_1000,assoc_1000_1399,assoc_1400_1599,assoc_1600_1799,assoc_1800_1899,assoc_1900_2020,n_Pre_1000,n_1000_1399,n_1400_1599,n_1600_1799,n_1800_1899,n_1900_2020,slope_per_century,slope_ci_low,slope_ci_high,q_slope,trend,assoc_first,assoc_last,n_centuries
Nobility + Kinship,Nobility,Kinship,12889,1713.7144393645178,2.910576801276913,2.891549350824791,2.931000467856383,0.0005267636452044,associated,0.0178207007162016,2.574955437371637,0.7861525190934185,0.6119409564176019,1.5124313839218988,1.757155101803951,2.355859175075751,2.3578870045384006,1681,3602,2223,2559,1625,1199,0.2051667088035949,0.1622090480266555,0.2481243695805342,4.526468730306829e-05,converging,0.6108284740790866,2.3094515077429474,12
Military + Nobility,Military,Nobility,7460,2142.02264192662,1.799961871968876,1.7715155396111926,1.8272879090540308,0.0005267636452044,associated,0.0103144097558277,1.1421333603738535,-0.554067568311286,0.42555597588355,1.255499685542984,1.2014210797214149,1.8620561009275751,1.05001086737566,258,609,1216,2826,1948,603,0.166261409403631,0.0921702300661679,0.2403525887410942,0.0034806056970927,converging,-0.7413043766339188,1.065165198294029,12
Politics + Administration & Law,Politics,Administration & Law,61160,18322.897142514797,1.7389131983960655,1.7313635997729315,1.746374193222602,0.0005267636452044,associated,0.0845615684539446,1.535103361744631,0.975903244387612,1.087581726994317,1.2012231309265888,1.3063111567321624,1.3962192525024246,1.98454616171232,59,75,672,6839,24246,29269,0.3510257765761093,0.237745491551907,0.4643060616003115,0.0004918699315376,converging,-1.65687575228455,1.982676045692774,12
Culture (core) + Culture (periphery),Culture (core),Culture (periphery),100550,36512.49523653254,1.4614383296450348,1.4555600592183613,1.467495279876594,0.0005267636452044,associated,0.1390233111190996,1.0648464022364872,2.451645743827431,2.9470298595048123,2.0079266697105,1.8692543141399665,1.63625858448706,1.2038670097834705,51,110,882,3022,15178,81307,-0.2732687101936827,-0.3427150720593238,-0.2038223483280416,0.0001147461533032,diverging,2.5412892434446324,1.2051915159369126,12
Big business + Sport & Games,Big business,Sport & Games,9238,3461.727958497045,1.4159579117619274,1.3915274384674086,1.4419545589169014,0.0005267636452044,associated,0.0127727235019218,-1.3507801087061244,-0.2854310244626159,-0.7503085095159132,-2.176527669825029,0.76983217341026,1.187687077750749,1.348531791561775,0,0,0,34,1193,8011,0.1308942563283546,0.0978924048524869,0.1638961078042223,0.0001147461533032,converging,-0.0178577281213471,1.3506944141606134,12
Big business + Exploration & Invention,Big business,Exploration & Invention,4660,1869.2979855232416,1.3176023335798863,1.2788040973433112,1.3558273681621758,0.0005267636452044,associated,0.0064430495257583,0.9589909855373288,2.7425283708320207,2.292462967899905,1.7414687004361051,1.2194384560818905,1.3541197165983363,1.2649923976940622,5,6,39,258,1758,2594,0.1623179885771692,0.1272290879784191,0.1974068891759192,5.033287732128224e-05,converging,2.155765871543567,1.2634659075555092,12
Kinship + Sport & Games,Kinship,Sport & Games,6969,2839.821083073342,1.295001131303567,1.2648180373782356,1.326291246162164,0.0005267636452044,associated,0.009635539086912,-1.2321456853957935,-0.3641161024389102,-1.1827677149018616,-1.4261797862957248,0.7887645741463456,0.935625129167771,1.910122527164719,7,7,5,66,714,6170,0.4781855941880381,0.2826120916042527,0.6737590967718234,0.0021148787112631,converging,-1.36082353216233,1.923936449304442,12
Religion + Academia,Religion,Academia,18022,7577.936849492291,1.249826939485538,1.2342509478457513,1.2654721919983698,0.0005267636452044,associated,0.024917733595111,0.3623870995272157,1.8896357842449432,2.3619480606285195,1.3719035100068055,1.530962603144507,1.2382368470253966,1.2895614574780383,343,491,1483,3148,4807,7750,-0.0852076369408542,-0.130784057673297,-0.0396312162084114,0.0099972679424541,diverging,2.0301479775466422,1.287367274742588,12
Academia + Exploration & Invention,Academia,Exploration & Invention,11697,5691.595500993612,1.0391684562303154,1.0169486850388978,1.0595267842489573,0.0005267636452044,associated,0.0161726073611149,0.6339281254253878,0.8413676840429868,0.8740353784727667,-0.0165920973561855,0.8391749607708645,0.878350041421757,1.1845899089728589,15,15,102,666,3413,7486,0.2120758823134253,0.1364469265153647,0.2877048381114858,0.0009776111458247,converging,0.1866640890826482,1.1810815498967084,12
Military + Exploration & Invention,Military,Exploration & Invention,3833,1916.7354824931128,0.999634634407358,0.9548107075219162,1.040949138282403,0.0005267636452044,associated,0.0052996156292343,0.5234005681404206,0.4020456723352581,1.2487609039157326,1.670350325297497,1.0623814824192384,1.2691773426984452,0.344491301893712,14,19,192,722,1995,891,-0.1841310916087696,-0.3515550475307807,-0.0167071356867584,0.0979836366621046,flat,1.225291854244303,0.3444609273221937,12
