pair,sector_a,sector_b,n_pair_total,expected_total,assoc_pooled,assoc_pooled_ci_low,assoc_pooled_ci_high,q_pooled,direction_pooled,share_of_diversified,log_or_uncond,assoc_Pre_1000,assoc_1000_1399,assoc_1400_1599,assoc_1600_1799,assoc_1800_1899,assoc_1900_2020,n_Pre_1000,n_1000_1399,n_1400_1599,n_1600_1799,n_1800_1899,n_1900_2020,slope_per_century,slope_ci_low,slope_ci_high,q_slope,trend,assoc_first,assoc_last,n_centuries
Military + Sport & Games,Military,Sport & Games,6905,3549.5768251911136,0.9598956326220478,0.927801395342866,0.9896987720674952,0.0005267636452044,associated,0.0095470508530818,-1.8977041246798847,0.438001027938383,0.580218740407102,0.5603810947270523,0.492654710474456,1.5546702741844651,1.2725851708997795,5,5,14,87,1852,4942,0.1247219905305004,0.016726484195713,0.2327174968652877,0.0854051882683359,flat,-0.4625850190822196,1.2744838457111345,12
Politics + Military,Politics,Military,24493,12661.478879964556,0.9518960483407348,0.9369351049340224,0.9667740569805032,0.0005267636452044,associated,0.0338647236125321,0.3362346928349057,1.621019128458929,0.7826382340696406,0.6442017324981226,0.9121765640214476,0.4533608815910162,1.136028295498423,576,116,488,5979,7957,9377,0.0838891413003342,-0.065575351165949,0.2333536337666175,0.3620590738733932,flat,1.5839867066456497,1.1331378252139723,12
Exploration & Invention + Sport & Games,Exploration & Invention,Sport & Games,3642,1920.476918393281,0.9230887879659968,0.87898570208511,0.9667545208343338,0.0005267636452044,associated,0.0050355335563974,-1.6474538311600415,-0.7169032478052764,0.6061982557530148,0.4606029933177037,0.9964911711190562,0.6962459139691276,1.0318469577591471,0,1,4,29,561,3047,0.130744651961925,0.104054230341398,0.1574350735824519,4.495301212482006e-05,converging,-0.1263182730440857,1.032604149828873,12
Politics + Big business,Politics,Big business,21576,12348.118548563394,0.8051112039633126,0.7890742396470286,0.8201090375540859,0.0005267636452044,associated,0.0298315958299919,0.423770582276797,-0.4724923818740442,1.885628581550319,1.283487872848008,0.7968791715348448,0.7342146192021062,0.8223640652534822,4,28,144,1766,8031,11603,0.0424209821193012,-0.0299698302728341,0.1148117945114365,0.3435338115814804,flat,-0.7307012327155514,0.8205585082913842,12
Big business + Small business,Big business,Small business,6523,3858.050009744976,0.7575874052301826,0.7255838256299286,0.7881521574037205,0.0005267636452044,associated,0.0090188867074081,0.6359441530922234,0.7985102441633923,2.4325096316773065,2.16970944986502,1.5279697389798257,0.9521229538834952,0.4140715375147416,1,12,114,832,2654,2910,0.0464899293148488,-0.0475491605274215,0.1405290191571193,0.4137674201480522,flat,-0.0933995676151001,0.4123297658769511,12
Small business + Exploration & Invention,Small business,Exploration & Invention,3129,2140.3461168967888,0.5477510771340589,0.5011492721293083,0.5981653350909679,0.0005267636452044,associated,0.0043262450571025,0.5188411631680114,1.522612203501843,0.1826904433396473,-0.2908412264055561,0.8710985449676046,0.7611048337129552,0.1788106605124484,4,3,32,382,1537,1171,0.1199436477473753,0.0115423828140333,0.2283449126807173,0.0979836366621046,flat,-0.576634308458134,0.1784660186575951,12
Religion + Sport & Games,Religion,Sport & Games,3642,2556.9724352250973,0.5102102817926403,0.4662894473231925,0.5526667147321975,0.0005267636452044,associated,0.0050355335563974,-2.35895445852716,0.8570823678008066,0.4316939998701239,-0.1306425680340955,-0.2946209444798426,0.820349371616422,1.019459317079688,7,8,14,34,671,2908,0.2129292543942854,0.1571587822252354,0.2686997265633354,0.0001171687135643,converging,0.8713770580246942,1.019911391035892,12
Academia + Culture (core),Academia,Culture (core),66218,46977.13839702262,0.4952601410190004,0.4875548042222609,0.5032332995565132,0.0005267636452044,associated,0.0915549041838343,-0.5952431779505855,2.156971537674782,2.268154018149464,0.963827761393598,1.0020875777707143,0.8392505652224613,0.2628166376113413,315,335,1351,4139,15245,44833,-0.274423093485056,-0.3755447910873863,-0.1733013958827257,0.0011469938786637,diverging,1.945088096666943,0.2646585481938641,12
Politics + Small business,Politics,Small business,19560,14138.595232584585,0.4682534441659229,0.4512078726155691,0.4850448930024667,0.0005267636452044,associated,0.027044216464342,0.3052266095900516,-1.2001464005696083,0.6638141679335491,0.2966205814907913,-0.3273152304216766,0.4156006981462644,0.5551010058055321,8,36,251,1529,8494,9242,0.2069717948183191,0.0853212675472893,0.3286223220893488,0.016843712448898,converging,-1.8696584624839416,0.5529542509035057,12
Small business + Sport & Games,Small business,Sport & Games,5164,3963.6783707591903,0.3816068026514634,0.3447020278312295,0.4188966824825324,0.0005267636452044,associated,0.0071398943671708,-1.97847487332878,1.5354758383295986,1.16044220528912,0.3630912158349915,0.4479777528623836,-0.3096443626194975,0.5912002678292396,2,3,8,51,557,4543,0.0602887503019812,0.0175999452633694,0.1029775553405931,0.0387126935278447,converging,-0.0705745922617381,0.5915990023560942,12
Religion + Kinship,Religion,Kinship,2634,2041.7075547999443,0.3673996812411529,0.3151119246794771,0.4192638542593595,0.0005267636452044,associated,0.0036418438735724,0.02724251470708,-0.3078226748592819,-1.0563188991876749,-0.8315949840733142,-0.1352878194973724,0.608560399384561,-0.1601149957908749,246,230,286,567,820,485,0.1818709689235245,0.0871305339130923,0.2766114039339566,0.0087608313157356,converging,-0.8787191603222996,-0.1414030279790444,12
Religion + Nobility,Religion,Nobility,1865,1543.0269918836063,0.2733316483606206,0.2071527916201458,0.3368074931307179,0.0005267636452044,associated,0.0025786024389569,-0.2063322190111936,-0.7706422811129772,-1.2154988229835937,-0.8940262526631951,-0.79135416312624,-0.7553312010076261,-0.3588504135383555,227,356,451,481,191,159,0.0352313104303135,-0.0127810697265052,0.0832436905871323,0.2391773912587526,flat,-0.5719950975982911,-0.3533787309129382,12
Politics + Nobility,Politics,Nobility,9056,7655.59272626501,0.2423453070337981,0.2155112157970286,0.2681539750484386,0.0005267636452044,associated,0.0125210850869673,-0.0608152922142021,0.0610008410544862,0.2375463414863453,0.5334653188379359,0.1308710229039283,0.0531589121594674,0.2753006038786477,638,712,1138,2865,2143,1560,-0.0355737721904223,-0.0832361976409469,0.0120886532601022,0.2342784069494672,flat,0.3982032533863605,0.2854705842126105,12
Small business + Academia,Small business,Academia,13273,11746.901910840286,0.1762071139420647,0.1538259066806447,0.1966338149954299,0.0005267636452044,associated,0.0183516301191825,-0.0173220749428077,1.3398889923456934,0.560229826302378,0.2674495469182407,0.4955215053595651,0.0545986463730935,0.2146479329186962,24,26,274,1368,3847,7734,-0.0510346941928022,-0.1294004146792742,0.0273310262936698,0.2949308378495561,flat,1.2917937427305335,0.2123650345530488,12
Military + Kinship,Military,Kinship,3036,2834.288598694849,0.0991682174371862,0.0482744000776753,0.1456956467522932,0.0005267636452044,associated,0.0041976605923181,-0.0315685435352,-0.2294791397916976,-0.6415288148059267,0.0761812564634814,-0.053955670448296,0.0832200278630184,-0.7542572729434956,254,168,326,885,945,458,-0.0709743730410124,-0.1428329841895979,0.000884238107573,0.1354806922422119,flat,0.3638635238723937,-0.7380910809381704,12
Small business + Culture (core),Small business,Culture (core),18230,17665.93141298206,0.045343482545246,0.0279491363727293,0.063028457902218,0.0005267636452044,associated,0.025205320355059,-0.516155510059335,0.9331144051829529,0.8887949913032838,0.6159310041506538,0.6779726104859095,0.1146847031526334,-0.0413131255556501,18,42,404,1854,4506,11406,-0.2200272642703726,-0.2849346766960381,-0.155119851844707,0.0002645175422645,diverging,-0.1373488588428489,-0.0395870449250744,12
Religion + Culture (core),Religion,Culture (core),11677,11396.308035185084,0.0351016274697457,0.0128796766277305,0.0579667495320316,0.0036381809095452,associated,0.016144954788043,-1.078296607635687,1.052592000410199,1.6324913189086028,0.6054278729365098,0.8440324672720535,0.4850667607693646,-0.2928710151152888,192,380,1009,2335,3204,4557,-0.2229056952832783,-0.3184756745391807,-0.1273357160273759,0.0027540644893548,diverging,1.184873887450878,-0.2911152764040019,12
Kinship + Culture (core),Kinship,Culture (core),12828,12656.95139363819,0.0193655459531722,-0.0028873714607304,0.0406248898503902,0.0830234233532584,not distinguishable,0.0177363603683322,-0.4961813783636708,-1.5128408893495535,-1.5690752481437873,-0.7817623103215894,0.0776271162548532,0.379408356599935,0.3424012869139642,81,117,358,1247,2925,8100,0.1842116154829472,0.1114385839592384,0.2569846470066561,0.0017326045580657,converging,-1.4337013101068812,0.3281907809020139,12
Administration & Law + Military,Administration & Law,Military,5084,5126.717414094661,-0.0120701657625651,-0.0502169019279658,0.0256178249309208,0.5397301349325337,not distinguishable,0.0070292840748831,-0.3160477213541494,-0.995365246638978,0.2333998458709227,-0.3522585747824021,-0.7054964569321213,-0.4070115121831081,0.4614160921825662,9,31,148,796,1801,2299,0.2300930126491808,-0.0108694784226244,0.471055503720986,0.1444924044764286,flat,0.917767775067144,0.4584938650846885,12
Nobility + Sport & Games,Nobility,Sport & Games,2022,2146.203834628835,-0.0859834639559486,-0.1476364060720077,-0.0260131496063994,0.0087193245482521,dissociated,0.0027956751375715,-2.4331174322639075,-0.6956316828717176,-0.1327290986214928,-0.2279501758199514,-0.2716666648168011,-0.1414056123495367,1.4795658233492517,7,26,20,42,203,1724,0.3115794790515615,0.1076668027254808,0.5154921553776421,0.0283766447724619,converging,-1.5439255485205805,1.4824820349512933,12
Politics + Academia,Politics,Academia,34725,37597.26727414555,-0.1146515234714279,-0.126804292783476,-0.1014145604821964,0.0005267636452044,dissociated,0.0480117799961286,-0.662019679845404,-0.8766530311294725,-0.4981534489444844,-0.969094801584216,-1.2512329222665912,-0.578963612554983,0.2707221575172669,79,49,274,1437,8728,24158,0.5745716783082025,0.3851391648972797,0.7640041917191254,0.0005546088513166,converging,-1.4654621432682031,0.2682216880747529,12
Culture (core) + Sport & Games,Culture (core),Sport & Games,13532,15851.18091542148,-0.2282074440952109,-0.2487004072760038,-0.2075563693259199,0.0005267636452044,dissociated,0.018709730940464,-3.5132144947050685,0.0965241221522485,0.462235494044336,1.154795261105447,0.6977675604679902,-0.3134940444940409,-0.4856331491436106,3,6,42,129,1278,12074,-0.0428023830649436,-0.153956516896282,0.0683517507663947,0.5067898603157256,flat,-0.5142502777479311,-0.4922469187600012,12
Kinship + Big business,Kinship,Big business,2357,2764.1424788779177,-0.2298351535742894,-0.2870967807360718,-0.173659203264789,0.0005267636452044,dissociated,0.0032588557365262,-0.0960702243935338,-0.8115750794101315,-1.3169342551749808,-0.2489170995443274,0.113494333666375,0.2914003731743594,-0.1556966929264919,5,11,49,318,907,1067,0.0638421324601957,-0.0809302888469919,0.2086145537673834,0.460836877289864,flat,-0.0436605758260604,-0.140819807387477,12
Politics + Religion,Politics,Religion,7221,9120.82033426928,-0.3369441384068721,-0.36654937143742,-0.3066723281468867,0.0005267636452044,dissociated,0.0099839615076182,-0.911084225011674,-1.1986871954122542,-0.1309924157447622,-0.4856493434630212,-0.5006013218424232,-0.5172801777168736,-0.1533827612589743,83,112,367,1522,2447,2690,0.035726738035397,-0.0387611919857633,0.1102146680565573,0.4236440107871621,flat,-0.6007275491266902,-0.1560184367301376,12
Administration & Law + Academia,Administration & Law,Academia,12024,15223.384778672307,-0.3403596423611706,-0.3640404991444219,-0.3172145722622859,0.0005267636452044,dissociated,0.0166247269308409,-0.6261429339121487,1.1299803427436266,1.3502231574336987,0.7673493788717982,-0.1151182061249364,-0.7833172769236442,-0.1702391818336617,32,70,554,1291,3113,6964,-0.1595735257272131,-0.3278294645285249,0.0086824130740987,0.1445938573609834,flat,0.9953196567119608,-0.1742869492859722,12
Politics + Kinship,Politics,Kinship,7880,10129.752485150186,-0.3623110586848411,-0.3910196755420539,-0.3333160934618489,0.0005267636452044,dissociated,0.0108951137903381,-0.3808384198999998,-0.6790370687953158,-0.9472933234779132,-0.295388665292872,-0.3566186249999736,-0.5075243292351859,-0.1610291155793197,300,181,389,1528,2420,3062,0.0539289004482423,-0.0145059832811842,0.122363784177669,0.210038387225267,flat,-0.6650287696468072,-0.148688232909256,12
Culture (periphery) + Sport & Games,Culture (periphery),Sport & Games,6278,8192.253453737494,-0.3839284749583804,-0.4196554221358634,-0.3523206911882978,0.0005267636452044,dissociated,0.008680142687277,-2.664069736991429,-0.7682177066739491,-1.2097081168049342,-0.0198754409382956,0.0735383009168171,-0.7012701917655334,-0.6579027398434163,0,0,5,28,498,5747,-0.0545646121062928,-0.0638873983536098,-0.0452418258589759,3.476392780488393e-05,diverging,-0.0487618260523625,-0.6537842202948594,12
Military + Big business,Military,Big business,2635,3454.983887200748,-0.3908110598726888,-0.4440284934620234,-0.3375962177443699,0.0005267636452044,dissociated,0.003643226502226,-0.5872425450586544,-1.436468089977758,0.3425714375147528,-0.4897456026644419,-0.9840890914618334,-0.7993161482200472,0.1468449423694293,1,7,27,241,719,1640,0.1139635630710359,-0.0216682086260951,0.2495953347681669,0.1922106799811422,flat,-0.589067118471702,0.143768584503243,12
Military + Small business,Military,Small business,2860,3955.956409401026,-0.4679415179230455,-0.520798304915995,-0.4175922788094493,0.0005267636452044,dissociated,0.0039543179492851,-0.4871805057635535,-0.5324528473827627,0.0065826259486272,-1.2845944448434847,-1.4562030303371365,-0.7758998752265703,0.0684631417968005,8,17,54,328,964,1489,0.2801456819903838,0.1135850329232727,0.4467063310574949,0.0174622765629656,converging,0.7226822118720715,0.0680967797420918,12
Administration & Law + Nobility,Administration & Law,Nobility,2174,3099.800656546143,-0.5117244211089443,-0.5686416920657785,-0.4540328523998981,0.0005267636452044,dissociated,0.0030058346929181,-0.4751973107328422,-0.5172692219859779,-0.7219973536228943,-0.3715930368261222,-0.5945408710758767,-0.5539989095354009,-0.5896590780507589,42,143,368,708,578,335,-0.0256916197469372,-0.0911053728586052,0.0397221333647307,0.5067898603157256,flat,-0.0543745203084797,-0.5791583835713217,12
Politics + Exploration & Invention,Politics,Exploration & Invention,4709,6850.416018362058,-0.540723000645435,-0.5776217575555717,-0.5008352205549078,0.0005267636452044,dissociated,0.0065107983297845,-0.6583700170764119,-0.076504583122319,0.2156275391731014,0.4757224469886271,-0.7741280473996447,-1.101536638618514,-0.2381534378134984,16,12,129,430,1487,2635,0.0270924018710182,-0.2442122803667215,0.298397084108758,0.8487453364614376,flat,-0.9622018945544706,-0.2396537974263196,12
Small business + Culture (periphery),Small business,Culture (periphery),6224,9130.158087508258,-0.552760892056594,-0.5875005954842982,-0.5205533607045958,0.0005267636452044,dissociated,0.0086054807399828,-0.2788430147551228,-1.7353812612360624,1.2499913337422233,1.638187723548625,1.164789084719153,-0.3666399247693862,-0.8580361507586679,0,9,225,871,1646,3473,-0.089131505067332,-0.2498569831610674,0.0715939730264034,0.3630851004388277,flat,-0.2443977599083816,-0.8578858827614437,12
Military + Academia,Military,Academia,6769,10519.65545391249,-0.6360348387756424,-0.6666651217773168,-0.6048436118939795,0.0005267636452044,dissociated,0.0093590133561927,-1.032271693757876,-2.6444067006213894,-2.193700486589476,-2.675371868065401,-1.4865360023921033,-0.4826475813034125,-0.289709694284105,14,11,54,573,2419,3698,0.4057723815254888,0.2766177973366637,0.5349269657143139,0.0004645860324121,converging,-2.3235928202441896,-0.2915085920551865,12
Big business + Academia,Big business,Academia,6502,10259.303345717584,-0.6579366791419369,-0.6900635034603555,-0.6267250278341477,0.0005267636452044,dissociated,0.0089898515056826,-0.858425266581183,0.0978802635987799,-0.7994059996054214,-1.5541198000355003,-1.0266837953978394,-1.2334683173149354,-0.4674741887420189,3,3,22,252,1194,5028,0.0751551076848848,-0.0501825125922591,0.2004927279620288,0.3360485219456121,flat,-0.5477999746423025,-0.4712764485797097,12
Administration & Law + Big business,Administration & Law,Big business,3157,4999.835721749627,-0.6632422264432443,-0.7134335460550365,-0.6173078909559153,0.0005267636452044,dissociated,0.0043649586594032,-0.6181909723960218,-1.0930111771440107,0.4381308262381945,-0.0678611809382703,-0.8638406043563094,-1.2139071094498026,-0.3346693398367862,0,4,34,228,855,2036,-0.0421699958791722,-0.0862249129633154,0.001884921204971,0.1444924044764286,flat,-0.076223619491615,-0.3361721012952708,12
Big business + Culture (periphery),Big business,Culture (periphery),4892,7973.937479435677,-0.7048109032290293,-0.7426366064750435,-0.6650301408585647,0.0005267636452044,dissociated,0.0067638193733926,-0.5575160629943634,2.039137215383655,1.7650219943140115,-0.884591069949457,-0.8110029350627459,-0.9897571219108724,-0.7347944355943011,3,5,11,117,810,3946,-0.0669195383413573,-0.0800925153947612,-0.0537465612879534,4.299592308306445e-05,diverging,-0.064689154701854,-0.7353455540666742,12
Administration & Law + Sport & Games,Administration & Law,Sport & Games,3130,5136.724681533652,-0.7145960715210262,-0.7638593002381827,-0.6698868083651063,0.0005267636452044,dissociated,0.0043276276857561,-2.963080602581742,1.2289169177433514,0.6987894309421403,0.3169273981356571,-1.268127498674691,-0.4284948285353117,-0.5932154179823376,2,3,11,22,742,2350,-0.0441054054904392,-0.055597192205914,-0.0326136187749644,0.0001171687135643,diverging,-0.0575126107991192,-0.590887794498707,12
Religion + Small business,Religion,Small business,1704,2849.7119493239466,-0.7417206064202411,-0.8075683138048285,-0.6759354194662984,0.0005267636452044,dissociated,0.0023559992257279,-0.8201873010189842,1.652846344966402,0.4710373979181131,-0.4807672802939354,-0.4083628777484319,-0.7907059235279794,-1.207158828280074,39,43,156,460,575,431,-0.2128787331248371,-0.2903960199996156,-0.1353614462500587,0.0010954102207482,diverging,0.6580863444649605,-1.2081242546977156,12
Academia + Culture (periphery),Academia,Culture (periphery),14055,24278.861387879115,-0.7885956993542629,-0.8111396318141897,-0.7672113152831761,0.0005267636452044,dissociated,0.0194328457262948,-0.8864033691276071,1.1929256689936432,1.1791095015706636,-0.6902441933021788,-0.1428654159257197,-0.4536207259854921,-0.9897693195314148,21,25,117,627,3173,10092,-0.3201901126632094,-0.4469425947294687,-0.1934376305969501,0.0017326045580657,diverging,1.6216402587503198,-0.9906884186721158,12
Military + Religion,Military,Religion,1446,2551.9909910987626,-0.819339545917807,-0.8914583231101846,-0.7492112463902779,0.0005267636452044,dissociated,0.0019992810331001,-1.2089317109234818,-1.180276330689414,-1.1580075404048396,-1.963228655306421,-2.1720028528204587,-0.9586400846328148,-0.2269803819180428,52,41,85,224,467,577,0.2569241667092709,0.0624888346925081,0.4513594987260336,0.0500570548415597,flat,-1.049475535416819,-0.2276313988979162,12
Kinship + Academia,Kinship,Academia,4763,8416.197427443962,-0.8212322658051577,-0.8600434011086417,-0.7826813859324872,0.0005267636452044,dissociated,0.0065854602770787,-0.7802239172081438,-2.118504740703416,-3.3029858103183978,-2.434441301264429,-0.7800341058195845,0.1593044818490219,-1.0317989535933467,53,27,98,576,2235,1774,0.0724165177538725,-0.3336716212363653,0.4785046567441104,0.7633046994139033,flat,-2.7165359796124706,-1.0154564762635965,12
Politics + Sport & Games,Politics,Sport & Games,7079,12686.193876928615,-0.841596778588233,-0.8732770011746305,-0.8109376976751921,0.0005267636452044,dissociated,0.0097876282388076,-3.375254573067599,-1.3204892884289945,-0.4357985469385846,-2.5765126076330844,-1.1726572246029106,-1.0955880423684077,-0.624390521204464,2,3,2,58,1137,5877,0.1165551460399131,-0.0274494033061172,0.2605596953859436,0.2038397376471127,flat,-0.5794959259081182,-0.6231848451652795,12
Kinship + Exploration & Invention,Kinship,Exploration & Invention,811,1533.4745807524896,-0.9186115764841868,-1.0150339181861512,-0.8269478990652708,0.0005267636452044,dissociated,0.0011213118380665,-0.5319225960056547,-0.4200978217763761,-1.9497187721161495,-1.0200863809894296,-0.7308928394066521,-0.2321145870361741,-1.5571742521467689,20,10,45,128,417,191,0.2395549971052302,-0.031858085829083,0.5109680800395434,0.174852164778717,flat,0.2148655970964862,-1.5378410909838394,12
Exploration & Invention + Culture (periphery),Exploration & Invention,Culture (periphery),2329,4423.733771563028,-0.9254072875322794,-0.9838627146772588,-0.8679862512611732,0.0005267636452044,dissociated,0.0032201421342255,-0.6516443170341026,1.8417751981822612,1.6360047419704042,1.0482326175506862,0.7343202772359942,-0.4565671499383129,-1.3417511196337075,5,6,68,248,775,1227,-0.1074659155607614,-0.2438259598800513,0.0288941287585284,0.210038387225267,flat,-0.418916546135874,-1.3416097554179618,12
Big business + Culture (core),Big business,Culture (core),7921,15428.761611022906,-0.9618234741207784,-0.9911354518714706,-0.9308622260565584,0.0005267636452044,dissociated,0.0109518015651356,-1.527775258043895,0.4590942015369569,-0.7721610900269429,-0.6558550477350178,-0.7608626975974633,-0.992020828336054,-1.0490537327108127,4,4,48,362,1586,5917,-0.0470189017755494,-0.0789205690247095,-0.0151172345263893,0.0331310005774231,diverging,-0.6519579634659268,-1.0469620705160994,12
Administration & Law + Religion,Administration & Law,Religion,1882,3693.081107019776,-0.9723703931142504,-1.036786524181308,-0.9073102398903056,0.0005267636452044,dissociated,0.002602107126068,-1.1568206083136348,0.5065918709439201,1.4059180322370413,0.0612881756283471,-1.4627061597634694,-1.7022127005637244,-0.8685769175035438,27,128,325,319,442,641,-0.33715634565863,-0.5018090339748151,-0.1725036573424449,0.0062004668023839,diverging,1.2487378009756922,-0.8718371855723483,12
Academia + Sport & Games,Academia,Sport & Games,5244,10540.18964704042,-1.007092120604525,-1.044894720430236,-0.9705140733030024,0.0005267636452044,dissociated,0.0072505046594585,-3.4979873558151127,0.9909650596822678,1.1681575117589018,-0.5256985987009932,-0.6896506513206023,-0.4963786318957898,-1.2007786536769585,6,8,11,41,1002,4176,-0.1168245696601018,-0.2557334406807701,0.0220843013605664,0.1922106799811422,flat,1.8930235209066013,-1.1989888131726374,12
Nobility + Big business,Nobility,Big business,1015,2089.009488304805,-1.0409740702103718,-1.1250582382758252,-0.954809396008452,0.0005267636452044,dissociated,0.0014033680834001,-0.8451179201552472,-0.6956316828717173,-0.8374410339244729,-0.8244449030633927,-0.9585327156826214,-0.6618503501367123,-0.0113016943463096,7,27,54,202,281,444,0.0501281688903046,-0.0784432428490496,0.1786995806296588,0.5067898603157256,flat,-0.2452195771712878,0.0034784770424339,12
Exploration & Invention + Culture (core),Exploration & Invention,Culture (core),3878,8559.47691690549,-1.1421081045709762,-1.185374833102909,-1.099289802631225,0.0005267636452044,dissociated,0.0053618339186461,-1.582068456759676,0.4092250428641639,0.8624508048959864,-0.1185046295866852,-0.7830552673309729,-1.028779573664061,-1.238312561284928,11,19,110,258,1022,2458,-0.2396521442480127,-0.286607345235656,-0.1926969432603693,4.299592308306445e-05,diverging,1.0816840433854216,-1.2367013118416816,12
Politics + Culture (periphery),Politics,Culture (periphery),13160,29222.087361985534,-1.1508696180510094,-1.1727376325957226,-1.1298396412460394,0.0005267636452044,dissociated,0.0181953930813262,-1.1386111659369873,-0.4900831630824409,-1.1457749965976929,-2.91956239934954,-2.108878321185985,-0.6942012814392957,-1.208428188015627,13,6,22,317,4617,8185,0.0216972777190456,-0.1841191191032606,0.2275136745413518,0.8487453364614376,flat,-1.4957609666304832,-1.209447379052584,12
