period_type,period,portfolio,n,share_of_classified,kind
era,Pre-1000,Ideational only,3708,0.5028478437754271,single domain
era,Pre-1000,Political only,1640,0.22240303770002712,single domain
era,Pre-1000,Security only,680,0.09221589368049905,single domain
era,Pre-1000,Political + Security,585,0.07933279088689991,cross-domain
era,Pre-1000,Political + Ideational,342,0.046379170056956874,cross-domain
era,Pre-1000,Ideational + Economic,145,0.019663683211282885,cross-domain
era,Pre-1000,Economic only,123,0.016680227827502035,single domain
era,Pre-1000,Ideational + Security,97,0.013154326010306482,cross-domain
era,Pre-1000,Political + Economic,31,0.004203959858963927,cross-domain
era,Pre-1000,Economic + Security,23,0.0031190669921345266,cross-domain
era,1000-1399,Ideational only,5027,0.5643875603457954,single domain
era,1000-1399,Political only,1554,0.17446951835634894,single domain
era,1000-1399,Security only,915,0.10272819131020546,single domain
era,1000-1399,Political + Ideational,482,0.05411474121477489,cross-domain
era,1000-1399,Economic only,344,0.03862130908274391,single domain
era,1000-1399,Ideational + Economic,206,0.023127876950712924,cross-domain
era,1000-1399,Political + Security,147,0.016503873358033008,cross-domain
era,1000-1399,Political + Economic,97,0.010890310991355115,cross-domain
era,1000-1399,Ideational + Security,92,0.010328954754687324,cross-domain
era,1000-1399,Economic + Security,43,0.0048276636353429886,cross-domain
era,1400-1599,Ideational only,16575,0.5492411690635562,single domain
era,1400-1599,Political only,4898,0.16230366492146597,single domain
era,1400-1599,Security only,2053,0.06802969050301544,single domain
era,1400-1599,Political + Ideational,2007,0.06650540128570481,cross-domain
era,1400-1599,Ideational + Economic,1475,0.0488766651202863,cross-domain
era,1400-1599,Economic only,1308,0.04334283252700643,single domain
era,1400-1599,Political + Economic,666,0.022069056928888595,cross-domain
era,1400-1599,Political + Security,636,0.021074955265425143,cross-domain
era,1400-1599,Ideational + Security,287,0.009510239247133673,cross-domain
era,1400-1599,Economic + Security,273,0.009046325137517396,cross-domain
era,1600-1799,Ideational only,49809,0.41749298017685765,single domain
era,1600-1799,Political only,25757,0.2158920414064792,single domain
era,1600-1799,Security only,9837,0.08245253761367922,single domain
era,1600-1799,Political + Ideational,7084,0.05937722643644441,cross-domain
era,1600-1799,Political + Security,6775,0.056787226017350485,cross-domain
era,1600-1799,Ideational + Economic,6638,0.055638908679435065,cross-domain
era,1600-1799,Economic only,6073,0.05090314739533129,single domain
era,1600-1799,Political + Economic,4318,0.03619295084028331,cross-domain
era,1600-1799,Ideational + Security,1723,0.014441976446921755,cross-domain
era,1600-1799,Economic + Security,1291,0.010821004987217636,cross-domain
era,1800-1899,Ideational only,162061,0.4443923439727981,single domain
era,1800-1899,Political only,76890,0.2108423823626193,single domain
era,1800-1899,Political + Ideational,27056,0.07419107162443786,cross-domain
era,1800-1899,Economic only,20362,0.05583525282439399,single domain
era,1800-1899,Political + Economic,19955,0.0547192058791269,cross-domain
era,1800-1899,Ideational + Economic,19722,0.05408028956893715,cross-domain
era,1800-1899,Security only,19369,0.053112317648349235,single domain
era,1800-1899,Political + Security,9758,0.02675770538554349,cross-domain
era,1800-1899,Ideational + Security,5829,0.01598387627509049,cross-domain
era,1800-1899,Economic + Security,3678,0.010085554458703521,cross-domain
era,1900-2020,Ideational only,585952,0.6137043231994,single domain
era,1900-2020,Political only,150607,0.15774016814362277,single domain
era,1900-2020,Political + Ideational,59169,0.06197140909048062,cross-domain
era,1900-2020,Ideational + Economic,49470,0.05181303736257291,cross-domain
era,1900-2020,Economic only,40235,0.04214064197055025,single domain
era,1900-2020,Political + Economic,26589,0.027848329299240977,cross-domain
era,1900-2020,Security only,18685,0.019569973784509295,single domain
era,1900-2020,Political + Security,11676,0.01222900796938349,cross-domain
era,1900-2020,Ideational + Security,8376,0.008772710752959585,cross-domain
era,1900-2020,Economic + Security,4020,0.0042103984272800305,cross-domain
century,800,Ideational only,419,0.5609103078982597,single domain
century,800,Political only,118,0.15796519410977242,single domain
century,800,Security only,78,0.10441767068273092,single domain
century,800,Economic only,38,0.050870147255689425,single domain
century,800,Political + Security,33,0.04417670682730924,cross-domain
century,800,Political + Ideational,28,0.03748326639892905,cross-domain
century,800,Ideational + Economic,15,0.020080321285140562,cross-domain
century,800,Ideational + Security,10,0.013386880856760375,cross-domain
century,800,Economic + Security,7,0.009370816599732263,cross-domain
