period_type,period,sector,n_main,n_any_slot,share_of_elites_main,diversification_rate
era,Pre-1000,Politics,1687,2413,0.16890268321986385,0.6704208654416123
era,Pre-1000,Administration & Law,112,244,0.011213456147376852,0.6964285714285714
era,Pre-1000,Military,605,1385,0.0605726872246696,0.7305785123966942
era,Pre-1000,Religion,1897,2344,0.18992791349619542,0.42171850289931473
era,Pre-1000,Nobility,2930,3939,0.2933520224269123,0.7262798634812286
era,Pre-1000,Kinship,661,2764,0.06617941529835802,0.8638426626323752
era,Pre-1000,Big business,10,46,0.001001201441730076,0.5
era,Pre-1000,Small business,27,140,0.0027032438926712053,0.8148148148148148
era,Pre-1000,Academia,913,1346,0.09140969162995595,0.5892661555312158
era,Pre-1000,Exploration & Invention,74,146,0.007408890668802563,0.6486486486486487
era,Pre-1000,Culture (core),988,1393,0.09891870244293152,0.5738866396761133
era,Pre-1000,Culture (periphery),38,139,0.0038045654785742893,0.7894736842105263
era,Pre-1000,Sport & Games,46,68,0.00460552663195835,0.41304347826086957
era,1000-1399,Politics,904,1716,0.061888135825289244,0.6449115044247787
era,1000-1399,Administration & Law,307,639,0.02101732046279181,0.7654723127035831
era,1000-1399,Military,586,1197,0.040117751762853426,0.773037542662116
era,1000-1399,Religion,2824,3494,0.19333196412678852,0.4235127478753541
era,1000-1399,Nobility,6356,7853,0.4351338399397549,0.6988672120830711
era,1000-1399,Kinship,850,4572,0.05819127815430958,0.8329411764705882
era,1000-1399,Big business,64,141,0.004381460943383309,0.65625
era,1000-1399,Small business,110,384,0.007530635996440063,0.8545454545454545
era,1000-1399,Academia,888,1414,0.06079277058944342,0.6430180180180181
era,1000-1399,Exploration & Invention,48,186,0.003286095707537482,0.6458333333333334
era,1000-1399,Culture (core),1540,2036,0.10542890395016088,0.5805194805194805
era,1000-1399,Culture (periphery),89,247,0.006092969124392415,0.7865168539325843
era,1000-1399,Sport & Games,41,79,0.0028068734168549326,0.7804878048780488
era,1400-1599,Politics,4035,5812,0.11767622269532503,0.5707558859975217
era,1400-1599,Administration & Law,1575,3067,0.04593309807810085,0.6952380952380952
era,1400-1599,Military,1784,3249,0.052028347283385346,0.7214125560538116
era,1400-1599,Religion,5748,7731,0.16763393508122137,0.40622825330549756
era,1400-1599,Nobility,5095,7793,0.1485899267986818,0.6792934249263984
era,1400-1599,Kinship,966,4243,0.028172300154568522,0.7971014492753623
era,1400-1599,Big business,373,675,0.010878124179766106,0.6648793565683646
era,1400-1599,Small business,730,2105,0.021289626410802297,0.6465753424657534
