period_type,period,sector,n_main,n_any_slot,share_of_elites_main,diversification_rate
era,1400-1599,Academia,4813,6662,0.14036571495231706,0.5474755869520049
era,1400-1599,Exploration & Invention,696,1127,0.02029805476975123,0.6149425287356322
era,1400-1599,Culture (core),7569,9107,0.22074134562104464,0.4682256572862994
era,1400-1599,Culture (periphery),821,1773,0.02394353874420368,0.7247259439707674
era,1400-1599,Sport & Games,84,169,0.0024497652308320453,0.6071428571428571
era,1600-1799,Politics,27179,36749,0.21661406528946697,0.5804849332205011
era,1600-1799,Administration & Law,7270,14024,0.05794121397602652,0.7207702888583218
era,1600-1799,Military,13285,19626,0.10588019637847487,0.5454271735039519
era,1600-1799,Religion,10582,15853,0.08433754144350931,0.403042903042903
era,1600-1799,Nobility,6880,13826,0.05483295077786279,0.6484011627906977
era,1600-1799,Kinship,1907,9170,0.015198610048457026,0.7645516518091243
era,1600-1799,Big business,3245,5947,0.02586234378984953,0.6067796610169491
era,1600-1799,Small business,3310,9714,0.02638038765621015,0.6519637462235649
era,1600-1799,Academia,17516,23246,0.13960086712573322,0.5011989038593286
era,1600-1799,Exploration & Invention,2102,4131,0.016752741647538892,0.6579448144624167
era,1600-1799,Culture (core),26943,31815,0.21473316755929608,0.4473889321901793
era,1600-1799,Culture (periphery),4344,7875,0.0346212700841622,0.6192449355432781
era,1600-1799,Sport & Games,909,1253,0.007244644223412395,0.3047304730473047
era,1800-1899,Politics,86837,113601,0.21482023892279414,0.5670509114778263
era,1800-1899,Administration & Law,22969,44304,0.05682147089164364,0.6672471592145935
era,1800-1899,Military,25790,38634,0.06380015387241454,0.43295851105079486
era,1800-1899,Religion,15382,23780,0.03805249968458629,0.418281107788324
era,1800-1899,Nobility,3890,10079,0.009623210491031119,0.6915167095115681
era,1800-1899,Kinship,2269,15135,0.0056131271475963005,0.75495813133539
era,1800-1899,Big business,11986,24948,0.029651362710925187,0.6003670949441015
era,1800-1899,Small business,7250,28318,0.017935289475572137,0.7012413793103448
era,1800-1899,Academia,61167,83861,0.15131694501411322,0.4409403763467229
era,1800-1899,Exploration & Invention,8454,16400,0.020913784445032668,0.6639460610361959
era,1800-1899,Culture (core),96825,112188,0.23952888323755475,0.40675445391169635
era,1800-1899,Culture (periphery),18628,37306,0.046082561703580376,0.6245973802877389
era,1800-1899,Sport & Games,42784,45661,0.10584047240315562,0.17602374719521316
era,1900-2020,Politics,163959,208497,0.11056906731226376,0.4516555968260358
era,1900-2020,Administration & Law,38289,68813,0.025820961449626232,0.5324244561101099
era,1900-2020,Military,23031,42757,0.015531420594592225,0.44935087490773307
era,1900-2020,Religion,20970,34592,0.0141415435660023,0.36576061039580354
era,1900-2020,Nobility,2450,9932,0.0016522070451457146,0.7375510204081632
era,1900-2020,Kinship,1827,24721,0.0012320743965229472,0.7624521072796935
era,1900-2020,Big business,25287,56370,0.0170527998165713,0.5684343733934433
era,1900-2020,Small business,8734,46394,0.0058899495233888455,0.6877719258071903
era,1900-2020,Academia,141930,203775,0.09571336568062501,0.44118931867822164
era,1900-2020,Exploration & Invention,8296,24225,0.005594575365930142,0.7438524590163934
era,1900-2020,Culture (core),418022,471686,0.28190158915342933,0.3279468544717742
era,1900-2020,Culture (periphery),63368,142183,0.042733492259915774,0.6290556747885369
era,1900-2020,Sport & Games,566702,579485,0.3821669538359864,0.08608757336307266
century,800,Politics,89,166,0.07890070921985816,0.7752808988764045
century,800,Administration & Law,5,14,0.004432624113475178,0.8
century,800,Military,72,128,0.06382978723404255,0.8055555555555556
century,800,Religion,221,297,0.19592198581560283,0.48868778280542985
century,800,Nobility,435,546,0.38563829787234044,0.7103448275862069
century,800,Kinship,73,380,0.06471631205673758,0.9041095890410958
century,800,Big business,0,4,0.0,
century,800,Small business,4,16,0.0035460992907801418,1.0
century,800,Academia,92,134,0.08156028368794327,0.6847826086956522
century,800,Exploration & Invention,31,43,0.0274822695035461,0.5483870967741935
century,800,Culture (core),101,157,0.08953900709219859,0.7128712871287128
century,800,Culture (periphery),1,11,0.0008865248226950354,1.0
century,800,Sport & Games,4,5,0.0035460992907801418,0.5
century,900,Politics,104,212,0.06372549019607843,0.8173076923076923
century,900,Administration & Law,9,27,0.0055147058823529415,1.0
century,900,Military,135,228,0.08272058823529412,0.7481481481481481
century,900,Religion,286,358,0.17524509803921567,0.4020979020979021
century,900,Nobility,646,817,0.3958333333333333,0.7198142414860681
century,900,Kinship,127,612,0.0778186274509804,0.84251968503937
century,900,Big business,1,5,0.0006127450980392157,1.0
century,900,Small business,7,24,0.00428921568627451,0.8571428571428571
century,900,Academia,110,161,0.06740196078431372,0.6090909090909091
century,900,Exploration & Invention,18,33,0.011029411764705883,0.6111111111111112
century,900,Culture (core),175,224,0.10723039215686274,0.6857142857142857
century,900,Culture (periphery),5,16,0.0030637254901960784,0.8
century,900,Sport & Games,9,13,0.0055147058823529415,0.7777777777777778
century,1000,Politics,80,185,0.03743565746373421,0.775
century,1000,Administration & Law,24,52,0.011230697239120261,0.7083333333333334
century,1000,Military,71,161,0.033224145999064106,0.7887323943661971
century,1000,Religion,510,600,0.23865231633130557,0.47058823529411764
century,1000,Nobility,1020,1231,0.47730463266261114,0.7352941176470589
century,1000,Kinship,121,764,0.056621431913897985,0.8429752066115702
century,1000,Big business,0,10,0.0,
century,1000,Small business,14,43,0.006551240056153486,0.7857142857142857
century,1000,Academia,128,224,0.059897051941974734,0.6796875
century,1000,Exploration & Invention,7,45,0.003275620028076743,0.7142857142857143
century,1000,Culture (core),151,229,0.07065980346279832,0.6887417218543046
century,1000,Culture (periphery),8,31,0.003743565746373421,0.75
century,1000,Sport & Games,3,5,0.0014038371548900327,1.0
century,1100,Politics,113,292,0.03504962779156327,0.7699115044247787
century,1100,Administration & Law,52,111,0.016129032258064516,0.7692307692307693
century,1100,Military,113,247,0.03504962779156327,0.7610619469026548
century,1100,Religion,655,804,0.2031637717121588,0.42900763358778626
century,1100,Nobility,1508,1859,0.46774193548387094,0.7035809018567639
century,1100,Kinship,227,1077,0.07040942928039702,0.8105726872246696
century,1100,Big business,7,22,0.0021712158808933004,0.5714285714285714
century,1100,Small business,16,73,0.004962779156327543,0.8125
century,1100,Academia,177,294,0.05490074441687345,0.6101694915254238
century,1100,Exploration & Invention,5,34,0.0015508684863523574,0.8
century,1100,Culture (core),334,456,0.10359801488833748,0.6407185628742516
century,1100,Culture (periphery),11,36,0.003411910669975186,0.7272727272727273
century,1100,Sport & Games,6,14,0.0018610421836228288,0.8333333333333334
century,1200,Politics,239,465,0.057054189544043926,0.6652719665271967
century,1200,Administration & Law,85,195,0.020291238959178802,0.7294117647058823
century,1200,Military,158,319,0.03771783241823824,0.7658227848101266
century,1200,Religion,793,995,0.18930532346622106,0.4110970996216898
century,1200,Nobility,1844,2271,0.44020052518500835,0.6919739696312365
century,1200,Kinship,234,1304,0.05586058725232752,0.8205128205128205
century,1200,Big business,15,32,0.0035808068751492002,0.7333333333333333
century,1200,Small business,30,113,0.0071616137502984005,0.9
century,1200,Academia,264,416,0.06302220100262593,0.6742424242424242
century,1200,Exploration & Invention,12,46,0.0028646455001193603,0.5833333333333334
century,1200,Culture (core),474,606,0.11315349725471473,0.5822784810126582
century,1200,Culture (periphery),25,66,0.005968011458582,0.8
century,1200,Sport & Games,16,29,0.0038195273334924802,0.8125
century,1300,Politics,472,774,0.09333596994265375,0.5826271186440678
century,1300,Administration & Law,146,281,0.028870872058532726,0.7945205479452054
century,1300,Military,244,470,0.04824995056357524,0.7786885245901639
century,1300,Religion,866,1095,0.1712477753608859,0.40300230946882215
century,1300,Nobility,1984,2492,0.3923274668775954,0.6829637096774194
century,1300,Kinship,268,1427,0.05299584734032035,0.8582089552238806
century,1300,Big business,42,77,0.008305319359303936,0.6428571428571429
century,1300,Small business,50,155,0.009887284951552304,0.86
century,1300,Academia,319,480,0.0630808779909037,0.6206896551724138
century,1300,Exploration & Invention,24,61,0.004745896776745106,0.625
century,1300,Culture (core),581,745,0.11489025113703777,0.5163511187607573
century,1300,Culture (periphery),45,114,0.008898556456397073,0.8
century,1300,Sport & Games,16,31,0.0031639311844967374,0.6875
century,1400,Politics,893,1415,0.08860885096249256,0.6024636058230683
century,1400,Administration & Law,374,777,0.03711053780512007,0.713903743315508
century,1400,Military,410,847,0.04068267513395515,0.7560975609756098
century,1400,Religion,1700,2218,0.16868426275054574,0.4511764705882353
century,1400,Nobility,2218,3060,0.22008334987100614,0.6618575293056808
century,1400,Kinship,352,1603,0.034927564993054175,0.7897727272727273
century,1400,Big business,115,181,0.011410994244889859,0.6695652173913044
century,1400,Small business,232,619,0.02302044056360389,0.646551724137931
century,1400,Academia,1233,1767,0.12234570351260171,0.559610705596107
century,1400,Exploration & Invention,207,328,0.020539789640801748,0.5603864734299517
century,1400,Culture (core),2078,2497,0.20619170470331416,0.4509143407122233
century,1400,Culture (periphery),241,501,0.02391347489581266,0.7178423236514523
century,1400,Sport & Games,25,56,0.0024806509228021433,0.8
century,1500,Politics,3142,4397,0.12977572177935648,0.5617441120305537
century,1500,Administration & Law,1201,2290,0.04960555119573747,0.6894254787676936
century,1500,Military,1374,2402,0.05675106356614762,0.7110625909752547
century,1500,Religion,4048,5513,0.1671967287596547,0.38735177865612647
century,1500,Nobility,2877,4733,0.11883028375531783,0.6927354883559264
century,1500,Kinship,614,2640,0.025360373383999008,0.8013029315960912
century,1500,Big business,258,494,0.010656313246045187,0.6627906976744186
century,1500,Small business,498,1486,0.02056916277725001,0.6465863453815262
century,1500,Academia,3580,4895,0.1478666721738053,0.5432960893854749
century,1500,Exploration & Invention,489,799,0.02019743091982983,0.6380368098159509
century,1500,Culture (core),5491,6610,0.2267977365660237,0.47477690766709163
century,1500,Culture (periphery),580,1272,0.02395605303374499,0.7275862068965517
century,1500,Sport & Games,59,113,0.002436908843087853,0.5254237288135594
century,1600,Politics,5058,6827,0.14480389350128828,0.5893633847370502
century,1600,Administration & Law,1718,3188,0.049184082450615514,0.6856810244470314
century,1600,Military,2830,4204,0.08101918121958201,0.6074204946996467
century,1600,Religion,4670,6724,0.133695963355282,0.37259100642398285
century,1600,Nobility,3325,5840,0.09519038076152304,0.637593984962406
century,1600,Kinship,706,3393,0.020211852275980532,0.7889518413597734
century,1600,Big business,585,1043,0.01674778127683939,0.6068376068376068
century,1600,Small business,893,2345,0.025565416547380475,0.606942889137738
century,1600,Academia,4925,6520,0.14099627827082736,0.5090355329949239
century,1600,Exploration & Invention,454,929,0.012997423418265102,0.6475770925110133
century,1600,Culture (core),8597,10070,0.24612081305468078,0.4351517971385367
century,1600,Culture (periphery),1095,2126,0.031348411107930144,0.6063926940639269
century,1600,Sport & Games,74,158,0.002118522759805325,0.527027027027027
century,1700,Politics,22121,29922,0.2443175542841996,0.578454861895936
century,1700,Administration & Law,5552,10836,0.061319608579443796,0.7316282420749279
century,1700,Military,10455,15422,0.11547127300037552,0.5286465805834529
century,1700,Religion,5912,9129,0.06529566389079101,0.4270974289580514
century,1700,Nobility,3555,7986,0.0392635461995538,0.6585091420534459
century,1700,Kinship,1201,5777,0.013264562302577809,0.7502081598667777
century,1700,Big business,2660,4904,0.029378630911621125,0.6067669172932331
century,1700,Small business,2417,7369,0.02669479357646175,0.6685974348365743
century,1700,Academia,12591,16726,0.13906253451436904,0.49813358748312286
century,1700,Exploration & Invention,1648,3202,0.018201497647500606,0.6608009708737864
century,1700,Culture (core),18346,21745,0.20262419650548916,0.4531232966314183
century,1700,Culture (periphery),3249,5749,0.03588389918490866,0.62357648507233
century,1700,Sport & Games,835,1095,0.009222239402708136,0.28502994011976046
century,1800,Politics,86837,113601,0.21482023892279414,0.5670509114778263
century,1800,Administration & Law,22969,44304,0.05682147089164364,0.6672471592145935
century,1800,Military,25790,38634,0.06380015387241454,0.43295851105079486
century,1800,Religion,15382,23780,0.03805249968458629,0.418281107788324
century,1800,Nobility,3890,10079,0.009623210491031119,0.6915167095115681
century,1800,Kinship,2269,15135,0.0056131271475963005,0.75495813133539
century,1800,Big business,11986,24948,0.029651362710925187,0.6003670949441015
century,1800,Small business,7250,28318,0.017935289475572137,0.7012413793103448
century,1800,Academia,61167,83861,0.15131694501411322,0.4409403763467229
century,1800,Exploration & Invention,8454,16400,0.020913784445032668,0.6639460610361959
century,1800,Culture (core),96825,112188,0.23952888323755475,0.40675445391169635
century,1800,Culture (periphery),18628,37306,0.046082561703580376,0.6245973802877389
century,1800,Sport & Games,42784,45661,0.10584047240315562,0.17602374719521316
century,1900,Politics,163688,208163,0.1107839162718107,0.4519146180538586
century,1900,Administration & Law,38257,68748,0.025892309056318497,0.5323208824528844
century,1900,Military,23022,42717,0.01558127242320528,0.4492224828424985
century,1900,Religion,20964,34571,0.014188419558686279,0.36572219042167525
century,1900,Nobility,2368,9811,0.0016026606332269178,0.7339527027027027
century,1900,Kinship,1809,24369,0.001224329850298773,0.7634051962410171
century,1900,Big business,25267,56315,0.017100686748202927,0.568409387738948
century,1900,Small business,8725,46345,0.005905073490246985,0.6876790830945558
century,1900,Academia,141854,203658,0.09600668136223446,0.4411366616380222
century,1900,Exploration & Invention,8289,24196,0.005609989015548109,0.743756786102063
century,1900,Culture (core),416456,469976,0.28185711008072184,0.3279386057590718
century,1900,Culture (periphery),63288,141888,0.04283327118060185,0.6291082037669068
century,1900,Sport & Games,563556,576303,0.38141428032889735,0.0861671244738766
