birth_century,region,n_classified,n_crossing,crossing_rate
800,Africa,13,4,0.3076923076923077
800,America,2,0,0.0
800,Asia,341,46,0.1348973607038123
800,Europe,309,22,0.07119741100323625
800,Unknown,82,22,0.2682926829268293
900,Africa,21,2,0.09523809523809523
900,America,1,1,1.0
900,Asia,374,41,0.10962566844919786
900,Europe,540,47,0.08703703703703704
900,Unknown,114,14,0.12280701754385964
1000,Africa,27,6,0.2222222222222222
1000,America,6,1,0.16666666666666666
1000,Asia,311,40,0.12861736334405144
1000,Europe,746,65,0.0871313672922252
1000,Unknown,138,9,0.06521739130434782
1100,Africa,51,6,0.11764705882352941
1100,America,1,0,0.0
1100,Asia,383,56,0.1462140992167102
1100,Europe,1241,114,0.09186140209508462
1100,Unknown,185,22,0.11891891891891893
1200,Africa,49,3,0.061224489795918366
1200,America,5,1,0.2
1200,Asia,451,49,0.10864745011086474
1200,Europe,1825,226,0.12383561643835617
1200,Unknown,209,17,0.08133971291866028
1300,Africa,54,7,0.12962962962962962
1300,America,11,2,0.18181818181818182
1300,Asia,365,57,0.15616438356164383
1300,Europe,2588,352,0.13601236476043277
1300,Unknown,261,34,0.13026819923371646
1400,Africa,46,11,0.2391304347826087
1400,America,64,18,0.28125
1400,Asia,463,84,0.18142548596112312
1400,Europe,7178,1261,0.17567567567567569
1400,Unknown,474,70,0.14767932489451477
1500,Africa,59,13,0.22033898305084745
1500,America,323,99,0.3065015479876161
1500,Asia,1256,172,0.13694267515923567
1500,Europe,19394,3491,0.1800041249871094
1500,Unknown,921,125,0.13572204125950055
1600,Africa,61,10,0.16393442622950818
1600,America,1068,342,0.3202247191011236
1600,Asia,891,152,0.17059483726150393
1600,Europe,28851,5104,0.17690894596374476
1600,Unknown,1389,235,0.16918646508279336
1700,Africa,246,60,0.24390243902439024
1700,America,12779,4475,0.3501838954534784
1700,Asia,1605,333,0.20747663551401868
1700,Europe,69293,16483,0.2378739555222028
1700,Oceania,344,134,0.38953488372093026
1700,Unknown,2778,501,0.18034557235421167
1800,Africa,2188,606,0.27696526508226693
1800,America,91067,24087,0.26449756772486194
1800,Asia,12276,3268,0.26621049201694363
1800,Europe,241881,53337,0.2205092586850559
1800,Oceania,11270,3223,0.28598047914818103
1800,Unknown,5998,1477,0.2462487495831944
1900,Africa,25407,5752,0.2263943007832487
1900,America,301259,50719,0.1683567959795392
1900,Asia,100097,17306,0.17289229447435986
1900,Europe,487197,77846,0.15978341410148256
1900,Oceania,25434,4209,0.16548714319414956
1900,Unknown,13132,3290,0.2505330490405117
