period_type,period,sector_a,sector_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
era,Pre-1000,Politics,Administration & Law,Politics + Administration & Law,9988,6379,59,29.7510752773874,0.9759032443876119,0.6556708025559647,1.2651734508079178,0.15840104967176427,0.0004997501249375312,0.00924909860479699,0.006788431472612342,0.15085617566057735,-0.2888896728221193,0.30246653576734395,0.9641078184730245,0.00139216106232598,0.9641078184730245,associated
era,Pre-1000,Politics,Military,Politics + Military,9988,6379,576,186.92345108776718,1.621019128458929,1.5381496076517638,1.6958972831665722,0.041091025558033345,0.0004997501249375312,0.09029628468411977,0.9641365810209925,0.06051396868946752,0.8455292023896361,1.082743959652349,3.77200448652802e-57,0.00139216106232598,2.6746940904471415e-56,associated
era,Pre-1000,Politics,Religion,Politics + Religion,9988,6379,83,191.158143363021,-1.1986871954122542,-1.5058646698955722,-0.9221283457889848,0.1482703656304757,0.0004997501249375312,0.013011443799968648,-2.474580859900247,0.11417306696521773,-2.6983600711520737,-2.2508016486484204,3.614189554319155e-104,0.00139216106232598,9.396892841229803e-103,dissociated
era,Pre-1000,Politics,Nobility,Politics + Nobility,9988,6379,638,611.5653846591218,0.06100084105448625,-0.015176791206361806,0.13406392913401396,0.038853168403856754,0.11544227886056972,0.10001567643831322,-0.7644254510788864,0.05163555418104309,-0.8656311372737309,-0.6632197648840419,1.3752027534099669e-49,0.16674995835415626,7.151054317731828e-49,not distinguishable
era,Pre-1000,Politics,Kinship,Politics + Kinship,9988,6379,300,480.62176305121136,-0.6790370687953158,-0.818180812301872,-0.5504842300099704,0.0679146125443541,0.0004997501249375312,0.04702931493964571,-1.221148909979946,0.06635009369405598,-1.3511950936202957,-1.0911027263395963,1.206060266993382e-75,0.00139216106232598,1.34389572607834e-74,dissociated
era,Pre-1000,Politics,Big business,Politics + Big business,9988,6379,4,5.743769953143762,-0.47249238187404424,-2.2133253357335096,0.47860867515864985,0.743718330995869,0.4512743628185907,0.0006270575325286095,-1.1054861949931414,0.496285601520835,-2.078205973973978,-0.13276641601230477,0.0259125283014887,0.496315222670355,0.04210785848991914,not distinguishable
era,Pre-1000,Politics,Small business,Politics + Small business,9988,6379,8,19.029853768142754,-1.2001464005696083,-2.422579959839326,-0.47069396379805256,0.5157469169593483,0.02948525737131434,0.001254115065057219,-1.6169330957524026,0.3546044106122406,-2.311957740552394,-0.9219084509524111,5.119692740754546e-06,0.05110777944361152,1.3770208061339813e-05,not distinguishable
era,Pre-1000,Politics,Academia,Politics + Academia,9988,6379,79,145.47079953454883,-0.8766530311294725,-1.2088862362039607,-0.5958988309472592,0.15532035852331244,0.0004997501249375312,0.012384386267440038,-1.7749445188482478,0.1181289317855907,-2.0064772251480054,-1.5434118125484901,4.999391298760135e-51,0.00139216106232598,2.785375152166361e-50,dissociated
era,Pre-1000,Politics,Exploration & Invention,Politics + Exploration & Invention,9988,6379,16,16.89859258444644,-0.07650458312231906,-0.8291423319678384,0.4636659015481693,0.3402356675519931,0.8095952023988006,0.002508230130114438,-0.9348295505835468,0.26233624666919714,-1.4490085940551731,-0.4206505071119204,0.0003659728113350648,0.8309003393040322,0.0007512073495825013,not distinguishable
era,Pre-1000,Politics,Culture (core),Politics + Culture (core),9988,6379,79,145.63229799871576,-0.8782483107350134,-1.1901459607774778,-0.5956612970079116,0.1521389242195206,0.0004997501249375312,0.012384386267440038,-1.8188325849165543,0.11801451297814533,-2.050141030353719,-1.5875241394793895,1.360650950788882e-53,0.00139216106232598,8.163905704733292e-53,dissociated
