pair,domain_a,domain_b,n_pair_total,expected_total,assoc_pooled,assoc_pooled_ci_low,assoc_pooled_ci_high,q_pooled,direction_pooled,share_of_diversified,log_or_uncond,assoc_Pre_1000,assoc_1000_1399,assoc_1400_1599,assoc_1600_1799,assoc_1800_1899,assoc_1900_2020,n_Pre_1000,n_1000_1399,n_1400_1599,n_1600_1799,n_1800_1899,n_1900_2020,slope_per_century,slope_ci_low,slope_ci_high,q_slope,trend,assoc_first,assoc_last
Political + Security,Political,Security,29577,19465.47399615657,0.6035455827201694,0.5932425733026894,0.6135350824924584,0.0004997501249375312,associated,0.1053458279461891,-0.3023620392922034,0.2867763581888473,0.4205842295246051,0.6600236698034352,0.6402226125252591,0.3299181857071993,0.668327320803541,585,147,636,6775,9758,11676,-0.05124166582276659,-0.1555031620564532,0.05301983041092003,0.5894039273406353,flat,0.796413245596223,0.5856054782169452
Ideational + Economic,Ideational,Economic,77656,67544.47398511805,0.201258263297478,0.1969830948852017,0.20539083796501875,0.0004997501249375312,associated,0.27659112198631575,-2.91121214598582,1.8646472842999997,0.2874079794854084,0.2487473527303786,0.6569495983052905,0.15383844526498494,0.1321214120675506,145,206,1475,6638,19722,49470,-0.07149381856737932,-0.15279525484513493,0.009807617710376276,0.35664050935698294,flat,0.24144919068774773,0.16421047698616872
Political + Ideational,Political,Ideational,96140,99964.51870169441,-0.0562790265892586,-0.05870249841009945,-0.05374645350090369,0.0004997501249375312,dissociated,0.3424264766117801,-16.065574807803895,-0.11379302899258588,0.012800678292483285,0.015516402756401693,-0.18666682372591717,-0.062278613490342125,-0.034947343132918626,342,482,2007,7084,27056,59169,0.012121493573448045,-0.01450304026610079,0.03874602741299688,0.5894039273406353,flat,-0.032567597400732666,-0.03525891044671965
Political + Economic,Political,Economic,51656,57943.00731284851,-0.16569711681350596,-0.17085410106976237,-0.16022538498582706,0.0004997501249375312,dissociated,0.183985667525048,-0.5910243187843454,-1.790088032679374,-0.5122507040773888,-0.46762169699150813,-0.4175795353787442,-0.05679475274477981,-0.14828886490686344,31,97,666,4318,19955,26589,0.03902894858176072,-0.06756201780236279,0.14561991496588422,0.5894039273406353,flat,-0.37915214246436174,-0.18439444534909027
Ideational + Security,Ideational,Security,16404,22691.007300372614,-0.46806082230501145,-0.48448294528167657,-0.4515713381031697,0.0004997501249375312,dissociated,0.058426918268562944,-3.6755903577340376,-0.8433723719037178,-0.5353715475472482,-0.9164729125264282,-0.8805765006224479,-0.18580182191619418,-0.42613707441735876,97,92,287,1723,5829,8376,0.1442692329581203,-0.01169683517949538,0.300235301095736,0.35664050935698294,flat,-0.5858876029806598,-0.4155238832142756
Economic + Security,Economic,Security,9328,13152.518703809888,-0.49567692246357303,-0.5200059938807564,-0.47121447640971187,0.0004997501249375312,dissociated,0.03322398766210407,-0.6423052363578604,-1.134955460712616,0.14877004399301955,0.11797554638804818,-0.8137019748022787,-0.4054137741167531,-0.4445093463098168,23,43,273,1291,3678,4020,0.013230834252823424,-0.12633779381996804,0.1527994623256149,0.8567185336514598,flat,-0.6240781827693616,-0.35308850598451835
