period_type,period,domain,n_holders,share_of_classified,cross_domain_rate
era,Pre-1000,Political,2598,0.35231895850284783,0.3687451886066205
era,Pre-1000,Ideational,4292,0.5820450230539734,0.13606710158434296
era,Pre-1000,Economic,322,0.04366693788988337,0.6180124223602484
era,Pre-1000,Security,1385,0.18782207756983998,0.5090252707581228
era,1000-1399,Political,2280,0.25597844392051194,0.31842105263157894
era,1000-1399,Ideational,5807,0.6519591332659705,0.1343206474944033
era,1000-1399,Economic,690,0.07746716066015494,0.5014492753623189
era,1000-1399,Security,1197,0.1343886830582688,0.23558897243107768
era,1400-1599,Political,8207,0.2719530784014845,0.4031923967344949
era,1400-1599,Ideational,20344,0.6741334747166811,0.18526346834447502
era,1400-1599,Economic,3722,0.12333487971369872,0.6485760343901128
era,1400-1599,Security,3249,0.10766121015309166,0.3681132656201908
era,1600-1799,Political,43934,0.36824944470055737,0.41373423772021667
era,1600-1799,Ideational,65254,0.5469510917396588,0.2366904710822325
era,1600-1799,Economic,18320,0.1535560119022673,0.668504366812227
era,1600-1799,Security,19626,0.1645027450651691,0.4987771323754204
era,1800-1899,Political,133659,0.36651036525172753,0.4247300967387157
era,1800-1899,Ideational,214668,0.5886475814412636,0.24506214247116478
era,1800-1899,Economic,63717,0.17472030273116157,0.6804306542994805
era,1800-1899,Security,38634,0.10593945376768674,0.4986540353056893
era,1900-2020,Political,248041,0.25978891450272784,0.39281409121879046
era,1900-2020,Ideational,702967,0.7362614804054132,0.16645873846140716
era,1900-2020,Economic,120314,0.12601240705964417,0.665583390129162
era,1900-2020,Security,42757,0.0447820909341324,0.5629955328951984
century,800,Political,180,0.24096385542168675,0.34444444444444444
century,800,Ideational,472,0.6318607764390897,0.11228813559322035
century,800,Economic,61,0.08165997322623829,0.3770491803278688
century,800,Security,128,0.1713520749665328,0.390625
century,900,Political,234,0.22285714285714286,0.2905982905982906
century,900,Ideational,633,0.6028571428571429,0.1263823064770932
century,900,Economic,60,0.05714285714285714,0.45
century,900,Security,228,0.21714285714285714,0.15350877192982457
century,1000,Political,232,0.18892508143322476,0.33189655172413796
century,1000,Ideational,859,0.6995114006514658,0.11641443538998836
century,1000,Economic,97,0.07899022801302931,0.3917525773195876
century,1000,Security,161,0.13110749185667753,0.16770186335403728
century,1100,Political,396,0.21278882321332618,0.30808080808080807
century,1100,Ideational,1290,0.6931757119828049,0.12093023255813953
century,1100,Economic,126,0.0677055346587856,0.42063492063492064
century,1100,Security,247,0.13272434175174638,0.2631578947368421
century,1200,Political,643,0.25324931075226464,0.3110419906687403
century,1200,Ideational,1686,0.6640409610082709,0.132858837485172
century,1200,Economic,187,0.07365104371799922,0.5347593582887701
century,1200,Security,319,0.12564001575423395,0.21316614420062696
century,1300,Political,1009,0.3077157670021348,0.3240832507433102
century,1300,Ideational,1972,0.6014028667276609,0.15212981744421908
century,1300,Economic,280,0.08539188777066178,0.5535714285714286
century,1300,Security,470,0.14333638304361085,0.25957446808510637
century,1400,Political,2088,0.25386018237082064,0.42624521072796934
century,1400,Ideational,5658,0.6879027355623101,0.19211735595616825
century,1400,Economic,1076,0.13082066869300912,0.604089219330855
century,1400,Security,847,0.10297872340425532,0.30814639905548996
century,1500,Political,6119,0.27873183619550856,0.3953260336656316
century,1500,Ideational,14686,0.668974627613538,0.18262290616914068
century,1500,Economic,2646,0.12053022365963649,0.6666666666666666
century,1500,Security,2402,0.10941556962601923,0.3892589508742714
century,1600,Political,9081,0.2814941103533788,0.38916418896597293
century,1600,Ideational,20737,0.6428084314941104,0.1792930510681391
century,1600,Economic,4081,0.12650340979541227,0.6557216368537123
century,1600,Security,4204,0.13031618102913825,0.41817316841103713
century,1700,Political,34853,0.4004020908725372,0.4201359997704645
century,1700,Ideational,44517,0.5114251249353783,0.26342745468023454
century,1700,Economic,14239,0.1635820552587742,0.672167989325093
century,1700,Security,15422,0.17717272675053133,0.5207495785241862
century,1800,Political,133659,0.36651036525172753,0.4247300967387157
century,1800,Ideational,214668,0.5886475814412636,0.24506214247116478
century,1800,Economic,63717,0.17472030273116157,0.6804306542994805
century,1800,Security,38634,0.10593945376768674,0.4986540353056893
century,1900,Political,247664,0.2600076008423917,0.3929396278829382
century,1900,Ideational,701082,0.7360240035442602,0.16671801586690288
century,1900,Economic,120185,0.12617503354239148,0.6656404709406332
century,1900,Security,42717,0.044846019951161435,0.5628672425498046
all,3500BC-2020AD,Political,438719,0.29538931190804346,0.4042975116190546
all,3500BC-2020AD,Ideational,1013332,0.6822759949179349,0.1876976153915992
all,3500BC-2020AD,Economic,207085,0.1394302404420077,0.6694835454040612
all,3500BC-2020AD,Security,106848,0.07194071193349416,0.5176418837975442
