period_type,period,sector_a,sector_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
all,3500BC-2020AD,Politics,Administration & Law,Politics + Administration & Law,2071452,723260,61160,18322.897142514794,1.7389131983960657,1.7313635997729315,1.746374193222602,0.0037989766478195327,0.0004997501249375312,0.08456156845394464,1.535103361744631,0.005874799890511622,1.5235887539592283,1.5466179695300337,0.0,0.0005267636452044248,0.0,associated
all,3500BC-2020AD,Politics,Military,Politics + Military,2071452,723260,24493,12661.478879964556,0.9518960483407347,0.9369351049340224,0.9667740569805031,0.007401986568469611,0.0004997501249375312,0.03386472361253215,0.33623469283490576,0.007516068512614819,0.3215031985501807,0.3509661871196308,0.0,0.0005267636452044248,0.0,associated
all,3500BC-2020AD,Politics,Religion,Politics + Religion,2071452,723260,7221,9120.820334269281,-0.3369441384068721,-0.36654937143742,-0.3066723281468867,0.015433545674106156,0.0004997501249375312,0.009983961507618284,-0.9110842250116739,0.012420492654457558,-0.9354283906144106,-0.8867400594089371,0.0,0.0005267636452044248,0.0,dissociated
all,3500BC-2020AD,Politics,Nobility,Politics + Nobility,2071452,723260,9056,7655.59272626501,0.24234530703379814,0.21551121579702867,0.26815397504843863,0.013456740665223326,0.0004997501249375312,0.012521085086967343,-0.06081529221420214,0.011676486272351268,-0.08370120530801063,-0.03792937912039365,1.9052157390934996e-07,0.0005267636452044248,2.008200373639094e-07,associated
all,3500BC-2020AD,Politics,Kinship,Politics + Kinship,2071452,723260,7880,10129.752485150186,-0.3623110586848411,-0.3910196755420539,-0.33331609346184893,0.01453318973548079,0.0004997501249375312,0.01089511379033819,-0.38083841989999984,0.012216322059978942,-0.4047824111375586,-0.3568944286624411,2.3577893349167636e-213,0.0005267636452044248,3.117077425822162e-213,dissociated
all,3500BC-2020AD,Politics,Big business,Politics + Big business,2071452,723260,21576,12348.118548563394,0.8051112039633126,0.7890742396470286,0.8201090375540859,0.007871676848719276,0.0004997501249375312,0.02983159582999198,0.423770582276797,0.008053816631572062,0.4079851016789157,0.43955606287467824,0.0,0.0005267636452044248,0.0,associated
all,3500BC-2020AD,Politics,Small business,Politics + Small business,2071452,723260,19560,14138.595232584585,0.46825344416592296,0.4512078726155691,0.4850448930024667,0.008610467339643373,0.0004997501249375312,0.02704421646434201,0.30522660959005166,0.008331521601696822,0.2888968272507259,0.3215563919293774,7.885897263491981e-294,0.0005267636452044248,1.1183636119134083e-293,associated
all,3500BC-2020AD,Politics,Academia,Politics + Academia,2071452,723260,34725,37597.26727414555,-0.1146515234714279,-0.12680429278347607,-0.1014145604821964,0.006420809427193133,0.0004997501249375312,0.04801177999612864,-0.662019679845404,0.0059998375000409054,-0.6737793613454842,-0.6502599983453238,0.0,0.0005267636452044248,0.0,dissociated
all,3500BC-2020AD,Politics,Exploration & Invention,Politics + Exploration & Invention,2071452,723260,4709,6850.416018362058,-0.540723000645435,-0.5776217575555717,-0.5008352205549078,0.019745476861107527,0.0004997501249375312,0.006510798329784587,-0.6583700170764119,0.015484767369479242,-0.6887201611205912,-0.6280198730322325,0.0,0.0005267636452044248,0.0,dissociated
all,3500BC-2020AD,Politics,Culture (core),Politics + Culture (core),2071452,723260,16656,56541.780123973054,-1.763244780793349,-1.7840274259262305,-1.7432893478692226,0.010385437820753312,0.0004997501249375312,0.023029062854298593,-2.4722980818314433,0.008088764408085003,-2.48815206007129,-2.4564441035915965,0.0,0.0005267636452044248,0.0,dissociated
all,3500BC-2020AD,Politics,Culture (periphery),Politics + Culture (periphery),2071452,723260,13160,29222.087361985534,-1.1508696180510094,-1.1727376325957226,-1.1298396412460394,0.011400812684381733,0.0004997501249375312,0.018195393081326217,-1.1386111659369873,0.0092261673581081,-1.1566944539588793,-1.1205278779150953,0.0,0.0005267636452044248,0.0,dissociated
