birth_century,n_elites,n_diversified,diversification_rate
800,1128,773,0.6852836879432624
900,1632,1098,0.6727941176470589
1000,2137,1443,0.6752456715021058
1100,3224,2095,0.6498138957816377
1200,4189,2668,0.6369061828598711
1300,5057,3145,0.6219102234526399
1400,10078,5791,0.5746179797578884
1500,24211,13433,0.5548304489694766
1600,34930,18437,0.5278270827369024
1700,90542,49320,0.5447195776545691
1800,404231,189984,0.4699886945830478
1900,1477543,429517,0.29069678513586406
