pair,sector_a,sector_b,n_centuries,first_century,last_century,assoc_first,assoc_last,assoc_mean,slope_per_century,slope_se,slope_ci_low,slope_ci_high,p_value,q_value,trend
Religion + Culture (periphery),Religion,Culture (periphery),12,800,1900,-0.16179713058651074,-2.034848748639731,-1.0369771554478742,-0.3483353983939122,0.1267769473932323,-0.5968182152846475,-0.09985258150317688,0.02056191998456224,0.039117798995020846,diverging
Administration & Law + Religion,Administration & Law,Religion,12,800,1900,1.2487378009756922,-0.8718371855723483,-0.6879505787768779,-0.33715634565863006,0.08400647363070668,-0.5018090339748151,-0.17250365734244497,0.002464288088126941,0.006200466802383916,diverging
Academia + Culture (periphery),Academia,Culture (periphery),12,800,1900,1.6216402587503198,-0.9906884186721158,-0.8221738792934558,-0.3201901126632094,0.06466963370727515,-0.4469425947294687,-0.19343763059695013,0.000577534852688588,0.001732604558065764,diverging
Administration & Law + Culture (core),Administration & Law,Culture (core),12,800,1900,0.06617578804713238,-1.741704569283472,-1.4738399656006433,-0.31791231695021255,0.03585864087025375,-0.3881952530559099,-0.2476293808445152,4.735985071495172e-06,5.2369018538034415e-05,diverging
Religion + Exploration & Invention,Religion,Exploration & Invention,12,800,1900,-1.2772583678794227,-2.2511894992562045,-1.3045642243602846,-0.31774704163736456,0.06745007358143575,-0.44994918585697863,-0.1855448974177505,0.0008278375331899402,0.0023061188424576906,diverging
Academia + Culture (core),Academia,Culture (core),12,800,1900,1.945088096666943,0.2646585481938641,0.4512492002935206,-0.27442309348505606,0.0515927028583318,-0.37554479108738636,-0.17330139588272575,0.0003382161437085435,0.0011469938786637561,diverging
Culture (core) + Culture (periphery),Culture (core),Culture (periphery),12,800,1900,2.5412892434446324,1.2051915159369126,1.2944124484196755,-0.27326871019368276,0.03543181727838832,-0.34271507205932383,-0.20382234832804166,1.62007148713228e-05,0.00011474615330327863,diverging
Exploration & Invention + Culture (core),Exploration & Invention,Culture (core),12,800,1900,1.0816840433854216,-1.2367013118416816,-1.1055717890267842,-0.2396521442480127,0.023956735197777225,-0.28660734523565606,-0.19269694326036935,1.5844056184320354e-06,4.299592308306445e-05,diverging
Religion + Culture (core),Religion,Culture (core),12,800,1900,1.184873887450878,-0.2911152764040019,0.3282182649772048,-0.22290569528327833,0.048760193497909395,-0.31847567453918074,-0.12733571602737592,0.0010239470537345067,0.0027540644893548805,diverging
Nobility + Exploration & Invention,Nobility,Exploration & Invention,12,800,1900,-1.135841902757602,-2.146091387542589,-1.3682988014724888,-0.22096968727231753,0.028936023892041415,-0.2776842941007187,-0.16425508044391635,1.765325435435056e-05,0.00011474615330327863,diverging
