grid,pair,domain_a,domain_b,n_points,first_period,last_period,assoc_first,assoc_last,assoc_mean,slope_per_century,slope_se,slope_ci_low,slope_ci_high,p_value,q_value,trend
century,Ideational + Economic,Ideational,Economic,9,1100,1900,0.3460175088301374,0.13193325859970884,0.1535496997268549,-0.06910870923166622,0.03669826167802391,-0.14103730212059307,0.002819883657260644,0.10169253034921766,0.610155182095306,flat
century,Economic + Security,Economic,Security,9,1100,1900,0.20205344016126023,-0.4441826486831525,-0.45827489100089835,-0.01015681809502466,0.06312097827673877,-0.13387393551743262,0.11356029932738332,0.8767094624370687,0.8803135712715434,flat
century,Political + Security,Political,Security,9,1100,1900,0.5054369312389994,0.6677168840214243,0.5375405625937931,0.00881679433342697,0.05645928811012564,-0.10184341036241928,0.11947699902927322,0.8803135712715433,0.8803135712715434,flat
century,Political + Ideational,Political,Ideational,9,1100,1900,0.018223202188979618,-0.034935285172162586,-0.04373037026071907,0.00973708030559813,0.011892261222434775,-0.013571751690374027,0.033045912301570286,0.4398953898888829,0.8289875313754581,flat
century,Political + Economic,Political,Economic,9,1100,1900,-1.3026322503136571,-0.1480090887492275,-0.12493714723178724,0.027362632933443917,0.04387832102124241,-0.0586388762681912,0.11336414213507903,0.5526583542503054,0.8289875313754581,flat
century,Ideational + Security,Ideational,Security,9,1100,1900,-0.4040202553157878,-0.4253056083102596,-0.38999431675669305,0.062353333029527475,0.07096685201905642,-0.0767416969278231,0.20144836298687804,0.40874883905879206,0.8289875313754581,flat
halfcentury,Ideational + Economic,Ideational,Economic,11,1400,1900,0.24144919068774773,0.16421047698616872,0.19153795083236527,-0.07149381856737932,0.04148032463150796,-0.15279525484513493,0.009807617710376276,0.11888016978566097,0.35664050935698294,flat
halfcentury,Political + Security,Political,Security,11,1400,1900,0.796413245596223,0.5856054782169452,0.5006903508564772,-0.05124166582276659,0.0531946409355544,-0.1555031620564532,0.05301983041092003,0.36057042985652693,0.5894039273406353,flat
halfcentury,Political + Ideational,Political,Ideational,11,1400,1900,-0.032567597400732666,-0.03525891044671965,-0.04999248327232826,0.012121493573448045,0.013583945836504508,-0.01450304026610079,0.03874602741299688,0.39544271012234106,0.5894039273406353,flat
halfcentury,Economic + Security,Economic,Security,11,1400,1900,-0.6240781827693616,-0.35308850598451835,-0.4238360956437688,0.013230834252823424,0.0712084837106079,-0.12633779381996804,0.1527994623256149,0.8567185336514598,0.8567185336514598,flat
halfcentury,Political + Economic,Political,Economic,11,1400,1900,-0.37915214246436174,-0.18439444534909027,-0.12425200224944657,0.03902894858176072,0.054383146114348725,-0.06756201780236279,0.14561991496588422,0.49116993945052945,0.5894039273406353,flat
halfcentury,Ideational + Security,Ideational,Security,11,1400,1900,-0.5858876029806598,-0.4155238832142756,-0.37671888095905537,0.1442692329581203,0.079574524560008,-0.01169683517949538,0.300235301095736,0.10324156522630572,0.35664050935698294,flat
