layer,period,node,coreness,cp_fit
sector,all,Politics,0.440110206265059,0.44647218580421055
sector,all,Administration & Law,0.17209003700629064,0.44647218580421055
sector,all,Military,0.842171121953284,0.44647218580421055
sector,all,Religion,0.3057311757497557,0.44647218580421055
sector,all,Nobility,1.0,0.44647218580421055
sector,all,Kinship,0.9417611856483411,0.44647218580421055
sector,all,Big business,0.5847764115661009,0.44647218580421055
sector,all,Small business,0.30577466111995455,0.44647218580421055
sector,all,Academia,0.25039853003273527,0.44647218580421055
sector,all,Exploration & Invention,0.6319893000191692,0.44647218580421055
sector,all,Culture (core),0.04205963200223103,0.44647218580421055
sector,all,Culture (periphery),0.01382172812806745,0.44647218580421055
sector,all,Sport & Games,0.8347000616456605,0.44647218580421055
sector,Pre-1000,Politics,0.09156523562324077,0.6542631157678146
sector,Pre-1000,Administration & Law,0.577496525288361,0.6542631157678146
sector,Pre-1000,Military,0.09312951886828649,0.6542631157678146
sector,Pre-1000,Religion,0.7983718055755946,0.6542631157678146
sector,Pre-1000,Nobility,0.000723052654260489,0.6542631157678146
sector,Pre-1000,Kinship,7.283677005357464e-05,0.6542631157678146
sector,Pre-1000,Big business,0.8381269635246109,0.6542631157678146
sector,Pre-1000,Small business,0.8126437547931624,0.6542631157678146
sector,Pre-1000,Academia,1.0,0.6542631157678146
sector,Pre-1000,Exploration & Invention,0.9130133159275894,0.6542631157678146
sector,Pre-1000,Culture (core),0.9456295542488614,0.6542631157678146
sector,Pre-1000,Culture (periphery),0.99432176299733,0.6542631157678146
sector,Pre-1000,Sport & Games,0.4824085339702218,0.6542631157678146
sector,1000-1399,Politics,0.33814799865800244,0.6377057023069646
sector,1000-1399,Administration & Law,0.5098374160079738,0.6377057023069646
sector,1000-1399,Military,0.22213076710452548,0.6377057023069646
sector,1000-1399,Religion,0.8144547121814695,0.6377057023069646
sector,1000-1399,Nobility,0.021079738142313776,0.6377057023069646
sector,1000-1399,Kinship,0.0015467409782192482,0.6377057023069646
sector,1000-1399,Big business,0.7670617288057072,0.6377057023069646
sector,1000-1399,Small business,0.7202345468025644,0.6377057023069646
