layer,period,n_nodes,n_pairs,n_crossings,share_associated,share_dissociated,share_indistinguishable,mean_abs_assoc,sd_assoc,degree_centralization,transitivity,modularity,n_communities,core_periphery_fit
sector,all,13,78,723260,0.34615384615384615,0.6282051282051282,0.02564102564102564,0.9543482159754941,1.0983727790521767,0.18181818181818182,0.42,0.3644233317549392,4,0.44647218580421055
sector,Pre-1000,13,78,6379,0.21794871794871795,0.34615384615384615,0.4358974358974359,1.0680538638644796,1.2639071538484463,0.3333333333333333,0.574468085106383,0.30108532608835237,5,0.6542631157678146
sector,1000-1399,13,78,9351,0.3333333333333333,0.3076923076923077,0.358974358974359,1.0874989278423641,1.364633185549805,0.19696969696969696,0.47368421052631576,0.27906422411475085,3,0.6377057023069646
sector,1400-1599,13,78,19224,0.2692307692307692,0.5,0.23076923076923078,1.0866995967839383,1.272150244577394,0.2727272727272727,0.3442622950819672,0.33049680995889275,3,0.40067712135238975
sector,1600-1799,13,78,67757,0.3333333333333333,0.6025641025641025,0.0641025641025641,0.9789943321509679,1.0766666285263937,0.19696969696969696,0.4148936170212766,0.33616593502506537,3,0.3938873084148837
sector,1800-1899,13,78,189984,0.34615384615384615,0.6282051282051282,0.02564102564102564,0.9151776874857906,1.0279763526833339,0.18181818181818182,0.39,0.3556200519579942,3,0.4189836593822454
sector,1900-2020,13,78,430565,0.34615384615384615,0.6282051282051282,0.02564102564102564,0.9744110070337886,1.1411564322311465,0.2803030303030303,0.42857142857142855,0.3114570534369828,4,0.5485330975459839
domain,all,4,6,280761,0.3333333333333333,0.6666666666666666,0.0,0.33175295569816604,0.41856647989494705,0.0,0.0,0.37507118956203883,2,0.9438379032233049
domain,Pre-1000,4,6,1223,0.3333333333333333,0.6666666666666666,0.0,1.0056054227961901,1.2865959311431168,0.0,0.0,0.2310564839029573,2,0.9881290888547726
domain,1000-1399,4,6,1067,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.31953086382002555,0.40633240455962355,0.0,0.0,0.4823084203924009,2,0.5199582203983919
domain,1400-1599,4,6,5344,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4043929301993667,0.5569171065688482,0.0,0.0,0.3975932774690088,2,0.8692801671226076
domain,1600-1799,4,6,27829,0.3333333333333333,0.6666666666666666,0.0,0.599282840893323,0.6813358893864387,0.0,0.0,0.4999168599833355,2,0.6446083825679777
domain,1800-1899,4,6,85998,0.3333333333333333,0.6666666666666666,0.0,0.19900759887337557,0.25688377730927525,0.0,0.0,0.43375777355490386,2,0.8930437098227988
domain,1900-2020,4,6,159300,0.3333333333333333,0.6666666666666666,0.0,0.30905522693967485,0.41371607527985954,0.0,0.0,0.2756292951793097,2,0.980264764726422
