layer,period,node_a,node_b,profile_correlation
sector,1900-2020,Administration & Law,Academia,0.0040710815221351206
sector,1900-2020,Administration & Law,Exploration & Invention,0.3894510110118226
sector,1900-2020,Administration & Law,Culture (core),-0.6350129003140961
sector,1900-2020,Administration & Law,Culture (periphery),-0.2504910063954947
sector,1900-2020,Administration & Law,Sport & Games,-0.17478062291974955
sector,1900-2020,Military,Religion,0.29369652755673753
sector,1900-2020,Military,Nobility,0.22608600294078707
sector,1900-2020,Military,Kinship,0.43553964340090096
sector,1900-2020,Military,Big business,0.6107697968709258
sector,1900-2020,Military,Small business,0.2226266972428123
sector,1900-2020,Military,Academia,0.051370750025610964
sector,1900-2020,Military,Exploration & Invention,0.22550068285654903
sector,1900-2020,Military,Culture (core),-0.7481031034802023
sector,1900-2020,Military,Culture (periphery),-0.41884886076850925
sector,1900-2020,Military,Sport & Games,0.23167845676735013
sector,1900-2020,Religion,Nobility,0.558152515529915
sector,1900-2020,Religion,Kinship,0.46558530348534205
sector,1900-2020,Religion,Big business,-0.0021758139108814167
sector,1900-2020,Religion,Small business,0.12492405315705406
sector,1900-2020,Religion,Academia,-0.4121550454994502
sector,1900-2020,Religion,Exploration & Invention,0.26511051833361327
sector,1900-2020,Religion,Culture (core),0.05405513077425749
sector,1900-2020,Religion,Culture (periphery),0.09114488955295243
sector,1900-2020,Religion,Sport & Games,-0.2800299356579253
sector,1900-2020,Nobility,Kinship,0.7686696912380473
sector,1900-2020,Nobility,Big business,0.08656969669429017
sector,1900-2020,Nobility,Small business,-0.11334404169267073
sector,1900-2020,Nobility,Academia,-0.5474213283907082
sector,1900-2020,Nobility,Exploration & Invention,0.08548272743416663
sector,1900-2020,Nobility,Culture (core),-0.08757814494113197
sector,1900-2020,Nobility,Culture (periphery),-0.11496550278059817
sector,1900-2020,Nobility,Sport & Games,0.42918315678846336
sector,1900-2020,Kinship,Big business,0.10877146445474144
sector,1900-2020,Kinship,Small business,0.014133917719396809
sector,1900-2020,Kinship,Academia,-0.39395334153002093
sector,1900-2020,Kinship,Exploration & Invention,-0.0038704509878965472
sector,1900-2020,Kinship,Culture (core),-0.008533778475985252
sector,1900-2020,Kinship,Culture (periphery),0.25071574189387535
sector,1900-2020,Kinship,Sport & Games,0.37697024568694953
sector,1900-2020,Big business,Small business,0.4996338236234387
sector,1900-2020,Big business,Academia,-0.20609086157182122
sector,1900-2020,Big business,Exploration & Invention,0.5922000472536655
sector,1900-2020,Big business,Culture (core),-0.4006963365488242
sector,1900-2020,Big business,Culture (periphery),0.0031698172199897358
sector,1900-2020,Big business,Sport & Games,0.1401151772268075
sector,1900-2020,Small business,Academia,0.163259694161643
sector,1900-2020,Small business,Exploration & Invention,0.8645258877837815
sector,1900-2020,Small business,Culture (core),-0.31686312050843807
sector,1900-2020,Small business,Culture (periphery),0.4680829865367319
sector,1900-2020,Small business,Sport & Games,-0.30904710478917174
sector,1900-2020,Academia,Exploration & Invention,-0.23159750668760318
sector,1900-2020,Academia,Culture (core),-0.3902412405161212
sector,1900-2020,Academia,Culture (periphery),-0.02490494776545656
sector,1900-2020,Academia,Sport & Games,-0.09773708949346661
sector,1900-2020,Exploration & Invention,Culture (core),-0.08267422874519566
sector,1900-2020,Exploration & Invention,Culture (periphery),0.2990587707786306
sector,1900-2020,Exploration & Invention,Sport & Games,-0.1134459651746556
sector,1900-2020,Culture (core),Culture (periphery),0.31094697368217966
sector,1900-2020,Culture (core),Sport & Games,-0.057821152058772494
sector,1900-2020,Culture (periphery),Sport & Games,-0.3201551404757251
domain,all,Political,Ideational,
domain,all,Political,Economic,
domain,all,Political,Security,
domain,all,Ideational,Economic,
domain,all,Ideational,Security,
domain,all,Economic,Security,
domain,Pre-1000,Political,Ideational,
domain,Pre-1000,Political,Economic,
domain,Pre-1000,Political,Security,
domain,Pre-1000,Ideational,Economic,
domain,Pre-1000,Ideational,Security,
domain,Pre-1000,Economic,Security,
domain,1000-1399,Political,Ideational,
domain,1000-1399,Political,Economic,
domain,1000-1399,Political,Security,
domain,1000-1399,Ideational,Economic,
domain,1000-1399,Ideational,Security,
domain,1000-1399,Economic,Security,
domain,1400-1599,Political,Ideational,
domain,1400-1599,Political,Economic,
domain,1400-1599,Political,Security,
domain,1400-1599,Ideational,Economic,
domain,1400-1599,Ideational,Security,
domain,1400-1599,Economic,Security,
domain,1600-1799,Political,Ideational,
domain,1600-1799,Political,Economic,
domain,1600-1799,Political,Security,
domain,1600-1799,Ideational,Economic,
domain,1600-1799,Ideational,Security,
domain,1600-1799,Economic,Security,
domain,1800-1899,Political,Ideational,
domain,1800-1899,Political,Economic,
domain,1800-1899,Political,Security,
domain,1800-1899,Ideational,Economic,
domain,1800-1899,Ideational,Security,
domain,1800-1899,Economic,Security,
domain,1900-2020,Political,Ideational,
domain,1900-2020,Political,Economic,
domain,1900-2020,Political,Security,
domain,1900-2020,Ideational,Economic,
domain,1900-2020,Ideational,Security,
domain,1900-2020,Economic,Security,
