layer,period,node_a,node_b,profile_correlation
sector,1400-1599,Academia,Culture (periphery),0.5412564690335213
sector,1400-1599,Academia,Sport & Games,0.4048777795995072
sector,1400-1599,Exploration & Invention,Culture (core),0.0588326828048309
sector,1400-1599,Exploration & Invention,Culture (periphery),0.06494260477657006
sector,1400-1599,Exploration & Invention,Sport & Games,-0.20408549191990522
sector,1400-1599,Culture (core),Culture (periphery),0.7434625601491768
sector,1400-1599,Culture (core),Sport & Games,0.30235748731870665
sector,1400-1599,Culture (periphery),Sport & Games,0.4836041090376798
sector,1600-1799,Politics,Administration & Law,0.2273879316383392
sector,1600-1799,Politics,Military,0.27187594688197253
sector,1600-1799,Politics,Religion,-0.7269665463982437
sector,1600-1799,Politics,Nobility,0.41865134601808496
sector,1600-1799,Politics,Kinship,-0.009171035531871584
sector,1600-1799,Politics,Big business,-0.09519626332996885
sector,1600-1799,Politics,Small business,-0.5882547129718125
sector,1600-1799,Politics,Academia,-0.4605955145492242
sector,1600-1799,Politics,Exploration & Invention,-0.18986389451694097
sector,1600-1799,Politics,Culture (core),-0.8328621823812885
sector,1600-1799,Politics,Culture (periphery),-0.8006242432791384
sector,1600-1799,Politics,Sport & Games,-0.20877272562978125
sector,1600-1799,Administration & Law,Military,0.3179039909365688
sector,1600-1799,Administration & Law,Religion,0.15145017746365214
sector,1600-1799,Administration & Law,Nobility,0.19155695534263772
sector,1600-1799,Administration & Law,Kinship,0.09891259966709805
sector,1600-1799,Administration & Law,Big business,0.004156081585436712
sector,1600-1799,Administration & Law,Small business,-0.24111671177976193
sector,1600-1799,Administration & Law,Academia,-0.5176211577259464
sector,1600-1799,Administration & Law,Exploration & Invention,-0.2240795841273895
sector,1600-1799,Administration & Law,Culture (core),-0.5719938629293091
sector,1600-1799,Administration & Law,Culture (periphery),-0.5180405140384079
sector,1600-1799,Administration & Law,Sport & Games,-0.7262507782158565
sector,1600-1799,Military,Religion,-0.1946523862008564
sector,1600-1799,Military,Nobility,0.37847466470665003
sector,1600-1799,Military,Kinship,0.4501987339225486
sector,1600-1799,Military,Big business,0.5088696515026427
sector,1600-1799,Military,Small business,-0.31568840443372
sector,1600-1799,Military,Academia,-0.5613795847923158
sector,1600-1799,Military,Exploration & Invention,-0.35915401353926596
sector,1600-1799,Military,Culture (core),-0.7440375070330001
sector,1600-1799,Military,Culture (periphery),-0.32543949859853805
sector,1600-1799,Military,Sport & Games,-0.022747668977585365
sector,1600-1799,Religion,Nobility,-0.26733273149337256
sector,1600-1799,Religion,Kinship,-0.05611867258547117
sector,1600-1799,Religion,Big business,-0.03409952916698066
sector,1600-1799,Religion,Small business,0.18245562194148274
sector,1600-1799,Religion,Academia,0.4752008145513813
sector,1600-1799,Religion,Exploration & Invention,-0.10023627814709572
sector,1600-1799,Religion,Culture (core),0.5142331308483454
sector,1600-1799,Religion,Culture (periphery),0.5386109898151978
sector,1600-1799,Religion,Sport & Games,-0.15377775271683108
sector,1600-1799,Nobility,Kinship,0.38871921771990386
sector,1600-1799,Nobility,Big business,-0.015828514000088636
sector,1600-1799,Nobility,Small business,-0.6962762873444498
sector,1600-1799,Nobility,Academia,-0.6315649699056108
sector,1600-1799,Nobility,Exploration & Invention,-0.19265531098446925
sector,1600-1799,Nobility,Culture (core),-0.4146134254519661
sector,1600-1799,Nobility,Culture (periphery),-0.5787090863446361
sector,1600-1799,Nobility,Sport & Games,0.06410487317375495
sector,1600-1799,Kinship,Big business,-0.13945314018915572
sector,1600-1799,Kinship,Small business,-0.1233320415046907
sector,1600-1799,Kinship,Academia,-0.4751329594896717
sector,1600-1799,Kinship,Exploration & Invention,-0.13860420477466562
sector,1600-1799,Kinship,Culture (core),-0.1992018021901431
sector,1600-1799,Kinship,Culture (periphery),-0.12657961065079007
sector,1600-1799,Kinship,Sport & Games,0.17973313844459435
sector,1600-1799,Big business,Small business,0.29102958418890373
sector,1600-1799,Big business,Academia,-0.10901612507593517
sector,1600-1799,Big business,Exploration & Invention,0.32483447778294683
sector,1600-1799,Big business,Culture (core),-0.18820440374964215
sector,1600-1799,Big business,Culture (periphery),0.3257961860976857
sector,1600-1799,Big business,Sport & Games,0.2922533898007614
sector,1600-1799,Small business,Academia,0.33676404402144516
sector,1600-1799,Small business,Exploration & Invention,0.5991654371182183
sector,1600-1799,Small business,Culture (core),0.4358869150941601
sector,1600-1799,Small business,Culture (periphery),0.6804272140406575
sector,1600-1799,Small business,Sport & Games,0.4047670695279752
sector,1600-1799,Academia,Exploration & Invention,-0.10695781586798604
sector,1600-1799,Academia,Culture (core),0.5319122526518952
sector,1600-1799,Academia,Culture (periphery),0.6882023296216915
sector,1600-1799,Academia,Sport & Games,0.17985329782860543
sector,1600-1799,Exploration & Invention,Culture (core),0.37269402804842316
sector,1600-1799,Exploration & Invention,Culture (periphery),0.22668091100339338
sector,1600-1799,Exploration & Invention,Sport & Games,0.46536850169828037
sector,1600-1799,Culture (core),Culture (periphery),0.679224495126166
sector,1600-1799,Culture (core),Sport & Games,0.12214824499548932
sector,1600-1799,Culture (periphery),Sport & Games,0.5247185200524547
sector,1800-1899,Politics,Administration & Law,0.1927501676836645
sector,1800-1899,Politics,Military,-0.1583871638675127
sector,1800-1899,Politics,Religion,-0.6540726086859282
sector,1800-1899,Politics,Nobility,0.1522634889854402
sector,1800-1899,Politics,Kinship,-0.38329311857570836
sector,1800-1899,Politics,Big business,-0.1866134735361656
sector,1800-1899,Politics,Small business,-0.4055512699163542
sector,1800-1899,Politics,Academia,-0.6182470487622135
sector,1800-1899,Politics,Exploration & Invention,0.03511852159797571
sector,1800-1899,Politics,Culture (core),-0.5129354499816727
sector,1800-1899,Politics,Culture (periphery),-0.7344857850727103
sector,1800-1899,Politics,Sport & Games,0.1459716010959118
sector,1800-1899,Administration & Law,Military,0.3364094084499172
sector,1800-1899,Administration & Law,Religion,0.07417581715476285
sector,1800-1899,Administration & Law,Nobility,0.2289433941542596
sector,1800-1899,Administration & Law,Kinship,0.12474680216661406
sector,1800-1899,Administration & Law,Big business,0.12290232537085968
sector,1800-1899,Administration & Law,Small business,0.0973077368518707
sector,1800-1899,Administration & Law,Academia,-0.5268542796118901
sector,1800-1899,Administration & Law,Exploration & Invention,-0.09898491912648691
sector,1800-1899,Administration & Law,Culture (core),-0.5271022652399397
sector,1800-1899,Administration & Law,Culture (periphery),-0.31783861493604404
sector,1800-1899,Administration & Law,Sport & Games,-0.4000560770132851
sector,1800-1899,Military,Religion,0.06484159716041506
sector,1800-1899,Military,Nobility,0.21630512816414962
sector,1800-1899,Military,Kinship,0.5194224415660252
sector,1800-1899,Military,Big business,0.5528603144607843
sector,1800-1899,Military,Small business,-0.07239115698572855
sector,1800-1899,Military,Academia,-0.20073092492300013
sector,1800-1899,Military,Exploration & Invention,-0.159971920234126
sector,1800-1899,Military,Culture (core),-0.5174926182031169
sector,1800-1899,Military,Culture (periphery),-0.3580385864458542
sector,1800-1899,Military,Sport & Games,0.0776743310887778
sector,1800-1899,Religion,Nobility,0.1887517478149543
sector,1800-1899,Religion,Kinship,0.3036904021642167
sector,1800-1899,Religion,Big business,-0.06665039652360016
sector,1800-1899,Religion,Small business,-0.08698950683320252
sector,1800-1899,Religion,Academia,0.36430736944157777
sector,1800-1899,Religion,Exploration & Invention,0.09074954841170145
sector,1800-1899,Religion,Culture (core),0.5670241143562121
sector,1800-1899,Religion,Culture (periphery),0.4551059950288149
sector,1800-1899,Religion,Sport & Games,-0.31372788282125574
sector,1800-1899,Nobility,Kinship,0.20913737035986335
sector,1800-1899,Nobility,Big business,0.009831223537234502
sector,1800-1899,Nobility,Small business,-0.47791567319256745
sector,1800-1899,Nobility,Academia,-0.19211062333038037
sector,1800-1899,Nobility,Exploration & Invention,0.11844563576397758
sector,1800-1899,Nobility,Culture (core),-0.14616041287022263
sector,1800-1899,Nobility,Culture (periphery),-0.3201199409687293
sector,1800-1899,Nobility,Sport & Games,0.46831452295113585
sector,1800-1899,Kinship,Big business,-0.10920741208490559
sector,1800-1899,Kinship,Small business,-0.021056763849127292
sector,1800-1899,Kinship,Academia,-0.10967180403749466
sector,1800-1899,Kinship,Exploration & Invention,-0.05082178037950202
sector,1800-1899,Kinship,Culture (core),0.09436014090214566
sector,1800-1899,Kinship,Culture (periphery),-0.018498611868361985
sector,1800-1899,Kinship,Sport & Games,0.2644654294202218
sector,1800-1899,Big business,Small business,0.4435928500185299
sector,1800-1899,Big business,Academia,-0.08337449279024985
sector,1800-1899,Big business,Exploration & Invention,0.3879622207974559
sector,1800-1899,Big business,Culture (core),-0.3670019507743381
sector,1800-1899,Big business,Culture (periphery),-0.001389863737626437
sector,1800-1899,Big business,Sport & Games,-0.04813937589760178
sector,1800-1899,Small business,Academia,0.15457970384974903
sector,1800-1899,Small business,Exploration & Invention,0.5327069994287355
sector,1800-1899,Small business,Culture (core),-0.13542554849057592
sector,1800-1899,Small business,Culture (periphery),0.3832005540129669
sector,1800-1899,Small business,Sport & Games,0.009109617477305786
sector,1800-1899,Academia,Exploration & Invention,-0.16805306963541713
sector,1800-1899,Academia,Culture (core),0.32346687814137143
sector,1800-1899,Academia,Culture (periphery),0.6536734699305607
sector,1800-1899,Academia,Sport & Games,0.14575673371719378
sector,1800-1899,Exploration & Invention,Culture (core),0.18004594608397098
sector,1800-1899,Exploration & Invention,Culture (periphery),-0.10345144979187985
sector,1800-1899,Exploration & Invention,Sport & Games,0.4402039306389644
sector,1800-1899,Culture (core),Culture (periphery),0.4652648218229591
sector,1800-1899,Culture (core),Sport & Games,-0.06367589822189793
sector,1800-1899,Culture (periphery),Sport & Games,-0.29274119148754135
sector,1900-2020,Politics,Administration & Law,0.6554379194160067
sector,1900-2020,Politics,Military,0.542910533033202
sector,1900-2020,Politics,Religion,-0.03529323199654629
sector,1900-2020,Politics,Nobility,0.05297046298970457
sector,1900-2020,Politics,Kinship,-0.2920030644866763
sector,1900-2020,Politics,Big business,0.14855411325395468
sector,1900-2020,Politics,Small business,-0.1793326120215161
sector,1900-2020,Politics,Academia,0.017447116420967964
sector,1900-2020,Politics,Exploration & Invention,0.07602315661682385
sector,1900-2020,Politics,Culture (core),-0.7392566469822553
sector,1900-2020,Politics,Culture (periphery),-0.738355164471407
sector,1900-2020,Politics,Sport & Games,0.17144210416587582
sector,1900-2020,Administration & Law,Military,0.6267146849842973
sector,1900-2020,Administration & Law,Religion,0.446558155349532
sector,1900-2020,Administration & Law,Nobility,0.34421659673189725
sector,1900-2020,Administration & Law,Kinship,0.2792151879292432
sector,1900-2020,Administration & Law,Big business,0.2018464250745793
sector,1900-2020,Administration & Law,Small business,0.43746211685205
