layer,date,sum_wald,is_best,p_value_best
sector centuries,1000.0,388.22418187912723,False,
sector centuries,1100.0,661.8707863734204,True,0.0004997501249375312
sector centuries,1200.0,654.8626802158526,False,
sector centuries,1300.0,550.660380565945,False,
sector centuries,1400.0,283.2789517764607,False,
sector centuries,1500.0,272.36801843469743,False,
sector centuries,1600.0,435.3472546363062,False,
sector half-centuries,1500.0,188.87847008640836,False,
sector half-centuries,1550.0,223.25249591309384,False,
sector half-centuries,1600.0,284.3032229167758,False,
sector half-centuries,1650.0,363.72039834353467,False,
sector half-centuries,1700.0,402.3391882354722,True,0.0004997501249375312
sector half-centuries,1750.0,368.7342356536897,False,
domain half-centuries,1500.0,17.177742512067905,False,
domain half-centuries,1550.0,40.973885426391455,False,
domain half-centuries,1600.0,21.7842083564295,False,
domain half-centuries,1650.0,11.074529642168505,False,
domain half-centuries,1700.0,18.990126031195395,False,
domain half-centuries,1750.0,96.54166329298181,True,0.0009995002498750624
