era,country,path,n_elites,share_Politics,share_Administration & Law,share_Military,share_Business,share_Nobility & Kinship,share_Religion,share_Learning & Culture,military_minus_business
1400-1599,Austria,coercion-intensive,261,0.15708812260536398,0.10344827586206896,0.1417624521072797,0.07279693486590039,0.4099616858237548,0.19923371647509577,0.31800766283524906,0.06896551724137931
1400-1599,Belgium,capital-intensive,502,0.07768924302788845,0.05976095617529881,0.027888446215139442,0.053784860557768925,0.09561752988047809,0.2729083665338645,0.7768924302788844,-0.025896414342629483
1400-1599,Denmark,capitalized coercion,267,0.15730337078651685,0.10861423220973783,0.09363295880149813,0.10486891385767791,0.49063670411985016,0.1647940074906367,0.36704119850187267,-0.011235955056179775
1400-1599,France,capitalized coercion,3045,0.08604269293924466,0.13136288998357964,0.10049261083743842,0.08243021346469623,0.27257799671592775,0.2600985221674877,0.4857142857142857,0.018062397372742192
1400-1599,Germany,capitalized coercion,5586,0.11206587898317222,0.11117078410311493,0.03544575725026853,0.1066953097028285,0.24937343358395989,0.17883995703544575,0.5760830648048694,-0.07124955245255998
1400-1599,Italy,capital-intensive,5944,0.06544414535666218,0.05837819650067295,0.055686406460296094,0.04138627187079408,0.16369448183041724,0.27674966352624497,0.620121130551817,0.014300134589502016
1400-1599,Netherlands,capital-intensive,1486,0.13728129205921938,0.06527590847913863,0.0740242261103634,0.10430686406460296,0.15746971736204576,0.09152086137281291,0.7072678331090175,-0.030282637954239564
1400-1599,Poland,coercion-intensive,471,0.10191082802547771,0.09978768577494693,0.09978768577494693,0.07430997876857749,0.37154989384288745,0.28662420382165604,0.4033970276008493,0.025477707006369435
1400-1599,Portugal,capital-intensive,720,0.13055555555555556,0.06805555555555555,0.09722222222222222,0.059722222222222225,0.375,0.2111111111111111,0.5013888888888889,0.0375
1400-1599,Spain,capitalized coercion,2719,0.1312982714233174,0.07944097094520045,0.1511585141596175,0.0316292754689224,0.22508275101140124,0.3221772710555351,0.5410077234277307,0.11952923869069511
1400-1599,Sweden,coercion-intensive,563,0.23978685612788633,0.0994671403197158,0.21847246891651864,0.10479573712255773,0.42095914742451157,0.2291296625222025,0.2255772646536412,0.11367673179396091
1400-1599,Switzerland,capital-intensive,638,0.20532915360501566,0.14420062695924765,0.05956112852664577,0.14420062695924765,0.06739811912225706,0.19905956112852666,0.6238244514106583,-0.08463949843260188
1400-1599,Turkey,coercion-intensive,242,0.2024793388429752,0.07024793388429752,0.1446280991735537,0.024793388429752067,0.4462809917355372,0.2231404958677686,0.35537190082644626,0.11983471074380164
1400-1599,United Kingdom,capitalized coercion,5887,0.42194666213691184,0.11584847970103618,0.06352981144895532,0.11550874808900968,0.3083064379140479,0.18498386274842873,0.27450314251741126,-0.05197893664005436
1600-1799,Austria,coercion-intensive,2463,0.10678034916768168,0.09744214372716199,0.14941128704831505,0.12423873325213154,0.16727568006496144,0.13479496548924078,0.6065773447015834,0.02517255379618351
1600-1799,Belgium,capital-intensive,963,0.304257528556594,0.12980269989615784,0.08099688473520249,0.08099688473520249,0.1059190031152648,0.1526479750778816,0.5659397715472482,0.0
1600-1799,Denmark,capitalized coercion,1361,0.10286554004408523,0.13225569434239529,0.16752387950036737,0.14474650991917706,0.319617927994122,0.0867009551800147,0.520940484937546,0.02277736958119031
1600-1799,France,capitalized coercion,22691,0.3752148428892512,0.09316469084659115,0.2077475651139218,0.07760786214798819,0.09964303027632102,0.10885373055396412,0.412542417698647,0.13013970296593363
1600-1799,Germany,capitalized coercion,21094,0.14881008817673272,0.1325021333080497,0.09135299137195411,0.14421162415852848,0.16217881862140893,0.09433962264150944,0.6022565658481085,-0.052858632786574364
1600-1799,Hungary,coercion-intensive,399,0.17042606516290726,0.07017543859649122,0.13784461152882205,0.08020050125313283,0.24812030075187969,0.23057644110275688,0.5363408521303258,0.05764411027568922
1600-1799,Italy,capital-intensive,8077,0.07651355701374273,0.047418596013371304,0.03652346168131732,0.047542404358053736,0.0881515414138913,0.25145474805001855,0.691345796706698,-0.011018942676736414
1600-1799,Netherlands,capital-intensive,3087,0.18075801749271136,0.0822805312601231,0.07904114026563006,0.08940719144800778,0.10171687722708131,0.04826692581794623,0.7275672173631357,-0.010366051182377725
1600-1799,Poland,coercion-intensive,910,0.17362637362637362,0.06813186813186813,0.20659340659340658,0.05274725274725275,0.3,0.17692307692307693,0.4747252747252747,0.15384615384615383
1600-1799,Portugal,capital-intensive,1025,0.3297560975609756,0.10829268292682927,0.15804878048780488,0.1024390243902439,0.23804878048780487,0.18926829268292683,0.424390243902439,0.05560975609756098
1600-1799,Russia,coercion-intensive,1672,0.18241626794258373,0.0950956937799043,0.34868421052631576,0.08433014354066985,0.2811004784688995,0.06220095693779904,0.4276315789473684,0.2643540669856459
1600-1799,Spain,capitalized coercion,3811,0.24376803988454473,0.07714510627131986,0.2540015743899239,0.06192600367357649,0.19443715560220415,0.20493308842823407,0.4843872999212805,0.1920755707163474
1600-1799,Sweden,coercion-intensive,5811,0.15315780416451558,0.06935123042505593,0.2450524866632249,0.15883668903803133,0.22078816038547583,0.12803304078471864,0.5198760970573051,0.08621579762519357
1600-1799,Switzerland,capital-intensive,2081,0.22633349351273427,0.15185007208073042,0.08409418548774628,0.16434406535319557,0.053339740509370494,0.11821239788563191,0.6343104276790005,-0.08024987986544929
1600-1799,Turkey,coercion-intensive,260,0.38076923076923075,0.09615384615384616,0.19615384615384615,0.04230769230769231,0.31153846153846154,0.2692307692307692,0.26153846153846155,0.15384615384615385
1600-1799,United Kingdom,capitalized coercion,20877,0.3773530679695358,0.09110504382813622,0.1207069981319155,0.13871724864683624,0.194759783493797,0.11970110648081621,0.4447478085931887,-0.018010250514920736
1800-1899,Austria,coercion-intensive,10232,0.23172400312744332,0.06968334636434714,0.06137607505863956,0.1230453479280688,0.04124315871774824,0.04104769351055512,0.7191164972634871,-0.06166927286942924
1800-1899,Belgium,capital-intensive,4102,0.3603120429058996,0.13383715260848367,0.052169673330082884,0.09141882008776207,0.0416869819600195,0.061921014139444175,0.598488542174549,-0.03924914675767919
1800-1899,Denmark,capitalized coercion,3453,0.11873732985809442,0.05560382276281494,0.0437300897770055,0.10657399362872864,0.15030408340573415,0.04257167680278019,0.8204459889950767,-0.06284390385172314
1800-1899,France,capitalized coercion,32680,0.2833231334149327,0.0647796817625459,0.09443084455324358,0.08981028151774786,0.03497552019583843,0.05654834761321909,0.6450122399020808,0.004620563035495712
1800-1899,Germany,capitalized coercion,67632,0.2613555713271824,0.12948012775017742,0.08086408800567779,0.14392595221197066,0.04358883368819494,0.048482966643009225,0.6119884078542702,-0.06306186420629287
1800-1899,Hungary,coercion-intensive,2101,0.26511185149928607,0.08567348881485007,0.07615421227986673,0.06615897191813422,0.06282722513089005,0.06473108043788672,0.7229890528319848,0.009995240361732508
1800-1899,Italy,capital-intensive,17019,0.285386920500617,0.08355367530407191,0.09689170926611435,0.08255479170339033,0.025853457899994124,0.09125095481520654,0.6317644985016746,0.01433691756272401
1800-1899,Netherlands,capital-intensive,2496,0.1762820512820513,0.07732371794871795,0.062099358974358976,0.0829326923076923,0.05328525641025641,0.05929487179487179,0.7760416666666666,-0.02083333333333333
1800-1899,Poland,coercion-intensive,2945,0.21120543293718166,0.06689303904923599,0.14533106960950765,0.06689303904923599,0.06960950764006792,0.10458404074702886,0.7032258064516129,0.07843803056027165
1800-1899,Portugal,capital-intensive,2439,0.3636736367363674,0.12956129561295612,0.12710127101271013,0.11972119721197212,0.07995079950799508,0.041820418204182044,0.6215662156621566,0.0073800738007380046
1800-1899,Romania,coercion-intensive,1434,0.301255230125523,0.1290097629009763,0.1101813110181311,0.09623430962343096,0.04811715481171548,0.05718270571827057,0.6757322175732218,0.013947001394700134
1800-1899,Russia,coercion-intensive,7097,0.19078483866422433,0.05269832323516979,0.15429054530083133,0.07242496829646329,0.09327885021840214,0.043821332957587715,0.7115682682823729,0.08186557700436804
1800-1899,Spain,capitalized coercion,9303,0.2893690207459959,0.1108244652262711,0.1108244652262711,0.0945931419972052,0.08534881221111469,0.08405890572933462,0.6668816510802967,0.016231323229065897
1800-1899,Sweden,coercion-intensive,16616,0.21310784785748677,0.03996148290804044,0.07240009629272989,0.20359894077997112,0.12764805007221955,0.05470630717380838,0.6808497833413577,-0.13119884448724123
1800-1899,Switzerland,capital-intensive,5564,0.2731847591660676,0.11304816678648455,0.03289000718907261,0.14072609633357297,0.022106398274622574,0.05661394680086269,0.689432063263839,-0.10783608914450035
1800-1899,Turkey,coercion-intensive,871,0.46842709529276694,0.12743972445464982,0.29965556831228474,0.03788748564867968,0.12629161882893225,0.1010332950631458,0.3960964408725603,0.2617680826636051
1800-1899,United Kingdom,capitalized coercion,36012,0.25785849161390645,0.08574919471287348,0.1447295345995779,0.12720759746751084,0.09718982561368433,0.08291680550927469,0.5843052315894702,0.017521937132067067
1900-2020,Austria,coercion-intensive,18111,0.252719341836453,0.05825189111589642,0.01982220749820551,0.11291480315830159,0.012809894539230302,0.029043122963944564,0.7284523217933853,-0.09309259566009608
1900-2020,Belgium,capital-intensive,7944,0.2747985901309164,0.05966767371601209,0.023162134944612285,0.06268882175226587,0.025805639476334342,0.027190332326283987,0.7176485397784491,-0.03952668680765358
1900-2020,Denmark,capitalized coercion,4631,0.16605484776506155,0.03260634852083783,0.014467717555603542,0.08982941049449363,0.03368602893543511,0.01878643921399266,0.8386957460591665,-0.07536169293889008
1900-2020,France,capitalized coercion,54050,0.18146160962072155,0.0432377428307123,0.045328399629972246,0.07716928769657724,0.02070305272895467,0.028140610545790933,0.7822201665124885,-0.031840888066605
1900-2020,Germany,capitalized coercion,123083,0.213741946491392,0.07100086933207674,0.03884370709196233,0.09183234077817408,0.009595151239407554,0.03122283337260223,0.7498354768733294,-0.05298863368621175
1900-2020,Hungary,coercion-intensive,3610,0.2409972299168975,0.050415512465373964,0.019390581717451522,0.0667590027700831,0.01662049861495845,0.037673130193905814,0.820775623268698,-0.04736842105263159
