coding,era,country,path,politics_military,politics_business,coercion_index
main,1400-1599,Belgium,capital-intensive,1.9612260828810235,0.7242594360018239,1.2369666468791998
main,1400-1599,France,capitalized coercion,0.6473576837561119,-0.13890534302308077,0.7862630267791927
main,1400-1599,Germany,capitalized coercion,0.17433031158409368,0.38932558683997975,-0.21499527525588608
main,1400-1599,Italy,capital-intensive,0.31310450872090595,0.4550348896367372,-0.14193038091583127
main,1400-1599,Netherlands,capital-intensive,0.5383001044624108,0.19060181836808485,0.34769828609432596
main,1400-1599,Poland,coercion-intensive,-0.12082004553893087,-0.12881503845275036,0.007994992913819485
main,1400-1599,Portugal,capital-intensive,0.8220353138380189,-1.8021803465784259,2.6242156604164446
main,1400-1599,Spain,capitalized coercion,0.814339254266158,0.20671557039065203,0.607623683875506
main,1400-1599,Sweden,coercion-intensive,0.1606321492452206,-1.1309494715749977,1.2915816208202182
main,1400-1599,Switzerland,capital-intensive,1.8829186979531127,-0.47640814577223145,2.359326843725344
main,1400-1599,United Kingdom,capitalized coercion,0.1283768444312563,0.12705103093973996,0.0013258134915163367
main,1600-1799,Austria,coercion-intensive,1.095924964145695,-1.2396864750454166,2.3356114391911116
main,1600-1799,Belgium,capital-intensive,0.3314541401828095,0.5718019920152104,-0.24034785183240093
main,1600-1799,Denmark,capitalized coercion,0.5997995372876614,0.2715761203546276,0.32822341693303386
main,1600-1799,France,capitalized coercion,0.6538142616293188,-0.4058004925237561,1.059614754153075
main,1600-1799,Germany,capitalized coercion,0.46184139469891494,0.3343396886965819,0.12750170600233302
main,1600-1799,Hungary,coercion-intensive,0.8018686697950677,-0.5859523244785572,1.3878209942736248
main,1600-1799,Italy,capital-intensive,2.0264102356583105,-0.1480022589152257,2.174412494573536
main,1600-1799,Netherlands,capital-intensive,0.39523006224988455,-0.22361249085707874,0.6188425531069632
main,1600-1799,Poland,coercion-intensive,0.4054230967892965,-0.07218884274941609,0.4776119395387126
main,1600-1799,Portugal,capital-intensive,0.6131390510858773,0.17135364672604697,0.4417854043598303
main,1600-1799,Russia,coercion-intensive,0.40462347164106455,-1.3427307077520543,1.7473541793931189
main,1600-1799,Spain,capitalized coercion,0.6929706045440343,0.21256876084615065,0.48040184369788363
main,1600-1799,Sweden,coercion-intensive,0.6573754599288089,-0.3048463590547585,0.9622218189835674
main,1600-1799,Switzerland,capital-intensive,1.2701555156940947,0.3401722088561657,0.929983306837929
main,1600-1799,United Kingdom,capitalized coercion,0.741249588359935,-0.2590773781892158,1.0003269665491508
main,1800-1899,Austria,coercion-intensive,-0.08771601367146221,0.4444516991689955,-0.5321677128404577
main,1800-1899,Belgium,capital-intensive,-0.10841115367479802,0.11233390957666482,-0.22074506325146284
main,1800-1899,Denmark,capitalized coercion,0.2510569590709122,0.7206813024734494,-0.4696243434025372
main,1800-1899,France,capitalized coercion,0.4388852786133949,0.1292651908915804,0.3096200877218145
main,1800-1899,Germany,capitalized coercion,0.24281735025131732,0.08973546865200091,0.1530818815993164
main,1800-1899,Hungary,coercion-intensive,0.7680767582289619,-1.935138818548498,2.7032155767774597
main,1800-1899,Italy,capital-intensive,0.4230126496637059,0.03206304439449516,0.39094960526921074
main,1800-1899,Netherlands,capital-intensive,0.3890674665746737,-0.6173021464025386,1.0063696129772124
main,1800-1899,Poland,coercion-intensive,0.5023948370340243,-0.06553107473580798,0.5679259117698323
main,1800-1899,Portugal,capital-intensive,0.32447069767999215,-0.12734461347010245,0.4518153111500946
main,1800-1899,Romania,coercion-intensive,0.8991515996224566,-1.1767653310876691,2.0759169307101257
main,1800-1899,Russia,coercion-intensive,0.37538472639167436,-0.3038164456253535,0.6792011720170279
main,1800-1899,Spain,capitalized coercion,0.5699894509355846,-0.016320457326563956,0.5863099082621486
main,1800-1899,Sweden,coercion-intensive,0.5228719104934321,0.7674085457667528,-0.2445366352733207
main,1800-1899,Switzerland,capital-intensive,0.05949224920019889,0.13245201234625814,-0.07295976314605926
main,1800-1899,Turkey,coercion-intensive,0.17027250279048445,-0.12792815200666283,0.2982006547971473
main,1800-1899,United Kingdom,capitalized coercion,0.1879890277515933,0.44714137227105716,-0.2591523445194639
main,1900-2020,Austria,coercion-intensive,0.6087230572960659,0.37887048236643245,0.22985257492963346
main,1900-2020,Belgium,capital-intensive,-0.0316566197361711,-0.5371245091331569,0.5054678893969858
main,1900-2020,Denmark,capitalized coercion,0.8015401462184943,0.013998949127183096,0.7875411970913112
main,1900-2020,France,capitalized coercion,1.00674873080925,-0.18969243432894128,1.1964411651381912
main,1900-2020,Germany,capitalized coercion,0.7564971345709346,-0.11229768163081698,0.8687948162017516
main,1900-2020,Hungary,coercion-intensive,0.5530265905390768,-0.6898671983085256,1.2428937888476024
main,1900-2020,Italy,capital-intensive,-0.5237864497213054,0.18337563273313365,-0.707162082454439
main,1900-2020,Netherlands,capital-intensive,0.6869177831105305,-0.3069585377756127,0.9938763208861432
main,1900-2020,Poland,coercion-intensive,0.3252237641635536,-0.07364509736371698,0.3988688615272706
main,1900-2020,Portugal,capital-intensive,1.0800447908060453,-0.47325089058921843,1.5532956813952636
main,1900-2020,Romania,coercion-intensive,0.7720333291756365,-0.5190822931249973,1.2911156223006337
main,1900-2020,Russia,coercion-intensive,0.5389766807977494,-0.21546034461783536,0.7544370254155848
main,1900-2020,Spain,capitalized coercion,0.7869253706175623,-0.2250787061702045,1.0120040767877667
main,1900-2020,Sweden,coercion-intensive,1.1082762806920734,0.6123484042707278,0.4959278764213456
main,1900-2020,Switzerland,capital-intensive,0.23624114658871886,0.34976401677973784,-0.11352287019101898
main,1900-2020,Turkey,coercion-intensive,0.38956515154221816,-0.640671292818141,1.030236444360359
