coding,era,quantity,predicted_order,claim,jt,jt_null_mean,p_permutation,n_countries,monotone_as_predicted,mean_capital-intensive,mean_capitalized coercion,mean_coercion-intensive
alternative,1400-1599,Politics + Military,capital-intensive < capitalized coercion < coercion-intensive,Direct rule through armed force where capital is thin,6.0,19.0124,0.991000899910009,11,False,1.1035169415710944,0.4376764829246867,0.026755133022581402
alternative,1400-1599,Politics + Business,coercion-intensive < capitalized coercion < capital-intensive,"Rulers bargain with, and are drawn from, merchant oligarchies where capital is thick",19.0,19.0003,0.5258474152584741,11,False,-0.18173846966880228,-0.23402205331692166,0.1302552741936147
alternative,1400-1599,Military + Nobility & Kinship,capital-intensive < capitalized coercion < coercion-intensive,Coercion-intensive rulers coopt landlords into the officer corps,20.0,18.9305,0.46505349465053497,11,False,1.3046082718571825,0.9518259693189675,1.6892880448095686
alternative,1400-1599,Administration & Law + Business,coercion-intensive < capitalized coercion < capital-intensive,"Negotiated, contractual, city-based administration",20.0,19.005,0.46905309469053097,11,False,-1.0227859203385736,-0.688514473944049,-1.2953005220989051
alternative,1400-1599,coercion index,capital-intensive < capitalized coercion < coercion-intensive,assoc(Politics + Military) minus assoc(Politics + Business): Tilly's axis in one number,10.0,19.0022,0.9462053794620537,11,False,1.2852554112398966,0.6716985362416084,-0.10350014117103329
alternative,1600-1799,Politics + Military,capital-intensive < capitalized coercion < coercion-intensive,Direct rule through armed force where capital is thin,38.0,37.0227,0.48195180481951805,15,False,0.8726980903597731,0.6863524786155242,0.6339363194140077
alternative,1600-1799,Politics + Business,coercion-intensive < capitalized coercion < capital-intensive,"Rulers bargain with, and are drawn from, merchant oligarchies where capital is thick",58.0,37.0601,0.013098690130986902,15,True,0.16388153636329103,-0.18928886723039492,-0.5812437322657724
alternative,1600-1799,Military + Nobility & Kinship,capital-intensive < capitalized coercion < coercion-intensive,Coercion-intensive rulers coopt landlords into the officer corps,32.0,37.1226,0.7238276172382762,15,False,1.0564715762216013,0.5685347526076001,1.0325887646456056
alternative,1600-1799,Administration & Law + Business,coercion-intensive < capitalized coercion < capital-intensive,"Negotiated, contractual, city-based administration",23.0,36.9313,0.9342065793420657,15,False,-1.1924032394512574,-0.8178662218860648,-0.5560876076951698
alternative,1600-1799,coercion index,capital-intensive < capitalized coercion < coercion-intensive,assoc(Politics + Military) minus assoc(Politics + Business): Tilly's axis in one number,50.0,36.9046,0.09429057094290572,15,True,0.7088165539964818,0.8756413458459191,1.2151800516797802
alternative,1800-1899,Politics + Military,capital-intensive < capitalized coercion < coercion-intensive,Direct rule through armed force where capital is thin,59.0,46.9987,0.1596840315968403,17,False,0.22311481141911413,0.4299339169485012,0.41005453723535096
alternative,1800-1899,Politics + Business,coercion-intensive < capitalized coercion < capital-intensive,"Rulers bargain with, and are drawn from, merchant oligarchies where capital is thick",62.0,46.9517,0.10368963103689631,17,False,0.04214725148637108,0.3318736629007066,-0.439284664883285
alternative,1800-1899,Military + Nobility & Kinship,capital-intensive < capitalized coercion < coercion-intensive,Coercion-intensive rulers coopt landlords into the officer corps,67.0,47.1483,0.0415958404159584,17,False,0.42730636672780015,0.34397338418309376,1.0793360684504685
alternative,1800-1899,Administration & Law + Business,coercion-intensive < capitalized coercion < capital-intensive,"Negotiated, contractual, city-based administration",44.0,46.9585,0.6147385261473852,17,False,-1.563800262152376,-1.6847516586540732,-1.3785966876622735
alternative,1800-1899,coercion index,capital-intensive < capitalized coercion < coercion-intensive,assoc(Politics + Military) minus assoc(Politics + Business): Tilly's axis in one number,57.0,46.9094,0.19838016198380162,17,False,0.18096755993274308,0.09806025404779461,0.849339202118636
alternative,1900-2020,Politics + Military,capital-intensive < capitalized coercion < coercion-intensive,Direct rule through armed force where capital is thin,48.0,47.073,0.47835216478352166,17,False,0.37488346621105206,0.8011770040708657,0.5634351011550336
alternative,1900-2020,Politics + Business,coercion-intensive < capitalized coercion < capital-intensive,"Rulers bargain with, and are drawn from, merchant oligarchies where capital is thick",55.0,46.8709,0.25337466253374663,17,False,-0.12836588980965558,0.03202242668294209,-0.2674504893568001
alternative,1900-2020,Military + Nobility & Kinship,capital-intensive < capitalized coercion < coercion-intensive,Coercion-intensive rulers coopt landlords into the officer corps,59.0,47.0618,0.15408459154084592,17,False,0.04741881157535579,-0.17245190906220692,0.10921959713580202
alternative,1900-2020,Administration & Law + Business,coercion-intensive < capitalized coercion < capital-intensive,"Negotiated, contractual, city-based administration",47.0,47.0728,0.5212478752124787,17,False,-1.9133251788629686,-0.8279479111847556,-1.9268488587661217
alternative,1900-2020,coercion index,capital-intensive < capitalized coercion < coercion-intensive,assoc(Politics + Military) minus assoc(Politics + Business): Tilly's axis in one number,56.0,46.9155,0.22727727227277272,17,True,0.5032493560207076,0.7691545773879236,0.8308855905118336
