group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,country,era
Politics,Administration & Law,Politics + Administration & Law,2463,952,68,24.193477783417272,1.471973950800509,1.2263680589246138,1.711833036173961,0.12601007373651188,0.0004997501249375312,0.07142857142857142,1.4159280120178468,0.1612566470384538,1.0998649838224774,1.7319910402132161,1.6262372455821938e-18,0.0011660836248542396,5.691830359537678e-18,associated,Austria,1600-1799
Politics,Military,Politics + Military,2463,952,71,32.95027978108029,1.095924964145695,0.8377130404266663,1.3354052943658925,0.12772057802649694,0.0004997501249375312,0.07457983193277311,0.8656366468089907,0.15187992547309487,0.5679519928817247,1.1633213007362566,1.2017319325378332e-08,0.0011660836248542396,2.8040411759216105e-08,associated,Austria,1600-1799
Politics,Business,Politics + Business,2463,952,11,26.656928856608797,-1.2396864750454166,-2.26137896565269,-0.5862518830826282,0.43574607964957623,0.009495252373813094,0.011554621848739496,-1.2252333298784481,0.30793799566583047,-1.8287918013834759,-0.6216748583734204,6.92548631812345e-05,0.016616691654172917,9.089700792537027e-05,dissociated,Austria,1600-1799
Politics,Nobility & Kinship,Politics + Nobility & Kinship,2463,952,39,40.81875094011411,-0.06494398910925886,-0.5030309883696489,0.2668182321661355,0.19473890112967904,0.7266366816591704,0.04096638655462185,-0.14978884822417127,0.18164627844907646,-0.5058155539843612,0.2062378575360186,0.4095883195102855,0.7266366816591704,0.40958831951028546,not distinguishable,Austria,1600-1799
Politics,Religion,Politics + Religion,2463,952,6,22.71671058053773,-1.8366519576785234,-3.335173106019795,-0.9920133794149646,0.6304566890893403,0.020989505247376312,0.0063025210084033615,-1.9315502557427184,0.40165397013047255,-2.718792037198445,-1.1443084742869922,1.5169417070038047e-06,0.03148425787106447,2.6546479872566583e-06,dissociated,Austria,1600-1799
Politics,Learning & Culture,Politics + Learning & Culture,2463,952,31,78.66385206208764,-1.3294899860929856,-1.8405160169614967,-0.9450907663354476,0.22985915383742678,0.0004997501249375312,0.032563025210084036,-2.684222697113789,0.1951571999511832,-3.0667308090181082,-2.30171458520947,4.808552961081234e-43,0.0011660836248542396,3.365987072756864e-42,dissociated,Austria,1600-1799
Administration & Law,Military,Administration & Law + Military,2463,952,19,28.705088570677223,-0.582745636092375,-1.2677483956919073,-0.07562303870492044,0.31065829366799264,0.054972513743128434,0.01995798319327731,-0.7504144494133874,0.24329288910861044,-1.2272685120662639,-0.273560386760511,0.002039579166514586,0.07284592997618837,0.002254271710358227,not distinguishable,Austria,1600-1799
Administration & Law,Business,Administration & Law + Business,2463,952,14,23.222549518094258,-0.710206167799398,-1.5895637351646577,-0.14226847424574143,0.3677567174844934,0.05847076461769116,0.014705882352941176,-0.8610087800621352,0.27805946132094567,-1.4060053242511887,-0.3160122358730817,0.0019582542494873704,0.07284592997618837,0.002254271710358227,not distinguishable,Austria,1600-1799
Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,2463,952,33,35.55981523875166,-0.10623090921926755,-0.5843118641534909,0.28580630735268636,0.2124348913337673,0.607696151924038,0.03466386554621849,-0.2424769806386865,0.19454362450413618,-0.6237824846667934,0.13882852338942042,0.21262171756093762,0.6380809595202399,0.22325280343898452,not distinguishable,Austria,1600-1799
Administration & Law,Religion,Administration & Law + Religion,2463,952,5,19.789974275823795,-1.8832635122581427,-3.6669359256941365,-1.018915484135817,0.659422691763233,0.01699150424787606,0.005252100840336135,-2.0006855151644003,0.43548270751153534,-2.8542316218870094,-1.1471394084417912,4.344563086548993e-06,0.027447814554261332,6.51684462982349e-06,dissociated,Austria,1600-1799
