pair,break_cohort,shift,shift_se,p_value,in_window,window_low,window_high,q_value
Politics + Military,1750.0,-0.2671297196098156,0.06345123433452922,0.0074962518740629685,False,1495,1635,0.010494752623688156
Administration & Law + Military,1700.0,-1.156516620516624,0.19063621262004565,0.0004997501249375312,False,1495,1635,0.0011660836248542396
Politics + Administration & Law,1700.0,-0.44845751296293973,0.08745362066929144,0.0014992503748125937,False,1495,1635,0.002623688155922039
Military + Exploration & Invention,1400.0,3.990866710013158,0.5087132868686641,0.0004997501249375312,False,1495,1635,0.0011660836248542396
Military + Big business,1500.0,3.251969895862064,0.4034666702644303,0.0004997501249375312,True,1495,1635,0.0011660836248542396
Military + Religion,1750.0,0.9095527950317525,0.2596575880281078,0.03548225887056472,False,1495,1635,0.04139596868232551
Military + Nobility,1700.0,-0.31809668385671186,0.14196824730643343,0.3663168415792104,False,1495,1635,0.36631684157921046
