pair,high,low,did,p_permutation,n_draws,pre_cohorts,post_cohorts
Politics + Military,0.5091211284988267,0.5379931486416619,-0.028872020142835186,0.9758620689655172,289,"1350,1400,1450","1650,1700,1750"
Administration & Law + Military,-0.45037765975170285,-0.1570381044594964,-0.29333955529220646,0.7896551724137931,289,"1350,1400,1450","1650,1700,1750"
Politics + Administration & Law,0.5916777804789651,0.44113284347776616,0.15054493700119898,0.7758620689655172,289,"1350,1400,1450","1650,1700,1750"
Military + Exploration & Invention,-0.7465334058482775,0.2065193021332874,-0.9530527079815649,0.6482758620689655,289,"1350,1400,1450","1650,1700,1750"
Military + Big business,-0.558326054666683,-0.6179893045282383,0.059663249861555356,0.896551724137931,289,"1350,1400,1450","1650,1700,1750"
Military + Religion,-0.35536577504290756,0.7796171085563084,-1.134982883599216,0.28620689655172415,289,"1350,1400,1450","1650,1700,1750"
Military + Nobility,0.3043266935857998,0.14254144548632253,0.16178524809947725,0.5482758620689655,289,"1350,1400,1450","1650,1700,1750"
