pair,change,change_se,change_long_post,n_pre_cohorts,n_post_cohorts,predicted,contested,direction,claim,source,signed_change,rank_of_change,z
Kinship + Academia,4.155135172511847,0.15837779785990003,4.660920169737373,6,6,False,False,,,,,78.0,26.235591280208688
Nobility + Culture (periphery),3.0387994631209985,0.2149048764483209,3.124086355569275,6,6,False,False,,,,,77.0,14.140207115550268
Kinship + Culture (periphery),2.201245446979069,0.24916041994742244,2.299534681930263,6,6,False,False,,,,,76.0,8.83465137618396
Military + Culture (core),1.815537322769253,0.1706184092458101,2.255611465506643,6,6,False,False,,,,,75.0,10.640922810114862
Kinship + Sport & Games,1.8119057616477967,0.2241189032428467,2.2860595429518162,6,6,False,False,,,,,74.0,8.084573569791589
Small business + Exploration & Invention,1.6672903122300284,0.15292497326505144,1.706434614987788,6,6,False,False,,,,,73.0,10.90266865268801
Academia + Exploration & Invention,1.536417146039477,0.18462277840611885,1.4255769322859735,6,6,False,False,,,,,72.0,8.321926250398995
Big business + Exploration & Invention,1.2571578132744552,0.133299426783878,1.42155760694929,6,6,False,False,,,,,71.0,9.431081915398778
Exploration & Invention + Sport & Games,1.2245653724208145,0.2616246589352487,0.9014742448426794,6,6,False,False,,,,,70.0,4.68061908768275
Big business + Academia,1.1803647106268094,0.17058562392760765,0.9926975434384171,6,6,False,False,,,,,69.0,6.919485261710724
Big business + Sport & Games,1.144230809207702,0.26125711776764393,0.5403518811732968,6,6,False,False,,,,,68.0,4.379711523210458
Military + Sport & Games,1.143915691613373,0.2323508128669358,1.4188017551416812,6,6,False,False,,,,,67.0,4.923226553412053
Nobility + Culture (core),1.0838007647948569,0.17547320038181513,1.2069197006987382,6,6,False,False,,,,,66.0,6.176446103659113
Religion + Exploration & Invention,1.0800473188325157,0.23344868821189937,0.8617628277066407,6,6,False,False,,,,,65.0,4.62648698994687
Kinship + Culture (core),1.0555376687687044,0.13335519936890033,1.146422961770605,6,6,False,False,,,,,64.0,7.915234454779463
Big business + Small business,1.0528650222466043,0.1421688690410968,0.8966230819880122,6,6,False,False,,,,,63.0,7.405735371941746
Nobility + Academia,1.0429929394209279,0.262470486297517,1.1543359238311461,6,6,False,False,,,,,62.0,3.973753217490018
Religion + Culture (periphery),0.9595499229692348,0.22339801125496045,1.1426688975241692,6,6,False,False,,,,,61.0,4.295248277184153
Politics + Culture (periphery),0.9513400179288936,0.16897763566538937,2.0536512337835076,6,6,False,False,,,,,60.0,5.629975908840051
Military + Exploration & Invention,0.9209926215944167,0.1613190961844286,0.9793771856346073,6,6,True,False,1.0,"The trace italienne, ballistics and siegecraft make the military engineer",Parker 1988,0.9209926215944167,59.0,5.7091357649406165
Culture (core) + Sport & Games,0.8755511808508338,0.20961526104482514,0.4355601792341769,6,6,False,False,,,,,58.0,4.176943875587387
Administration & Law + Culture (periphery),0.8327576408498814,0.22818285228007523,1.115601198112732,6,6,False,False,,,,,57.0,3.6495189385560907
Kinship + Exploration & Invention,0.7955876194727488,0.2722054270347631,1.1892702068215304,6,6,False,False,,,,,56.0,2.922747088988586
Military + Kinship,0.7519697912541337,0.16955608870890687,0.7233295701666641,6,6,False,False,,,,,55.0,4.4349323989485985
Big business + Culture (core),0.7216786128012328,0.23447032615792487,0.437799336558799,6,6,False,False,,,,,54.0,3.077910218434866
Kinship + Big business,0.7212887084278091,0.3530886801487269,0.6881986211071023,6,6,False,False,,,,,53.0,2.0427976000929573
Politics + Military,0.6132724595609502,0.1389974515546897,0.5550630183315173,6,6,True,False,1.0,Standing armies are fused to rule; command becomes a route into government,Roberts 1955; Downing 1992,0.6132724595609502,52.0,4.41211297546454
Big business + Culture (periphery),0.5833644350418284,0.1759663711390885,0.17127337099476625,6,6,False,False,,,,,51.0,3.3152040998829353
Administration & Law + Kinship,0.4807468136353359,0.26794225947510114,0.21902923804796282,6,6,False,False,,,,,50.0,1.7942179579179443
Religion + Kinship,0.4695378071391671,0.1442499827017781,0.8211465083742072,6,6,False,False,,,,,49.0,3.255028516085772
Nobility + Kinship,0.46569651769005604,0.03896250153707698,0.5310145510196052,6,6,False,False,,,,,48.0,11.952428599762674
Military + Academia,0.4601698135946948,0.3494162930360873,0.8895684982843437,6,6,False,False,,,,,47.0,1.3169672472805067
Politics + Sport & Games,0.4384884869309129,0.2367723546129817,0.4738623745761077,6,6,False,False,,,,,46.0,1.8519412354860771
Academia + Culture (periphery),0.35413512642390277,0.2808311302181348,0.24336170717665184,6,6,False,False,,,,,45.0,1.2610251796117806
Culture (periphery) + Sport & Games,0.3531065505803904,0.2945889531629015,-0.48110510884970914,6,6,False,False,,,,,44.0,1.1986415199524807
Small business + Academia,0.32008538259616937,0.17035362418025926,0.11027870095087303,6,6,False,False,,,,,43.0,1.8789467153189052
Politics + Administration & Law,0.29361437254579514,0.11081655174991806,0.40244248143449957,6,6,True,False,1.0,Permanent taxation turns rule into administration,Tilly 1990; Ertman 1997,0.29361437254579514,42.0,2.6495534097505633
Nobility + Big business,0.27677648641652797,0.3534298462121862,0.32017765204222226,6,6,False,False,,,,,41.0,0.7831157707330738
Administration & Law + Big business,0.27608004618559034,0.19930532495401992,-0.05661612311503372,6,6,False,False,,,,,40.0,1.3852115905547555
Military + Big business,0.27390195094327874,0.1932690968268307,0.1209997292825924,6,6,True,False,1.0,"Military entrepreneurs, contractors and war finance",Redlich 1964; Parrott 2012,0.27390195094327874,39.0,1.417205106456803
Politics + Kinship,0.2697777750667898,0.13294674937539736,0.19427572197221754,6,6,False,False,,,,,38.0,2.0292167829167993
Administration & Law + Nobility,0.14415073382726484,0.12207111782643774,0.2506695987453399,6,6,False,False,,,,,37.0,1.1808750210039052
Military + Nobility,0.13659633717248276,0.051512945507734845,0.19976242472992767,6,6,False,True,,,,,36.0,2.6516895088434103
Administration & Law + Culture (core),0.11373944484762222,0.19795489620827206,-0.13677016209010762,6,6,False,False,,,,,35.0,0.5745725265009601
Religion + Small business,0.10883916928372872,0.24280345285441654,-0.04078837170528926,6,6,False,False,,,,,34.0,0.4482603851148197
Politics + Nobility,0.09741061289309899,0.059318980293001485,0.1334179828810355,6,6,False,False,,,,,33.0,1.6421491470680523
Politics + Religion,0.058834694306147794,0.13913472552351233,-0.0637127289824379,6,6,False,False,,,,,32.0,0.42286132440894736
Military + Culture (periphery),0.04499312689417767,0.1949639535150997,0.016845439356551584,6,6,False,False,,,,,31.0,0.23077664400508277
