outcome,pre,post,change
share_Politics,0.14301332102910438,0.2412627812830693,0.09824946025396492
share_Administration & Law,0.07946632689983689,0.09255092770191226,0.013084600802075366
share_Military,0.08611214304263669,0.14113157394581863,0.05501943090318194
share_Religion,0.22308285492927601,0.13216665492523946,-0.09091620000403655
share_Nobility,0.3500906578008816,0.11562375989001754,-0.23446689791086406
share_Kinship,0.18995779396713477,0.07047510289255572,-0.11948269107457905
share_Big business,0.018649304515153776,0.040086383114929146,0.02143707859977537
share_Small business,0.053613302433796695,0.07953312162089875,0.025919819187102053
share_Academia,0.14420466641089003,0.20845137606189942,0.0642467096510094
share_Exploration & Invention,0.02468959429737089,0.028958613435962965,0.004269019138592074
share_Culture (core),0.22375599514874175,0.2862894946817888,0.06253349953304707
share_Culture (periphery),0.04408741269486668,0.07273969563633322,0.028652282941466538
share_Sport & Games,0.005904092695456179,0.009400164816684606,0.003496072121228427
log_n_elites,7.412077255723749,9.487372588132917,2.0752953324091683
diversification_rate,0.5866274658651464,0.5186696500071099,-0.06795781585803651
