revolution,age_band,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell
Iranian Revolution,20-35,Politics,Administration & Law,Politics + Administration & Law,1271,410,46,29.838862761881384,0.6160637083728306,0.40387213020326396,0.8350336638600859,0.11103102670017313,0.0004997501249375312,0.11219512195121951,1.7024438205399646,0.28178267710231475,1.1501497734194277,2.254737867660501,1.525074747268392e-09,0.0017491254372813594,8.006642423159057e-09,associated,False
Iranian Revolution,20-35,Politics,Military,Politics + Military,1271,410,35,22.4607857374834,0.6286470115159798,0.3767257837846316,0.8539744660532449,0.12370196019504956,0.0004997501249375312,0.08536585365853659,0.7612613173682078,0.24687265953094317,0.27739090468755917,1.2451317300488565,0.0020449904435705718,0.0017491254372813594,0.005368099914372751,associated,False
Iranian Revolution,20-35,Politics,Business,Politics + Business,1271,410,22,44.119973594346966,-0.9877646583675324,-1.545243702560014,-0.6072807214795942,0.23454512477793044,0.0009995002498750624,0.05365853658536585,-0.8354645357710526,0.24211133498367557,-1.3100027523390567,-0.3609263192030485,0.0005590410123173743,0.002623688155922039,0.0016771230369521228,dissociated,False
Iranian Revolution,20-35,Politics,Nobility & Kinship,Politics + Nobility & Kinship,1271,410,13,13.763391825369855,-0.07935768725285158,-0.755045410312884,0.38216443499411035,0.28682463137220404,0.7586206896551724,0.03170731707317073,0.3822995844519866,0.3629867368869982,-0.3291544198465299,1.093753588750503,0.2922468728966374,0.9140429785107446,0.40914562205529237,not distinguishable,False
Iranian Revolution,20-35,Politics,Religion,Politics + Religion,1271,410,30,21.941456979925633,0.4426428987485177,0.1309189249466786,0.7101173787667586,0.14744715701028172,0.004497751124437781,0.07317073170731707,1.1343509275223738,0.2920714628514959,0.5618908603334418,1.7068109947113057,0.00010283103107077552,0.010494752623688156,0.0003599086087477143,associated,False
Iranian Revolution,20-35,Politics,Learning & Culture,Politics + Learning & Culture,1271,410,159,172.87552907841652,-0.12034386114066906,-0.18168590926023626,-0.06366580799338042,0.030711998483020433,0.0009995002498750624,0.3878048780487805,-1.2591918045665116,0.12422683486745224,-1.502676400906718,-1.0157072082263052,3.815401110986876e-24,0.002623688155922039,8.012342333072441e-23,dissociated,False
Iranian Revolution,20-35,Administration & Law,Military,Administration & Law + Military,1271,410,2,2.3803581494846977,-0.20432011551645915,-2.5890735289025164,0.945976874840086,0.9504054078895552,0.7936031984007996,0.004878048780487805,-0.39178138102224225,0.6570324369710948,-1.6795649574855882,0.8960021954411036,0.55098200929718,0.9140429785107446,0.6806248350141635,not distinguishable,True
Iranian Revolution,20-35,Administration & Law,Business,Administration & Law + Business,1271,410,2,4.675764237628158,-1.0498438074215535,-3.4562727752248463,0.13821954179353285,0.9408776108803474,0.175912043978011,0.004878048780487805,-0.9814589218839573,0.652303504049166,-2.2599737898203225,0.29705594605240804,0.13242573568683813,0.28416560950294084,0.23174503745196673,not distinguishable,True
Iranian Revolution,20-35,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,1271,410,1,1.4586222529782689,-0.38487668029200295,-2.2587192593436134,1.016326933760247,1.0132473797191566,0.6531734132933533,0.0024390243902439024,-0.09215265551327474,0.8461978730231149,-1.75070048663858,1.5663951756120305,0.9132802064898873,0.8572901049475262,0.9132802064898874,not distinguishable,True
Iranian Revolution,20-35,Administration & Law,Religion,Administration & Law + Religion,1271,410,1,2.3253205183544834,-0.9134520425625917,-2.7613773160942006,0.47627296152999127,1.0195515176775802,0.4757621189405297,0.0024390243902439024,-0.5926661234926952,0.8387370884359205,-2.2365908168270994,1.0512585698417092,0.4798043449525611,0.6660669665167416,0.6297432027502364,not distinguishable,True
Iranian Revolution,20-35,Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,1271,410,7,18.32107208082002,-1.3273863080908137,-2.647381491711092,-0.643358926317961,0.5039693157602678,0.02448775612193903,0.01707317073170732,-2.4482141790331973,0.39265499280016175,-3.2178179649215144,-1.6786103931448801,4.517024020708062e-10,0.05142428785607197,3.161916814495643e-09,not distinguishable,True
Iranian Revolution,20-35,Military,Business,Military + Business,1271,410,0,3.5196159967100473,-3.0070576839654737,-3.4011005233999874,-2.549844430935979,0.2220009388402007,0.0004997501249375312,0.0,-2.7205125634389486,1.4225854602390922,-5.508780065507569,0.06775493862967208,0.05582850020292008,0.0017491254372813594,0.11723985042613216,dissociated,True
Iranian Revolution,20-35,Military,Nobility & Kinship,Military + Nobility & Kinship,1271,410,1,1.0979574576120517,-0.09126649921612577,-1.9362939654639537,1.2698682361728981,1.0146929471444854,0.8900549725137431,0.0024390243902439024,-0.1722018204529467,0.8455205322896496,-1.82942206374066,1.4850184228347665,0.8386163289025313,0.9140429785107446,0.8911799729999019,not distinguishable,True
Iranian Revolution,20-35,Military,Religion,Military + Religion,1271,410,2,1.7503524296661497,0.15177713401604878,-2.2168337476535354,1.3170016007485592,0.9565508365554188,0.8445777111444278,0.004878048780487805,-0.1259780351532165,0.660529747512964,-1.4206163402786258,1.1686602699721929,0.8487428314284781,0.9140429785107446,0.8911799729999019,not distinguishable,True
Iranian Revolution,20-35,Military,Learning & Culture,Military + Learning & Culture,1271,410,5,13.790930229887271,-1.3775963041159929,-2.9713956501879353,-0.5575280923474792,0.6247716384962884,0.03548225887056472,0.012195121951219513,-2.8906431391485787,0.4481096104114946,-3.768937975555108,-2.0123483027420495,1.1129785396586314e-10,0.06773885784380539,1.168627466641563e-09,not distinguishable,True
Iranian Revolution,20-35,Business,Nobility & Kinship,Business + Nobility & Kinship,1271,410,0,2.156730160900759,-2.409651703440143,-2.8594583059197203,-1.859977508070565,0.256031557969246,0.0004997501249375312,0.0,-1.8947340673503092,1.4286622130189888,-4.694912004867527,0.9054438701669085,0.18476366868178495,0.0017491254372813594,0.27714550302267743,dissociated,True
Iranian Revolution,20-35,Business,Religion,Business + Religion,1271,410,0,3.4382369290311505,-2.97754990810489,-3.3968621410432798,-2.5019485729965254,0.22992878553522375,0.0004997501249375312,0.0,-2.3837912517196544,1.4244813113147334,-5.175774621896532,0.40819211845722325,0.09423970828040648,0.0017491254372813594,0.17991217035350326,dissociated,True
Iranian Revolution,20-35,Business,Learning & Culture,Business + Learning & Culture,1271,410,61,27.089679083162906,1.156457734761854,0.922608687054494,1.3858667597637955,0.11812569302564387,0.0004997501249375312,0.14878048780487804,-0.2668436532286465,0.19291267194089215,-0.6449524902327951,0.1112651837755021,0.16659267266894406,0.0017491254372813594,0.26911124046521734,associated,False
Iranian Revolution,20-35,Nobility & Kinship,Religion,Nobility & Kinship + Religion,1271,410,1,1.072570951147971,-0.06816260926743575,-1.9075756240587494,1.308335192128988,0.9978192975587262,0.9140429785107447,0.0024390243902439024,0.16873405145895065,0.8488196806950924,-1.4949525227034304,1.8324206256213316,0.8424296110694127,0.9140429785107446,0.8911799729999019,not distinguishable,True
Iranian Revolution,20-35,Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,1271,410,12,8.45072735249482,0.48185126659334615,-0.23412051443092446,0.9784512505092571,0.309855902977336,0.10994502748625687,0.02926829268292683,-0.7731513889360891,0.3668691598966307,-1.4922149423334852,-0.05408783553869301,0.03508024901879914,0.1924037981009495,0.08185391437719798,not distinguishable,False
Iranian Revolution,20-35,Religion,Learning & Culture,Religion + Learning & Culture,1271,410,10,13.472062192697418,-0.4121556417187218,-1.3168693089166734,0.16691876241800274,0.38747914600492644,0.2493753123438281,0.024390243902439025,-1.7224236736186613,0.35116611642335305,-2.4107092618084334,-1.0341380854288893,9.348988188983424e-07,0.37406296851574217,3.926575039373038e-06,not distinguishable,False
Iranian Revolution,36-55,Politics,Administration & Law,Politics + Administration & Law,810,250,16,8.596289538018661,0.8591159429190144,0.29620216345499384,1.2906073635925503,0.25110396708005,0.0029985007496251873,0.064,1.2824537675872614,0.3467835965002385,0.6027579184467939,1.9621496167277288,0.00021718638612808495,0.008995502248875561,0.0007601523514482973,associated,False
Iranian Revolution,36-55,Politics,Military,Politics + Military,810,250,10,4.054211652139116,1.2051160820297433,0.535893480480303,1.6545865359684382,0.28652803108457203,0.0024987506246876563,0.04,1.0265148868127,0.40969489857550523,0.22351288560470983,1.8295168880206902,0.012225787561671976,0.008745627186406797,0.03209269234938894,associated,False
Iranian Revolution,36-55,Politics,Business,Politics + Business,810,250,10,16.883315782777924,-0.7273139675584483,-1.6512570129806525,-0.15219949051189696,0.3914939795604446,0.06696651674162919,0.04,-0.46260843485029707,0.3452703993986848,-1.1393384176717194,0.2141215479711252,0.18029610334815493,0.15625520573046814,0.31551818085927114,not distinguishable,False
Iranian Revolution,36-55,Politics,Nobility & Kinship,Politics + Nobility & Kinship,810,250,4,4.609023333438816,-0.18312252324804823,-1.8364189744648096,0.6958401949622754,0.6692768539935066,0.7571214392803598,0.016,-0.19587068624611925,0.5259273826296008,-1.2266883562001367,0.8349469837078982,0.7095733564012262,0.816591704147926,0.7743635699588571,not distinguishable,True
Iranian Revolution,36-55,Politics,Religion,Politics + Religion,810,250,30,22.258924827202122,0.4223768389459018,0.0734999082307365,0.7200561079356748,0.16291448267654865,0.01199400299850075,0.12,1.016079061196445,0.24929979127177107,0.5274514703037737,1.5047066520891161,4.5869883601466826e-05,0.031484257871064465,0.0003210891852102678,associated,False
Iranian Revolution,36-55,Politics,Learning & Culture,Politics + Learning & Culture,810,250,65,78.59823487390044,-0.2721505937738456,-0.4364803325592793,-0.13967243024654372,0.07454336548389265,0.0014992503748125937,0.26,-1.4140904241999057,0.1824572008905698,-1.7717065379454224,-1.056474310454389,9.170585970539569e-15,0.006296851574212893,1.9258230538133095e-13,dissociated,False
Iranian Revolution,36-55,Administration & Law,Military,Administration & Law + Military,810,250,1,0.7185658053137621,0.2997783387560237,-1.5545916334764984,1.593562892364135,0.9772065210948387,0.7011494252873564,0.004,0.28790387571319825,0.8589523691294008,-1.3956427677804273,1.9714505192068237,0.7374891142465306,0.816591704147926,0.7743635699588571,not distinguishable,True
Iranian Revolution,36-55,Administration & Law,Business,Administration & Law + Business,810,250,0,2.9923877791178723,-2.804213758265726,-3.261232944835141,-2.233143843461921,0.2593963165007592,0.0004997501249375312,0.0,-2.0053198820522056,1.42940475156824,-4.806953195125956,0.7963134310215447,0.16064500088672995,0.002623688155922039,0.3066859107837572,dissociated,True
Iranian Revolution,36-55,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,810,250,1,0.8169002626083763,0.18781641563472765,-1.7162846460678196,1.4666434100618733,0.98405259975339,0.7906046976511744,0.004,0.28790387571319825,0.8589523691294008,-1.3956427677804273,1.9714505192068237,0.7374891142465306,0.816591704147926,0.7743635699588571,not distinguishable,True
Iranian Revolution,36-55,Administration & Law,Religion,Administration & Law + Religion,810,250,1,3.9451571886825,-1.5672719355044378,-3.413764219961303,-0.18112691471859263,0.9972314869354244,0.14592703648175911,0.004,-0.9510903270219918,0.8425109608619348,-2.602411810311384,0.7002311562674003,0.2589501846807696,0.2357282897013032,0.3398721173935101,not distinguishable,True
Iranian Revolution,36-55,Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,810,250,12,13.930699426756647,-0.20721313114128778,-0.9442087814995918,0.29195504305402525,0.30799290810564434,0.4827586206896552,0.048,-1.383977796655396,0.3584314034173532,-2.0865033473534083,-0.6814522459573839,0.00011282832132586858,0.6631371814092955,0.0005923486869608101,not distinguishable,False
Iranian Revolution,36-55,Military,Business,Military + Business,810,250,0,1.4112802213284446,-1.93453931378541,-2.467335827651458,-1.2796694823375638,0.3047083182051688,0.0004997501249375312,0.0,-1.6603311268003111,1.4332566543446816,-4.469514169315887,1.1488519157152648,0.24668757202050684,0.002623688155922039,0.3398721173935101,dissociated,True
Iranian Revolution,36-55,Military,Nobility & Kinship,Military + Nobility & Kinship,810,250,2,0.38526931284189064,1.4977397772954464,-0.8356933282072232,2.545547445088349,0.9214180580816936,0.13793103448275862,0.008,1.2388923980554951,0.697436633959358,-0.12808340450484645,2.605868200615837,0.07567504999171107,0.2357282897013032,0.15891760498259325,not distinguishable,True
Iranian Revolution,36-55,Military,Religion,Military + Religion,810,250,0,1.860628608789685,-2.23917108417416,-2.7689741580689433,-1.5268767299385129,0.31491141705939013,0.0004997501249375312,0.0,-1.7472594522600298,1.4329025545352803,-4.555748459149179,1.0612295546291193,0.22269821408323498,0.002623688155922039,0.33726510395977477,dissociated,True
Iranian Revolution,36-55,Military,Learning & Culture,Military + Learning & Culture,810,250,2,6.570044399809965,-1.4997911802865649,-3.934983024111443,-0.35464666717982996,0.9303608543117874,0.13243378310844578,0.008,-3.0121956037410924,0.66965498689613,-4.324719378057507,-1.6996718294246775,6.855357533798e-06,0.2357282897013032,7.1981254104879e-05,not distinguishable,True
Iranian Revolution,36-55,Business,Nobility & Kinship,Business + Nobility & Kinship,810,250,2,1.6044114190958618,0.2485113112339202,-2.083469284635344,1.2992880746528352,0.9094305878551295,0.7476261869065467,0.008,0.061175858394001824,0.6767117448377395,-1.2651791614879677,1.3875308782759714,0.9279680454519826,0.816591704147926,0.9279680454519825,not distinguishable,True
Iranian Revolution,36-55,Business,Religion,Business + Religion,810,250,2,7.748381942539269,-1.722183043571499,-4.127197915339704,-0.5873464038767802,0.9375970920494917,0.12143928035982009,0.008,-1.2106875302227282,0.654525205270568,-2.493556932553042,0.07218187210758509,0.06435409978377801,0.2357282897013032,0.1501595661621487,not distinguishable,True
Iranian Revolution,36-55,Business,Learning & Culture,Business + Learning & Culture,810,250,44,27.360222856233122,0.6755985378564365,0.45263301401794026,0.9143042080982553,0.12024227777939421,0.0004997501249375312,0.176,-0.3034667175660844,0.250024178847872,-0.7935141081079135,0.18658067297574465,0.2248434026398498,0.002623688155922039,0.33726510395977477,associated,False
Iranian Revolution,36-55,Nobility & Kinship,Religion,Nobility & Kinship + Religion,810,250,1,2.1152523372208973,-0.801987653435138,-2.7222396002674762,0.5182580145942249,0.9963059187439742,0.5052473763118441,0.004,-0.5945690047134871,0.849491185511834,-2.259571728316682,1.0704337188897075,0.4839823142366151,0.6631371814092955,0.5978605058217009,not distinguishable,True
Iranian Revolution,36-55,Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,810,250,7,7.4691433350490675,-0.08753405047641256,-1.1394613238521356,0.53230472341069,0.4353294458788988,0.816591704147926,0.028,-1.6450867860943565,0.4395567026394095,-2.506617923267599,-0.783555648921114,0.00018212293211053435,0.816591704147926,0.0007601523514482973,not distinguishable,True
Iranian Revolution,36-55,Religion,Learning & Culture,Religion + Learning & Culture,810,250,40,36.071655097135555,0.1471959888269405,-0.10507378459215255,0.3692441541933499,0.1205930396198122,0.2178910544727636,0.16,-0.7397160708557798,0.23729915927308526,-1.204822423031027,-0.27460971868053274,0.001825590516550557,0.3268365817091454,0.0054767715496516715,not distinguishable,False
Iranian Revolution,56+,Politics,Administration & Law,Politics + Administration & Law,351,156,23,12.108899825267224,0.8982183562926144,0.5496907370974331,1.257122004045945,0.17955480363971243,0.0004997501249375312,0.14743589743589744,1.3000947779142893,0.3556094234833503,0.6031003078869227,1.997089247941656,0.0002562186394755334,0.0017491254372813594,0.0013451478572465503,associated,False
Iranian Revolution,56+,Politics,Military,Politics + Military,351,156,10,5.204361597621027,0.8802519861302172,0.27403468621749894,1.3283285387954011,0.2663945502203019,0.006496751624187906,0.0641025641025641,1.2063934759284194,0.5124760289155981,0.20194045925384718,2.2108464926029914,0.018570183207501596,0.01705397301349325,0.05795776500781408,associated,False
Iranian Revolution,56+,Politics,Business,Politics + Business,351,156,3,9.17681868583748,-1.467177908446013,-4.029992364602948,-0.46650709198148926,0.8084113247688223,0.05897051474262868,0.019230769230769232,-1.3638623808222126,0.5830184099165023,-2.506578464258557,-0.221146297385868,0.01931925500260469,0.12383808095952023,0.05795776500781408,not distinguishable,True
Iranian Revolution,56+,Politics,Nobility & Kinship,Politics + Nobility & Kinship,351,156,13,10.416883515997194,0.3063983438497759,-0.29798133030219903,0.7571614346413756,0.2751815743745189,0.248375812093953,0.08333333333333333,-0.012299620296185105,0.3550242379110005,-0.7081471266017462,0.6835478860093759,0.9723632549024092,0.4012224656902318,0.9723632549024092,not distinguishable,False
Iranian Revolution,56+,Politics,Religion,Politics + Religion,351,156,9,13.408878129704927,-0.5500066402899177,-1.413618732775382,0.033065563130410244,0.3797447431655971,0.1294352823588206,0.057692307692307696,-0.6341495649403803,0.38738829821213433,-1.3934306294361636,0.12513149955540293,0.10163320919641136,0.22651174412793604,0.23714415479162654,not distinguishable,True
Iranian Revolution,56+,Politics,Learning & Culture,Politics + Learning & Culture,351,156,37,44.68415823983168,-0.2689264505968501,-0.5157697584596431,-0.07013915101509599,0.11206823185659372,0.019490254872563718,0.23717948717948717,-1.9275375985852263,0.2493044648852683,-2.416174349760352,-1.4389008474101004,1.0615234564754276e-14,0.04547726136931534,2.2291992585983981e-13,dissociated,False
Iranian Revolution,56+,Administration & Law,Military,Administration & Law + Military,351,156,0,1.1860877233723133,-1.7536795984282056,-2.284471295529534,-1.075948453487412,0.3005173347753654,0.0004997501249375312,0.0,-1.4220785616101885,1.4458986171322046,-4.25603985118931,1.4118827279689325,0.32534873484436533,0.0017491254372813594,0.4554882287821114,dissociated,True
Iranian Revolution,56+,Administration & Law,Business,Administration & Law + Business,351,156,0,2.0914211625612094,-2.3737435040401644,-2.920967224931538,-1.718085020223729,0.30185406409513366,0.0004997501249375312,0.0,-1.9704512579714308,1.4375355870029334,-4.78802100849718,0.8471184925543185,0.17046388947046132,0.0017491254372813594,0.32360396637731786,dissociated,True
Iranian Revolution,56+,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,351,156,1,2.3740352053499616,-0.9381152334028068,-2.818068993981052,0.4341504002299926,0.971858353732573,0.44377811094452774,0.00641025641025641,-1.2202945728116303,0.8506788991403831,-2.887625215126781,0.4470360695035205,0.1514310732284012,0.578446071082106,0.3180052537796425,not distinguishable,True
Iranian Revolution,56+,Administration & Law,Religion,Administration & Law + Religion,351,156,2,3.055918662744047,-0.5082942297871113,-2.8687878233187094,0.6137597311239257,0.939569399278423,0.5417291354322838,0.01282051282051282,-0.710955007921322,0.6761029757707367,-2.036116840431966,0.614206824589322,0.29300678867518215,0.6320173246709978,0.4395101830127732,not distinguishable,True
Iranian Revolution,56+,Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,351,156,5,10.183637420911866,-0.9578993962791401,-2.6024270368852562,-0.1849889927808154,0.6058978808737074,0.09095452273863068,0.03205128205128205,-2.448286053186643,0.4762071471728026,-3.3816520616453363,-1.5149200447279498,2.729591578534896e-07,0.1736404525010222,2.866071157461641e-06,not distinguishable,True
Iranian Revolution,56+,Military,Business,Military + Business,351,156,1,0.8988852942835602,0.10068483139419665,-1.751169407552119,1.3708003475434316,0.9759854841097834,0.9105447276361819,0.00641025641025641,0.12243844331543768,0.8787204689354438,-1.599853675798032,1.8447305624289074,0.8891837009978715,0.9105447276361819,0.933642886047765,not distinguishable,True
Iranian Revolution,56+,Military,Nobility & Kinship,Military + Nobility & Kinship,351,156,2,1.0203517935082946,0.7175229080430741,-1.6353495571998207,1.7814196188025626,0.8878204800385063,0.33033483258370816,0.01282051282051282,0.31657108230391806,0.7063867691712097,-1.067946985271653,1.7010891498794891,0.654041010048206,0.48555722138930535,0.8518682834723021,not distinguishable,True
Iranian Revolution,56+,Military,Religion,Military + Religion,351,156,1,1.313422851236408,-0.27375286906667007,-2.1554249483519277,1.0536895441457177,0.9817227953918559,0.7666166916541729,0.00641025641025641,-0.3480080530833771,0.8713542611809902,-2.055862404998118,1.3598462988313638,0.6896076580490065,0.8049475262368816,0.8518682834723021,not distinguishable,True
Iranian Revolution,56+,Military,Learning & Culture,Military + Learning & Culture,351,156,0,4.376890740057018,-3.285961651163278,-3.8157091530845366,-2.454122578829262,0.3402865129891013,0.0004997501249375312,0.0,-4.052033364150378,1.4399490152993604,-6.8743334341371245,-1.2297332941636316,0.004892744886038427,0.0017491254372813594,0.020549528521361392,dissociated,True
Iranian Revolution,56+,Business,Nobility & Kinship,Business + Nobility & Kinship,351,156,3,1.7991800202881572,0.6062354920131634,-1.8900217029149802,1.552227922943368,0.7794049302149587,0.3468265867066467,0.019230769230769232,0.12147267630439522,0.5978244533514303,-1.0502632522644082,1.2932086048731986,0.8389855799822632,0.48555722138930535,0.933642886047765,not distinguishable,True
