revolution,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell,birth_cohort_start,birth_cohort_end,overlaps_window
Iranian Revolution,Politics,Administration & Law,Politics + Administration & Law,421,204,41,25.982222464886647,0.6480871340831585,0.4304735523616608,0.9054808307010995,0.12264051775783756,0.0004997501249375312,0.20098039215686275,1.226449286973485,0.29107873268669515,0.6559349709075626,1.7969636030394076,2.5148550169602754e-05,0.0014992503748125937,0.00013202988839041446,associated,False,1880,1919,True
Iranian Revolution,Politics,Military,Politics + Military,421,204,16,8.449538175550646,0.8825808826836169,0.5231740061633836,1.2016559955966424,0.17620609768282106,0.0009995002498750624,0.0784313725490196,1.194966854990341,0.4520888759528934,0.30887265812266995,2.081061051858012,0.008212353675011835,0.002623688155922039,0.021557428396906067,associated,False,1880,1919,True
Iranian Revolution,Politics,Business,Politics + Business,421,204,5,11.254155746639633,-1.0956673960255834,-2.611421190495247,-0.31793785196956764,0.5923727271754812,0.059470264867566215,0.024509803921568627,-1.2722430671643363,0.4810547197754306,-2.2151103179241804,-0.3293758164044924,0.008176455207465289,0.09606735093991466,0.021557428396906067,not distinguishable,True,1880,1919,True
Iranian Revolution,Politics,Nobility & Kinship,Politics + Nobility & Kinship,421,204,17,15.110261702393139,0.16486019809348473,-0.331110829054707,0.5600019677051803,0.22624683413352317,0.4452773613193403,0.08333333333333333,-0.12638748454516652,0.32306570605298573,-0.7595962684090185,0.5068212993186856,0.6956398445656699,0.6233883058470764,0.7688650913620562,not distinguishable,False,1880,1919,True
Iranian Revolution,Politics,Religion,Politics + Religion,421,204,9,16.096651795950446,-0.8048928034623034,-1.8126792465769284,-0.2157684248400387,0.4082059583083298,0.05247376311844078,0.04411764705882353,-1.111530118280013,0.37870439395251737,-1.853790730426947,-0.36926950613307896,0.003334548191934224,0.09182908545727136,0.011670918671769783,not distinguishable,True,1880,1919,True
Iranian Revolution,Politics,Learning & Culture,Politics + Learning & Culture,421,204,49,60.10717010557563,-0.292059956028172,-0.492276516149292,-0.14181650998952222,0.09198035262340329,0.0024987506246876563,0.24019607843137256,-2.1536811950072905,0.2259549012927357,-2.5965528015410526,-1.7108095884735284,1.5507933067485099e-21,0.005830418124271198,3.2566659441718707e-20,dissociated,False,1880,1919,True
Iranian Revolution,Administration & Law,Military,Administration & Law + Military,421,204,0,2.132426771302529,-2.396393399000996,-2.881028009734348,-1.7957495073655374,0.2769673290389157,0.0004997501249375312,0.0,-2.1476192662099463,1.4358886854676272,-4.961961089726495,0.6667225573066031,0.1347390115552969,0.0014992503748125937,0.24155593588148822,dissociated,True,1880,1919,True
Iranian Revolution,Administration & Law,Business,Administration & Law + Business,421,204,0,2.840233691349479,-2.7399490408900276,-3.2422319445212446,-2.161394730363869,0.27583784322546656,0.0004997501249375312,0.0,-2.4293043796940426,1.4325057648944024,-5.237015678887071,0.3784069194989863,0.08991568203830815,0.0014992503748125937,0.1888229322804471,dissociated,True,1880,1919,True
Iranian Revolution,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,421,204,2,3.8134068284117335,-0.78689969854477,-3.193001224158741,0.28962057740541586,0.933538451163233,0.3078460769615192,0.00980392156862745,-1.1555671815955821,0.6659398260197488,-2.4608092405942896,0.14967487740312535,0.08269783687935787,0.46176911544227883,0.1888229322804471,not distinguishable,True,1880,1919,True
Iranian Revolution,Administration & Law,Religion,Administration & Law + Religion,421,204,3,4.062344060098024,-0.38242032667052495,-3.000132808150433,0.591467937502608,0.8485158448614485,0.5902048975512244,0.014705882352941176,-0.8021453866605959,0.5740012473840457,-1.9271878315333253,0.32289705821213355,0.16227444763893373,0.774643928035982,0.24341167145840062,not distinguishable,True,1880,1919,True
Iranian Revolution,Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,421,204,8,15.16936618515385,-0.8824120786275683,-2.026355360397975,-0.2536108684525849,0.4603690717970998,0.05147426286856572,0.0392156862745098,-2.4205144827923863,0.3852016481769382,-3.175509713219185,-1.6655192523655875,3.3048201785091697e-10,0.09182908545727136,3.4700611874346284e-09,not distinguishable,True,1880,1919,True
Iranian Revolution,Military,Business,Military + Business,421,204,1,0.9236570518544074,0.07536084681660497,-1.7986896618633008,1.42619600915214,0.9956831762376334,0.9100449775112444,0.004901960784313725,-0.18028972405972774,0.864705600850214,-1.875112701726147,1.5145332536066918,0.8348398410026949,0.9475262368815593,0.8765818330528298,not distinguishable,True,1880,1919,True
