birth_century,n_classified,n_crossing,crossing_rate
800,747,88,0.11780455153949129
900,1050,99,0.09428571428571429
1000,1228,112,0.09120521172638436
1100,1861,188,0.10102095647501344
1200,2539,276,0.10870421425758173
1300,3279,438,0.13357731015553523
1400,8225,1371,0.1666869300911854
1500,21953,3717,0.16931626656948937
1600,32260,5638,0.17476751394916304
1700,87045,21538,0.2474352346487449
1800,364680,83905,0.23007842492047823
1900,952526,151627,0.15918410626061652
