pair,n_points,assoc_first,assoc_last,slope_per_century,slope_se,slope_ci_low,slope_ci_high,p_value,q_value,trend
Economic + Security,11,0.09298734864754414,-0.21444600555796242,-0.076096398299192,0.05972991207178053,-0.19316702595988183,0.04097422936149783,0.23457421629904063,0.46914843259808126,flat
Ideational + Economic,11,0.28766331394593436,0.22597261149207953,-0.10893817307668126,0.06289636510736757,-0.23221504868712167,0.01433870253375917,0.11731127396575962,0.35193382189727884,flat
Ideational + Security,11,-0.6243411784435777,-0.5198154385007366,0.19411436555609532,0.09869235071254548,0.0006773581595061751,0.3875513729526845,0.08074846584958822,0.35193382189727884,flat
Political + Economic,11,-0.22070395562326686,-0.1288106164089308,0.029131625353525252,0.03745573364741461,-0.044281612595407395,0.1025448633024579,0.45666723883029564,0.6850008582454434,flat
Political + Ideational,11,0.004747487400503781,-0.03393735240509378,-0.006568783155444597,0.01295582303279992,-0.031962196299732445,0.01882462998884325,0.6243338853966033,0.749200662475924,flat
Political + Security,11,0.25932791009075706,0.35477674574299467,0.001035127926897818,0.026981380363436287,-0.051848377585437304,0.05391863343923294,0.9702345603818181,0.9702345603818182,flat
