birth_century,n_classified,n_crossing,crossing_rate
800,673,77,0.11441307578008915
900,916,81,0.08842794759825327
1000,1130,98,0.08672566371681416
1100,1611,155,0.09621353196772191
1200,2192,212,0.09671532846715329
1300,2832,354,0.125
1400,6562,1044,0.15909783602560196
1500,17683,2799,0.15828762087881015
1600,25166,4160,0.16530239211634745
1700,71987,16518,0.22945809660077515
1800,278460,60384,0.21684981684981686
1900,539085,101961,0.18913714905812626
