birth_century,n_classified,n_crossing,crossing_rate
800,747,164,0.21954484605087016
900,1050,185,0.1761904761904762
1000,1228,254,0.20684039087947884
1100,1861,382,0.20526598602901666
1200,2539,505,0.1988972036234738
1300,3279,709,0.21622445867642573
1400,8225,2136,0.25969604863221885
1500,21953,5772,0.2629253405001594
1600,32260,8332,0.2582765034097954
1700,87045,26862,0.308599000516974
1800,364680,108480,0.2974662717999342
1900,952526,219300,0.23022993598075014
