spec,spec_short,period,pair,n_pair,assoc_log2,assoc_ci_low,assoc_ci_high,q_value
main,main,Pre-1000,Political + Ideational,342,-0.11379302899258588,-0.1612965159144103,-0.07324136173390804,0.0005997001499250374
main,main,Pre-1000,Political + Economic,31,-1.790088032679374,-2.291167699126032,-1.4096932198282748,0.0005997001499250374
main,main,Pre-1000,Political + Security,585,0.2867763581888473,0.23511104571107594,0.3424341677145775,0.0005997001499250374
main,main,Pre-1000,Ideational + Economic,145,1.8646472842999997,1.6991083700377394,2.0159259888900127,0.0005997001499250374
main,main,Pre-1000,Ideational + Security,97,-0.8433723719037178,-1.0445763896146711,-0.6666289861758249,0.0005997001499250374
main,main,Pre-1000,Economic + Security,23,-1.134955460712616,-1.7582241161038183,-0.6672766025866236,0.0014992503748125937
main,main,1000-1399,Political + Ideational,482,0.012800678292483285,-0.02008685583838115,0.045320188368058546,0.4527736131934033
main,main,1000-1399,Political + Economic,97,-0.5122507040773888,-0.713635362360826,-0.34509599877008074,0.0007496251874062968
main,main,1000-1399,Political + Security,147,0.4205842295246051,0.2831595628140699,0.5466603968718561,0.0007496251874062968
main,main,1000-1399,Ideational + Economic,206,0.2874079794854084,0.18493266392757185,0.3836231825693736,0.0007496251874062968
main,main,1000-1399,Ideational + Security,92,-0.5353715475472482,-0.7506423065627602,-0.3633007423055637,0.0007496251874062968
main,main,1000-1399,Economic + Security,43,0.14877004399301955,-0.26735576097996866,0.4758997196985494,0.4527736131934033
main,main,1400-1599,Political + Ideational,2007,0.015516402756401693,-0.002882076660662479,0.03358254869941536,0.09795102448775612
main,main,1400-1599,Political + Economic,666,-0.46762169699150813,-0.5291081750409905,-0.40949027838631524,0.0007496251874062968
main,main,1400-1599,Political + Security,636,0.6600236698034352,0.5846293380226554,0.7280539585149787,0.0007496251874062968
main,main,1400-1599,Ideational + Economic,1475,0.2487473527303786,0.21698560250114385,0.28261838460224076,0.0007496251874062968
main,main,1400-1599,Ideational + Security,287,-0.9164729125264282,-1.049868683273579,-0.7936881559741367,0.0007496251874062968
main,main,1400-1599,Economic + Security,273,0.11797554638804818,-0.022428972610017306,0.2445873631337583,0.09415292353823089
main,main,1600-1799,Political + Ideational,7084,-0.18666682372591717,-0.19930069402662953,-0.173711942382633,0.0004997501249375312
main,main,1600-1799,Political + Economic,4318,-0.4175795353787442,-0.4418536130947867,-0.39466217521315766,0.0004997501249375312
main,main,1600-1799,Political + Security,6775,0.6402226125252591,0.6192870531890259,0.661223903394095,0.0004997501249375312
main,main,1600-1799,Ideational + Economic,6638,0.6569495983052905,0.6368233323226434,0.6788586461659364,0.0004997501249375312
main,main,1600-1799,Ideational + Security,1723,-0.8805765006224479,-0.9356479132178593,-0.8267207064460553,0.0004997501249375312
main,main,1600-1799,Economic + Security,1291,-0.8137019748022787,-0.881658312808639,-0.7495438500709691,0.0004997501249375312
main,main,1800-1899,Political + Ideational,27056,-0.062278613490342125,-0.06780631635864796,-0.0570016273354581,0.0004997501249375312
main,main,1800-1899,Political + Economic,19955,-0.05679475274477981,-0.06487863400895971,-0.04853295473299891,0.0004997501249375312
main,main,1800-1899,Political + Security,9758,0.3299181857071993,0.31274020858221313,0.34761795581009663,0.0004997501249375312
main,main,1800-1899,Ideational + Economic,19722,0.15383844526498494,0.14517463833643438,0.1625350789910697,0.0004997501249375312
main,main,1800-1899,Ideational + Security,5829,-0.18580182191619418,-0.21311654179021491,-0.15749644981591254,0.0004997501249375312
main,main,1800-1899,Economic + Security,3678,-0.4054137741167531,-0.4452660796953572,-0.3678858889970745,0.0004997501249375312
main,main,1900-2020,Political + Ideational,59169,-0.034947343132918626,-0.037710124834230016,-0.03224266080761774,0.0004997501249375312
main,main,1900-2020,Political + Economic,26589,-0.14828886490686344,-0.155600411251571,-0.14072601410136448,0.0004997501249375312
main,main,1900-2020,Political + Security,11676,0.668327320803541,0.6501665950356749,0.6861631901767432,0.0004997501249375312
main,main,1900-2020,Ideational + Economic,49470,0.1321214120675506,0.12769987740705108,0.1367314222186027,0.0004997501249375312
