period_type,period,domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
halfcentury,1400,Political,Ideational,Political + Ideational,2750,406,196,198.8622469852024,-0.020862921505016202,-0.05620859662956667,0.015237676668501043,0.018764218718593594,0.2673663168415792,0.4827586206896552,-4.112094492948607,0.13736041230716214,-4.381320901070645,-3.8428680848265695,6.588203128687287e-197,0.320839580209895,3.952921877212372e-196,not distinguishable
halfcentury,1400,Political,Economic,Political + Economic,2750,406,47,57.540412750924865,-0.2891302656370726,-0.5230377743285188,-0.09373629624107468,0.11101219551787461,0.013993003498250875,0.11576354679802955,-0.9103162820169447,0.16279809416442542,-1.2294005465792186,-0.5912320174546708,2.248715778134663e-08,0.024737631184407798,2.698458933761596e-08,dissociated
halfcentury,1400,Political,Security,Political + Security,2750,406,44,30.597340284815438,0.5170141422825092,0.2543458651857986,0.76972152859067,0.13129685757825513,0.0009995002498750624,0.10837438423645321,-0.971812456665551,0.1671506661100656,-1.2994277622412795,-0.6441971510898226,6.100072086629185e-09,0.004497751124437781,9.150108129943778e-09,associated
halfcentury,1400,Ideational,Economic,Ideational + Economic,2750,406,84,70.59734026315448,0.24915575146476485,0.11060123706712519,0.3923637732623537,0.07139796354513861,0.0014992503748125937,0.20689655172413793,-2.781208430139044,0.13744235771646932,-3.0505954512633235,-2.511821409014764,4.772167254578501e-91,0.004497751124437781,9.544334509157002e-91,associated
halfcentury,1400,Ideational,Security,Ideational + Security,2750,406,27,37.54041272844223,-0.4681012805066742,-0.887646674602001,-0.1452331454334585,0.19056851195975347,0.01649175412293853,0.0665024630541872,-4.2647022464250535,0.2077452013390813,-4.671882841049653,-3.8575216518004543,1.1975880248319569e-93,0.024737631184407798,3.5927640744958704e-93,dissociated
halfcentury,1400,Economic,Security,Economic + Security,2750,406,8,10.862246987460493,-0.4187134227318642,-1.6237376204965932,0.2638066545071843,0.4847172141127917,0.33483258370814595,0.019704433497536946,-1.8021805007190836,0.3524542750037943,-2.4929908797265203,-1.111370121711647,3.166928376240866e-07,0.334832583708146,3.166928376240866e-07,not distinguishable
halfcentury,1450,Political,Ideational,Political + Ideational,5385,917,381,366.312378176566,0.056640733195994976,0.014552220153758849,0.09920479220694828,0.02161416938945001,0.0069965017491254375,0.4154852780806979,-10.014149971195696,1.4155589782345086,-12.788645568535333,-7.239654373856059,1.5015828981468923e-12,0.0069965017491254375,2.2523743472203384e-12,associated
halfcentury,1450,Political,Economic,Political + Economic,5385,917,127,161.89814406732773,-0.3490378979995327,-0.48162448218381554,-0.23176477552123562,0.06552206702693887,0.0004997501249375312,0.13849509269356597,-0.7441380130568823,0.10203649044530178,-0.9441295343296738,-0.5441464917840908,3.0343954313061167e-13,0.0014992503748125937,6.068790862612233e-13,dissociated
halfcentury,1450,Political,Security,Political + Security,5385,917,81,60.78947779114314,0.4111606467905714,0.18948539814261586,0.6053371200960201,0.10573554087816578,0.0009995002498750624,0.08833151581243184,-0.7322574864657503,0.12486972241622839,-0.9770021424015579,-0.48751283052994265,4.513803453699475e-09,0.0014992503748125937,5.41656414443937e-09,associated
halfcentury,1450,Ideational,Economic,Ideational + Economic,5385,917,233,212.78947775427392,0.13060975521833884,0.05667152533452694,0.2068754536367148,0.038538302998065176,0.0009995002498750624,0.25408942202835333,-3.0581118709145914,0.09206442740547296,-3.2385581486293185,-2.8776655931998643,6.101160007434419e-242,0.0014992503748125937,3.660696004460652e-241,associated
