period_type,period,domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
era,Pre-1000,Political,Ideational,Political + Ideational,7374,1186,360,383.4263907814306,-0.09083047378696661,-0.12368365240874654,-0.061808048010278366,0.016043923216649537,0.0004997501249375312,0.30354131534569984,-11.064123826116603,1.4154182566979177,-13.838343609244522,-8.289904042988685,5.415804711051634e-15,0.0005997001499250374,1.62474141331549e-14,dissociated
era,Pre-1000,Political,Economic,Political + Economic,7374,1186,13,72.79545967380255,-2.440764425339925,-3.346029578195934,-1.8404157401396406,0.3861057296978182,0.0004997501249375312,0.010961214165261383,-2.0120522148897395,0.28361232758979626,-2.5679323769657403,-1.4561720528137387,1.2993733014284652e-12,0.0005997001499250374,2.598746602856931e-12,dissociated
era,Pre-1000,Political,Security,Political + Security,7374,1186,585,501.778149466423,0.22118265570501588,0.17620112157751283,0.26794755073853116,0.023342787876927406,0.0004997501249375312,0.49325463743676223,0.32392773782172857,0.06078597743118016,0.20478722205661545,0.44306825358684165,9.876157905152146e-08,0.0005997001499250374,1.481423685772822e-07,associated
era,Pre-1000,Ideational,Economic,Ideational + Economic,7374,1186,108,24.778149498537623,2.101732283496189,1.9367049981497635,2.2731595734065335,0.08632447988484672,0.0004997501249375312,0.09106239460370995,-0.6798320324079085,0.15054593015765816,-0.9749020555169184,-0.3847620092988985,6.308466114870402e-06,0.0005997001499250374,7.570159337844482e-06,associated
era,Pre-1000,Ideational,Security,Ideational + Security,7374,1186,111,170.79545974833636,-0.6194432025993528,-0.7799670803509016,-0.48391671222780125,0.07470024664438371,0.0004997501249375312,0.09359190556492411,-4.407232199601629,0.10634201177686664,-4.615662542684287,-4.198801856518971,0.0,0.0005997001499250374,0.0,dissociated
era,Pre-1000,Economic,Security,Economic + Security,7374,1186,9,32.426390831469924,-1.7932449635591245,-2.85636376900132,-1.0944811334654478,0.4597583855961129,0.00399800099950025,0.007588532883642495,-1.4872120849960255,0.3343583166691168,-2.1425543856674945,-0.8318697843245566,8.669006977213144e-06,0.00399800099950025,8.669006977213144e-06,dissociated
era,1000-1399,Political,Ideational,Political + Ideational,8907,1014,498,502.71860684541485,-0.013591763196499096,-0.03844734326887944,0.01205281332753282,0.012886082562061781,0.2928535732133933,0.4911242603550296,-10.844831621617837,1.4151642079502142,-13.618553469200258,-8.071109774035417,1.812116379126397e-14,0.3333333333333333,2.7181745686895956e-14,not distinguishable
era,1000-1399,Political,Economic,Political + Economic,8907,1014,81,106.08830674884378,-0.3871772117198161,-0.6037214154636041,-0.20156175160597223,0.1023646848066884,0.0014992503748125937,0.07988165680473373,-0.7084260388730865,0.12297569196318535,-0.9494583951209298,-0.4673936826252433,8.376592878714665e-09,0.0022488755622188904,8.89431415826888e-09,dissociated
era,1000-1399,Political,Security,Political + Security,8907,1014,147,117.19308645637686,0.3256853786014808,0.20000515451221915,0.443840976548574,0.06218755286847332,0.0004997501249375312,0.14497041420118342,-1.050304362141145,0.09146649802294447,-1.229578698266116,-0.8710300260161739,1.6071966913129814e-30,0.0009995002498750624,3.214393382625963e-30,associated
era,1000-1399,Ideational,Economic,Ideational + Economic,8907,1014,153,123.19308640376357,0.311473789798107,0.19276536571734204,0.42576932791486205,0.05963000005095806,0.0004997501249375312,0.15088757396449703,-2.7168884333535974,0.10099913254900367,-2.914846733149645,-2.51893013355755,2.1893318012410998e-159,0.0009995002498750624,6.5679954037233e-159,associated
era,1000-1399,Ideational,Security,Ideational + Security,8907,1014,111,136.08830669645425,-0.2927902698723943,-0.4446614654856207,-0.1569714438055376,0.07465603463814323,0.0004997501249375312,0.10946745562130178,-5.070772177908577,0.11079861483001649,-5.287937462975409,-4.853606892841745,0.0,0.0009995002498750624,0.0,dissociated
era,1000-1399,Economic,Security,Economic + Security,8907,1014,24,28.7186068491466,-0.2541056424747312,-0.8614627189505231,0.196468843371683,0.26929241331865594,0.3333333333333333,0.023668639053254437,-1.2035216253956855,0.20928736711509155,-1.613724864941265,-0.7933183858501061,8.89431415826888e-09,0.3333333333333333,8.89431415826888e-09,not distinguishable
era,1400-1599,Political,Ideational,Political + Ideational,30178,5088,2167,2261.7549862386745,-0.061729555973230155,-0.07497711867439023,-0.04890017693149711,0.006371789917764426,0.0004997501249375312,0.4259040880503145,-11.919035463131312,1.4144439197073797,-14.691345545757777,-9.146725380504847,3.5567682201912066e-17,0.0004997501249375312,3.5567682201912066e-17,dissociated
era,1400-1599,Political,Economic,Political + Economic,30178,5088,506,644.1321961359996,-0.34791397653171946,-0.4274561584638764,-0.2759803144187656,0.039106660154905194,0.0004997501249375312,0.0994496855345912,-0.6812829759023764,0.050852493949606656,-0.7809538640436055,-0.5816120877611474,6.275523457009514e-41,0.0004997501249375312,1.2551046914019027e-40,dissociated
era,1400-1599,Political,Security,Political + Security,30178,5088,636,403.11281785623544,0.6571885221303663,0.5882037425681799,0.7217592356467517,0.03425272192242064,0.0004997501249375312,0.125,-0.5940848531611944,0.04613613371402177,-0.684511675240677,-0.5036580310817118,6.082037124433983e-38,0.0004997501249375312,9.123055686650974e-38,associated
era,1400-1599,Ideational,Economic,Ideational + Economic,30178,5088,1219,986.1128176022673,0.3057338227627332,0.26748505561832986,0.34368834508181395,0.01926211508941855,0.0004997501249375312,0.23958333333333334,-2.6769351217956405,0.044171122261726925,-2.7635105214286253,-2.5903597221626558,0.0,0.0004997501249375312,0.0,associated
era,1400-1599,Ideational,Security,Ideational + Security,30178,5088,479,617.1321958635215,-0.3652171439720096,-0.4422842376419715,-0.2883347854130686,0.04008111093191668,0.0004997501249375312,0.09414308176100629,-5.000647855751801,0.05896270913261149,-5.116214765651719,-4.8850809458518825,0.0,0.0004997501249375312,0.0,dissociated
era,1400-1599,Economic,Security,Economic + Security,30178,5088,81,175.75498630330142,-1.1127921078822458,-1.440653636896949,-0.8340836526600307,0.15282315699599588,0.0004997501249375312,0.015919811320754717,-1.4658649490017028,0.11400550282464297,-1.689315734538003,-1.2424141634654027,7.771432619338826e-38,0.0004997501249375312,9.325719143206591e-38,dissociated
era,1600-1799,Political,Ideational,Political + Ideational,119305,27176,7601,8892.848220606862,-0.2264425428285583,-0.237325861760131,-0.21552671656429304,0.005723913674143069,0.0004997501249375312,0.2796953193994701,-13.659499647203864,1.4142729554970228,-16.431474639978028,-10.887524654429699,4.532389290140837e-22,0.0004997501249375312,4.532389290140837e-22,dissociated
era,1600-1799,Political,Economic,Political + Economic,119305,27176,3801,4802.066534986276,-0.33723681012327184,-0.36291711542141863,-0.3117044133192148,0.012785870121328025,0.0004997501249375312,0.13986605828672358,-0.9500910653355973,0.019654562565081194,-0.9886140079631565,-0.9115681227080381,0.0,0.0004997501249375312,0.0,dissociated
era,1600-1799,Political,Security,Political + Security,119305,27176,6775,4482.085243208835,0.5959963960910952,0.5758071250625669,0.6165163211933187,0.010370296855920707,0.0004997501249375312,0.24930085369443628,-0.404654958375105,0.016312260607728352,-0.4366269891662526,-0.37268292758395744,7.571753283238762e-136,0.0004997501249375312,9.086103939886515e-136,associated
era,1600-1799,Ideational,Economic,Ideational + Economic,119305,27176,5985,3692.0852442704545,0.6968405416792431,0.6751076238348145,0.7186221656266959,0.011308065177916006,0.0004997501249375312,0.22023108625257581,-1.538308489063886,0.01791232352809373,-1.5734166431789498,-1.5032003349488223,0.0,0.0004997501249375312,0.0,associated
era,1600-1799,Ideational,Security,Ideational + Security,119305,27176,2445,3446.0665360316552,-0.4950304021639597,-0.5356548040658534,-0.4570988946786053,0.019774658998019085,0.0004997501249375312,0.08996909037385929,-3.3823917862770343,0.023056750416005446,-3.427583017092405,-3.3372005554616635,0.0,0.0004997501249375312,0.0,dissociated
era,1600-1799,Economic,Security,Economic + Security,119305,27176,569,1860.848220895916,-1.7085802328886297,-1.8227436238380483,-1.603681126921519,0.05465913054205439,0.0004997501249375312,0.02093759199293494,-1.7868686511052922,0.04343361812900276,-1.8719985426381376,-1.701738759572447,0.0,0.0004997501249375312,0.0,dissociated
era,1800-1899,Political,Ideational,Political + Ideational,364680,83905,28879,31249.30598981355,-0.11380146842419081,-0.11827911442255606,-0.10954044606624838,0.0022267423800251774,0.0004997501249375312,0.3441868780168047,-14.597643454257412,1.4142299899052613,-17.369534234471725,-11.8257526740431,5.60592950899103e-25,0.0004997501249375312,5.60592950899103e-25,dissociated
era,1800-1899,Political,Economic,Political + Economic,364680,83905,18132,17532.477898813573,0.04850679662143038,0.03999316413755262,0.057689559877991965,0.004541839417716304,0.0004997501249375312,0.21610154341219237,-0.4560929014790481,0.009828131819778558,-0.47535603984581404,-0.4368297631122821,0.0,0.0004997501249375312,0.0,associated
era,1800-1899,Political,Security,Political + Security,364680,83905,9758,7987.216107325316,0.28887634643414317,0.2710606247573563,0.30601760873727074,0.008841571108097879,0.0004997501249375312,0.11629819438650855,-0.901879030443556,0.012226045233316362,-0.925842079100856,-0.877915981786256,0.0,0.0004997501249375312,0.0,associated
era,1800-1899,Ideational,Economic,Ideational + Economic,364680,83905,17629,15858.21611128439,0.1527155799906916,0.1430898274992285,0.1617986236424768,0.004987903759410173,0.0004997501249375312,0.21010666825576546,-2.232100800191357,0.010329877637635529,-2.2523473603611226,-2.2118542400215917,0.0,0.0004997501249375312,0.0,associated
era,1800-1899,Ideational,Security,Ideational + Security,364680,83905,7824,7224.477902582603,0.11500538894055626,0.09547363281291779,0.13613260963937868,0.010511596576552262,0.0004997501249375312,0.09324831654847744,-2.8530861845239373,0.013438661839715326,-2.8794259617297793,-2.8267464073180952,0.0,0.0004997501249375312,0.0,associated
era,1800-1899,Economic,Security,Economic + Security,364680,83905,1683,4053.30599018056,-1.2678133238055,-1.3317839776324603,-1.2055785282551177,0.03212806906175119,0.0004997501249375312,0.020058399380251474,-1.4171148531857714,0.025378979698791923,-1.4668576533954034,-1.3673720529761393,0.0,0.0004997501249375312,0.0,dissociated
era,1900-2020,Political,Ideational,Political + Ideational,954779,151791,62054,63627.01097636769,-0.0361148524597634,-0.038470165292374826,-0.033674018516761835,0.001211594143510951,0.0004997501249375312,0.40881211666040806,-15.547180623645906,1.4142213364158238,-18.31905444302092,-12.77530680427089,4.108834048890715e-28,0.0004997501249375312,4.930600858668859e-28,dissociated
era,1900-2020,Political,Economic,Political + Economic,954779,151791,23704,25961.00907930122,-0.13121328356490572,-0.13934599053182964,-0.12331811251355793,0.00406154088385725,0.0004997501249375312,0.15616209129658543,-0.3460570295707916,0.0077748850269996105,-0.3612958042237108,-0.33081825491787237,0.0,0.0004997501249375312,0.0,dissociated
era,1900-2020,Political,Security,Political + Security,954779,151791,11676,7845.979950510569,0.5734904055433095,0.5567886301781271,0.5905770163634757,0.008718603372884907,0.0004997501249375312,0.0769215566140285,-0.08975509946154488,0.011096270072780965,-0.11150378880419556,-0.06800641011889419,6.027369254956532e-16,0.0004997501249375312,6.027369254956532e-16,associated
era,1900-2020,Ideational,Economic,Ideational + Economic,954779,151791,41961,38130.97994397394,0.1380837254722024,0.13298695792678292,0.14278138794574768,0.002541589301989189,0.0004997501249375312,0.2764393145838686,-4.234641960945006,0.009928162076543989,-4.254101158615033,-4.21518276327498,0.0,0.0004997501249375312,0.0,associated
era,1900-2020,Ideational,Security,Ideational + Security,954779,151791,9267,11524.009071445267,-0.31445317994209177,-0.33470968816372876,-0.29502267363063095,0.010245745790904806,0.0004997501249375312,0.06105105045753701,-4.247167351025286,0.01269738401032899,-4.272054223685531,-4.222280478365041,0.0,0.0004997501249375312,0.0,dissociated
era,1900-2020,Economic,Security,Economic + Security,954779,151791,3129,4702.010978401289,-0.5874991355616509,-0.6342649862069434,-0.5428088265083746,0.02308727825856785,0.0004997501249375312,0.020613870387572387,-0.44021639269990565,0.018869068598365818,-0.4771997671527026,-0.40323301824710867,2.197091679473488e-120,0.0004997501249375312,3.2956375192102324e-120,dissociated
