period_type,period,domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
era,Pre-1000,Political,Ideational,Political + Ideational,6622,1030,221,243.9380545726083,-0.14216220531827664,-0.2082150913345177,-0.08029493531028005,0.032599168659350884,0.0004997501249375312,0.2145631067961165,-4.342077559652747,0.08501424666421044,-4.5087054831146,-4.175449636190894,0.0,0.0005997001499250374,0.0,dissociated
era,Pre-1000,Political,Economic,Political + Economic,6622,1030,31,89.79533852995844,-1.5192996823128557,-2.0043795837287797,-1.1506121914375245,0.2159260389852214,0.0004997501249375312,0.030097087378640777,-1.925742731363764,0.18898784266368748,-2.2961589029845917,-1.5553265597429367,2.2028377098161076e-24,0.0005997001499250374,4.405675419632215e-24,dissociated
era,Pre-1000,Political,Security,Political + Security,6622,1030,585,503.2666068336296,0.21691367738044326,0.17393150147946765,0.26406771652040983,0.023460505946580938,0.0004997501249375312,0.5679611650485437,0.11078506357573392,0.061282755119601,-0.009329136458684037,0.2308992636101519,0.07064246390189387,0.0005997001499250374,0.07064246390189387,associated
era,Pre-1000,Ideational,Economic,Ideational + Economic,6622,1030,104,22.266606851032037,2.198511749845847,2.0066375629947792,2.3791375351540127,0.09653734386610566,0.0004997501249375312,0.10097087378640776,-1.0646088831844012,0.12080696620734586,-1.301390536950799,-0.8278272294180032,1.224080452810511e-18,0.0005997001499250374,1.836120679215767e-18,associated
era,Pre-1000,Ideational,Security,Ideational + Security,6622,1030,66,124.79533858963815,-0.913906496796778,-1.162357975987599,-0.6907222131031524,0.1196289026091214,0.0004997501249375312,0.06407766990291262,-3.7971168235304864,0.12919414700671394,-4.050337351663646,-3.543896295397327,7.203378645253237e-190,0.0005997001499250374,2.1610135935759712e-189,dissociated
era,Pre-1000,Economic,Security,Economic + Security,6622,1030,23,45.93805462313327,-0.9826467794884838,-1.62246482044376,-0.531037398579276,0.27397143560769116,0.001999000499750125,0.02233009708737864,-1.2922442364064428,0.21615053945205376,-1.7158992937324682,-0.8685891790804174,2.2527684860679452e-09,0.001999000499750125,2.703322183281534e-09,dissociated
era,1000-1399,Political,Ideational,Political + Ideational,7765,819,359,349.1659304520303,0.040014536145597406,-0.00038462084546806114,0.08356725014813325,0.021593399534323588,0.06946526736631684,0.43833943833943834,-3.378534309170936,0.06828680825723542,-3.5123764533551176,-3.2446921649867546,0.0,0.06946526736631684,0.0,not distinguishable
era,1000-1399,Political,Economic,Political + Economic,7765,819,97,132.43936039078295,-0.44729419383232294,-0.6383796809881661,-0.30234504869850554,0.08535501336063032,0.0004997501249375312,0.11843711843711843,-1.0877709418389447,0.11195984396970425,-1.307212236019565,-0.8683296476583244,2.584060368523813e-22,0.0007496251874062968,3.1008724422285756e-22,dissociated
era,1000-1399,Political,Security,Political + Security,7765,819,147,121.39470911222996,0.2750794479027773,0.1573305510355431,0.39677512276601,0.061169613244486026,0.0004997501249375312,0.1794871794871795,-1.2829201668747214,0.09172631129901547,-1.4627037370207918,-1.103136596728651,1.8874674262036317e-44,0.0007496251874062968,2.8312011393054474e-44,associated
era,1000-1399,Ideational,Economic,Ideational + Economic,7765,819,121,95.39470915324998,0.3414331898142859,0.19314783635111377,0.48301817931155383,0.07445144010433263,0.0004997501249375312,0.14774114774114774,-2.3283858243564235,0.10282910285550023,-2.529930865953204,-2.126840782759643,1.6257554351138885e-113,0.0007496251874062968,3.251510870227777e-113,associated
era,1000-1399,Ideational,Security,Ideational + Security,7765,819,52,87.43936043133061,-0.7441916173235061,-1.068515008750745,-0.49559477437814603,0.14688251894830442,0.0004997501249375312,0.06349206349206349,-4.125147055001977,0.14391126255455167,-4.407213129608898,-3.8430809803950563,1.0569000033022524e-180,0.0007496251874062968,3.170700009906757e-180,dissociated
era,1000-1399,Economic,Security,Economic + Security,7765,819,43,33.16593046037612,0.3697260623164341,-0.0036921647175831053,0.6885962294877901,0.17774550220531446,0.03798100949525238,0.052503052503052504,-1.1009057151761061,0.15974994540347487,-1.4140156081669168,-0.7877958221852954,5.523393792413303e-12,0.045577211394302854,5.523393792413302e-12,associated
era,1400-1599,Political,Ideational,Political + Ideational,24245,3843,1520,1437.0253813247691,0.08095838748518698,0.05563180152213699,0.1052645433280367,0.012411180596818634,0.0004997501249375312,0.3955243299505595,-3.218436356419395,0.03566901814341157,-3.2883476319804816,-3.1485250808583083,0.0,0.0004997501249375312,0.0,associated
era,1400-1599,Political,Economic,Political + Economic,24245,3843,666,848.738025099064,-0.3495640948382133,-0.4037778829389406,-0.3033239860355677,0.025700055087962217,0.0004997501249375312,0.17330210772833723,-1.192219793908682,0.04486753667750545,-1.2801601657965926,-1.1042794220207715,1.4308496481684186e-155,0.0004997501249375312,2.146274472252628e-155,dissociated
era,1400-1599,Political,Security,Political + Security,24245,3843,636,536.2365933806016,0.24594626326359528,0.18797179834401592,0.30647284362366345,0.029743162512916844,0.0004997501249375312,0.16549570647931303,-0.9760804474371771,0.0464051517938853,-1.0670345449531924,-0.8851263499211619,3.212622370386631e-98,0.0004997501249375312,3.855146844463957e-98,associated
era,1400-1599,Ideational,Economic,Ideational + Economic,24245,3843,609,509.23659355391885,0.25787429404181395,0.19729319063731968,0.31902513317685327,0.03094607339853658,0.0004997501249375312,0.15846994535519127,-2.4319770855944185,0.04657219540645312,-2.5232585885910668,-2.34069558259777,0.0,0.0004997501249375312,0.0,associated
era,1400-1599,Ideational,Security,Ideational + Security,24245,3843,139,321.7380252525187,-1.2078616252685384,-1.4167973560725382,-1.0218633339733045,0.10083603805959797,0.0004997501249375312,0.03616965912047879,-3.8531160329992487,0.0877975895351449,-4.025199308488133,-3.6810327575103647,0.0,0.0004997501249375312,0.0,dissociated
era,1400-1599,Economic,Security,Economic + Security,24245,3843,273,190.0253813891274,0.5215576297083857,0.37713379655219614,0.6413628020080492,0.06623834041450456,0.0004997501249375312,0.07103825136612021,-0.8233606125934998,0.06576479751028523,-0.9522596157136589,-0.6944616094733407,5.819828065627812e-36,0.0004997501249375312,5.819828065627811e-36,associated
era,1600-1799,Political,Ideational,Political + Ideational,97153,20678,4569,5016.1765220901225,-0.134695602823546,-0.1524796628594441,-0.11678123936478217,0.008971471628071367,0.0004997501249375312,0.22095947383692813,-3.3831463368870724,0.018810363308754064,-3.4200146489722303,-3.3462780248019146,0.0,0.0004997501249375312,0.0,dissociated
era,1600-1799,Political,Economic,Political + Economic,97153,20678,4318,5198.284244440045,-0.26764399332604394,-0.28606322133184514,-0.24882204555218287,0.009446174225409783,0.0004997501249375312,0.20882096914595222,-1.6838137355031624,0.018710049655251186,-1.7204854328274548,-1.64714203817887,0.0,0.0004997501249375312,0.0,dissociated
era,1600-1799,Political,Security,Political + Security,97153,20678,6775,5447.5392323709275,0.31459032198669196,0.2981537693488913,0.33152776585843424,0.008595310067059218,0.0004997501249375312,0.3276429055034336,-0.9118772653457111,0.016671983767821724,-0.9445543535306417,-0.8792001771607806,0.0,0.0004997501249375312,0.0,associated
era,1600-1799,Ideational,Economic,Ideational + Economic,97153,20678,2928,1600.539233078385,0.8711532332677653,0.8378661751397639,0.9054324179934642,0.01740515228321857,0.0004997501249375312,0.141599767869233,-1.6207843430214124,0.021276546134660217,-1.6624863734453463,-1.5790823125974784,0.0,0.0004997501249375312,0.0,associated
era,1600-1799,Ideational,Security,Ideational + Security,97153,20678,797,1677.284245175512,-1.0730007802093589,-1.1639562464585327,-0.9877312594460536,0.0439783733578169,0.0004997501249375312,0.03854337943708289,-3.1378863559646963,0.03685957442342791,-3.210131121834615,-3.0656415900947778,0.0,0.0004997501249375312,0.0,dissociated
era,1600-1799,Economic,Security,Economic + Security,97153,20678,1291,1738.1765228450085,-0.42894190373891833,-0.4914106177255586,-0.3682315549160513,0.03150704391471049,0.0004997501249375312,0.06243350420737015,-1.4929000521150484,0.029997061207723462,-1.5516942920821863,-1.4341058121479104,0.0,0.0004997501249375312,0.0,dissociated
era,1800-1899,Political,Ideational,Political + Ideational,278460,60384,14730,15501.761027143699,-0.07367224913872758,-0.08257658442652642,-0.06457363407827041,0.004563467590859173,0.0004997501249375312,0.2439387917329094,-3.4863716102798006,0.011036633747767456,-3.508003412425425,-3.4647398081341763,0.0,0.0004997501249375312,0.0,dissociated
era,1800-1899,Political,Economic,Political + Economic,278460,60384,19955,20443.18684307112,-0.03486897027277394,-0.041350514888881945,-0.02878292855914207,0.0031863281705900863,0.0004997501249375312,0.33046833598304187,-1.5791390909309369,0.009570369198612321,-1.597897014560217,-1.5603811673016568,0.0,0.0004997501249375312,0.0,dissociated
era,1800-1899,Political,Security,Political + Security,278460,60384,9758,8498.052126345718,0.1994423306567072,0.18491845014604444,0.21393539986904833,0.007605275442720907,0.0004997501249375312,0.16159909909909909,-1.564799015344285,0.012440361515215643,-1.5891821239141077,-1.5404159067744623,0.0,0.0004997501249375312,0.0,associated
era,1800-1899,Ideational,Economic,Ideational + Economic,278460,60384,9377,8117.052129338277,0.20815861363915303,0.19229249584062202,0.2236410521105086,0.007924063610557414,0.0004997501249375312,0.15528948065712772,-1.7432160778296737,0.011935189887565794,-1.7666090500093026,-1.7198231056500448,0.0,0.0004997501249375312,0.0,associated
era,1800-1899,Ideational,Security,Ideational + Security,278460,60384,2886,3374.1868445898162,-0.22543240756782584,-0.2703524344451296,-0.18406959726111338,0.021789815747376408,0.0004997501249375312,0.04779411764705882,-2.2622884102255996,0.01978289796222782,-2.301062890231566,-2.223513930219633,0.0,0.0004997501249375312,0.0,dissociated
era,1800-1899,Economic,Security,Economic + Security,278460,60384,3678,4449.76102951137,-0.2747723683027019,-0.3102041338291783,-0.23990119246468516,0.018047776326761546,0.0004997501249375312,0.06091017488076311,-1.282953148102177,0.017926615494767203,-1.3180893144719208,-1.2478169817324332,0.0,0.0004997501249375312,0.0,dissociated
era,1900-2020,Political,Ideational,Political + Ideational,539673,102056,34453,35248.10498963971,-0.0329156137935514,-0.037323046002989045,-0.028614618302069232,0.00221999138344449,0.0004997501249375312,0.3375891667319903,-3.202401917541617,0.007426645996746976,-3.216958143695241,-3.187845691387993,0.0,0.0004997501249375312,0.0,dissociated
era,1900-2020,Political,Economic,Political + Economic,539673,102056,26589,28309.3169042988,-0.0904457701297704,-0.09628785406890772,-0.08441015109005694,0.0029919727880926773,0.0004997501249375312,0.2605334326252254,-1.7656225464632909,0.007598135307272562,-1.780514891665545,-1.7507302012610366,0.0,0.0004997501249375312,0.0,dissociated
era,1900-2020,Political,Security,Political + Security,539673,102056,11676,9160.578101584166,0.350018601134222,0.3340072454767248,0.3645353145797592,0.007739264201054673,0.0004997501249375312,0.1144077761229129,-1.117515908610409,0.011220689326798107,-1.1395084596909333,-1.0955233575298846,0.0,0.0004997501249375312,0.0,associated
era,1900-2020,Ideational,Economic,Ideational + Economic,539673,102056,21043,18527.578105794124,0.18366143653032124,0.1743768657696496,0.19225344700357885,0.004478855755110752,0.0004997501249375312,0.20619071882103943,-1.7228875843977352,0.00816575129718574,-1.738892456940219,-1.7068827118552512,0.0,0.0004997501249375312,0.0,associated
