spec,label,n_domains_in_spec,sectors_classified,n_persons,n_classified,share_classified,n_crossing,crossing_share_of_classified,n_two_sectors_one_domain,n_pairs,note
main,Main: Culture inside the ideational domain,4,10,2071452,1485223,0.7169960974234498,280761,0.18903625920148018,287986,6,"Ideational power read broadly as meaning-making: the church, the academy and cultural production together."
culture_out,Culture dropped: ideational = religion and the academy,4,8,2071452,953918,0.46050692943886706,188810,0.19793105906377698,93494,6,"Ideational power read narrowly as clerical and credentialled authority. Writers, performers and journalists leave the universe."
culture_own,Culture as a fifth domain of its own,5,10,2071452,1485223,0.7169960974234498,374703,0.2522873669475897,194044,10,"Cultural production separated from clerical and credentialled authority, so a writer who is also an academic now crosses a boundary."
culture_core_only,Only Culture (core) counts as ideational,4,9,2071452,1443408,0.6968097740135905,249650,0.1729587199184153,171389,6,"Writers and composers produce ideas; performers, journalists and designers are dropped."
invention_ideational,Exploration & Invention moved to the ideational domain,4,10,2071452,1485223,0.7169960974234498,270160,0.18189861051168746,298587,6,Inventors and explorers read as knowledge producers instead of creators of productive assets. Everything else as in the main specification.
