birth_century,n_classified,n_crossing,crossing_rate
800,747,94,0.12583668005354753
900,1045,102,0.09760765550239234
1000,1224,116,0.09477124183006536
1100,1857,195,0.1050080775444265
1200,2530,289,0.11422924901185771
1300,3261,433,0.13278135541245017
1400,8135,1323,0.16263060848186847
1500,21723,3654,0.16820881093771578
1600,31694,5439,0.1716097684104247
1700,85504,20535,0.24016420284431136
1800,356159,76424,0.21457832035691923
1900,921769,139891,0.15176361973553026
