period_type,period,domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
era,Pre-1000,Political,Ideational,Political + Ideational,7374,1759,221,376.34561230913954,-0.766666896397673,-0.8917486954338322,-0.65372816581486,0.06189465035225533,0.0004997501249375312,0.12563956793632747,-3.4199629334181463,0.07755181879512192,-3.5719644982565852,-3.2679613685797073,0.0,0.000624687656171914,0.0,dissociated
era,Pre-1000,Political,Cultural,Political + Cultural,7374,1759,121,265.9825135603402,-1.1330845533842666,-1.350221709357476,-0.9392588923487659,0.10330249299691177,0.0004997501249375312,0.06878908470722,-2.1873889348049684,0.09816107925860676,-2.3797846501518376,-1.9949932194580993,5.3215973652380457e-110,0.000624687656171914,1.773865788412682e-109,dissociated
era,Pre-1000,Political,Economic,Political + Economic,7374,1759,31,61.11553298811681,-0.9679422648407524,-1.4952228729601584,-0.5739640681172768,0.2353405952541652,0.0004997501249375312,0.01762364980102331,-1.739087104544482,0.18886487176885236,-2.1092622532114325,-1.3689119558775313,3.3194053090287973e-20,0.000624687656171914,5.532342181714662e-20,dissociated
era,Pre-1000,Political,Security,Political + Security,7374,1759,585,254.55634109373707,1.1988532019235405,1.1015147432568846,1.3030753638048658,0.05201750094291639,0.0004997501249375312,0.3325753268902786,0.32392773782172857,0.06078597743118016,0.20478722205661545,0.44306825358684165,9.876157905152146e-08,0.000624687656171914,1.1340757369674448e-07,associated
era,Pre-1000,Ideational,Cultural,Ideational + Cultural,7374,1759,536,251.80664198977874,1.0883999851210675,0.9917132906182089,1.1907648254818857,0.050896086310418545,0.0004997501249375312,0.30471859010801594,-0.7790291651432276,0.05963562075347658,-0.8959149818200417,-0.6621433484664135,5.346745576747772e-39,0.000624687656171914,1.0693491153495544e-38,associated
era,Pre-1000,Ideational,Economic,Ideational + Economic,7374,1759,104,57.85830402592261,0.8404930800676672,0.6457417155456678,1.02239660325545,0.09735431332036162,0.0004997501249375312,0.059124502558271744,-0.8192694191105632,0.12047356127536299,-1.0553975992102747,-0.5831412390108517,1.043229791640538e-11,0.000624687656171914,1.490328273772197e-11,associated
era,Pre-1000,Ideational,Security,Ideational + Security,7374,1759,66,240.98944171184138,-1.860533867877219,-2.2049347949646907,-1.5751387955974374,0.1613382700514158,0.0004997501249375312,0.03752131893121091,-3.4145331399513,0.12842936012434525,-3.6662546857950167,-3.162811594107583,9.632584027886787e-156,0.000624687656171914,4.8162920139433936e-155,dissociated
era,Pre-1000,Cultural,Economic,Cultural + Economic,7374,1759,41,40.89139512143986,0.003780460182682171,-0.4162357247570706,0.35380838837920064,0.1975854242031207,0.9855072463768116,0.023308698123934053,-0.6350607420143773,0.1684562695313864,-0.9652350302958947,-0.30488645373286,0.00016332286998207388,0.9855072463768118,0.00016332286998207388,not distinguishable
era,Pre-1000,Cultural,Security,Cultural + Security,7374,1759,31,170.31944933468807,-2.4390485144254317,-2.99204495576143,-2.0161158592096995,0.24672060402459617,0.0004997501249375312,0.01762364980102331,-2.666146153920204,0.18268306927178005,-3.0242049696928928,-2.3080873381475153,3.049720732162469e-48,0.000624687656171914,7.624301830406173e-48,dissociated
era,Pre-1000,Economic,Security,Economic + Security,7374,1759,23,39.13476786499584,-0.7541057699766204,-1.4223302645603988,-0.30860757079241563,0.2904395428046957,0.013493253373313344,0.013075611142694713,-1.1502396615019774,0.2160883963926872,-1.5737729184316445,-0.7267064045723105,1.0206681632707004e-07,0.014992503748125937,1.1340757369674448e-07,dissociated
era,1000-1399,Political,Ideational,Political + Ideational,8907,1850,359,388.3672503499707,-0.11328596822894221,-0.18475771215153633,-0.048470991249158435,0.03491323420551062,0.001999000499750125,0.19405405405405404,-2.534558435062721,0.06325700439402512,-2.65854216367501,-2.410574706450432,0.0,0.0022211116663890273,0.0,dissociated
era,1000-1399,Political,Cultural,Political + Cultural,8907,1850,123,228.21040459308418,-0.8890109571420998,-1.0969725078952146,-0.7228567400811508,0.09643043101278816,0.0004997501249375312,0.06648648648648649,-2.1850772919933577,0.09610208597742013,-2.373437380509101,-1.9967172034776142,1.92787672712067e-114,0.0007139287499107588,6.4262557570689e-114,dissociated
era,1000-1399,Political,Economic,Political + Economic,8907,1850,97,60.68443358796628,0.6722375666307353,0.4398048497093273,0.8950607039243562,0.11655498157275411,0.0004997501249375312,0.05243243243243243,-0.8742008508826519,0.11178065127549495,-1.093290927382622,-0.6551107743826817,5.253819767237636e-15,0.0007139287499107588,5.837577519152929e-15,associated
era,1000-1399,Political,Security,Political + Security,8907,1850,147,48.73791148856172,1.5828734806547544,1.414498333393642,1.7523823427415273,0.08423359710169066,0.0004997501249375312,0.07945945945945945,-1.050304362141145,0.09146649802294447,-1.229578698266116,-0.8710300260161739,1.6071966913129814e-30,0.0007139287499107588,2.295995273304259e-30,associated
era,1000-1399,Ideational,Cultural,Ideational + Cultural,8907,1850,783,626.3232310672323,0.32187462532064753,0.27370222507022407,0.3716358480083684,0.024482146608954706,0.0004997501249375312,0.42324324324324325,-1.150879115775119,0.05084529065773259,-1.250535885464275,-1.051222346085963,1.9641765781342833e-113,0.0007139287499107588,4.910441445335708e-113,associated
era,1000-1399,Ideational,Economic,Ideational + Economic,8907,1850,121,166.54836832733847,-0.45930957714740217,-0.6555270029077852,-0.2948279408043538,0.09226176807152231,0.0004997501249375312,0.0654054054054054,-1.9204980743850077,0.1021083160112733,-2.1206303737671033,-1.720365775002912,6.440600707217251e-79,0.0007139287499107588,1.2881201414434503e-78,dissociated
era,1000-1399,Ideational,Security,Ideational + Security,8907,1850,52,133.76115016935483,-1.3546525787628247,-1.7324986779639355,-1.0576486819288524,0.17083701521381733,0.0004997501249375312,0.02810810810810811,-3.6142046497340434,0.14309728835289542,-3.8946753349057186,-3.3337339645623683,9.493877568842547e-141,0.0007139287499107588,4.746938784421274e-140,dissociated
era,1000-1399,Cultural,Economic,Cultural + Economic,8907,1850,85,97.86631206943834,-0.20223989422679886,-0.4578622480817892,0.011896851085976205,0.12051196646168107,0.09145427286356822,0.04594594594594595,-0.9878982700592905,0.11795609163492993,-1.2190922096637533,-0.7567043304548279,5.516029177501636e-17,0.09145427286356822,6.895036471877046e-17,not distinguishable
