spec,spec_short,spec_label,pair,domain_a,domain_b,is_core_pair,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,q_value,direction,share_of_diversified
main,main,Main: Culture inside the ideational domain,Political + Ideational,Political,Ideational,True,96140,99964.51870169441,-0.0562790265892586,-0.05870249841009945,-0.05374645350090369,0.0004997501249375312,dissociated,0.3424264766117801
main,main,Main: Culture inside the ideational domain,Political + Economic,Political,Economic,True,51656,57943.00731284851,-0.16569711681350596,-0.17085410106976237,-0.16022538498582706,0.0004997501249375312,dissociated,0.183985667525048
main,main,Main: Culture inside the ideational domain,Political + Security,Political,Security,True,29577,19465.47399615657,0.6035455827201694,0.5932425733026894,0.6135350824924584,0.0004997501249375312,associated,0.1053458279461891
main,main,Main: Culture inside the ideational domain,Ideational + Economic,Ideational,Economic,True,77656,67544.47398511805,0.201258263297478,0.1969830948852017,0.20539083796501875,0.0004997501249375312,associated,0.27659112198631575
main,main,Main: Culture inside the ideational domain,Ideational + Security,Ideational,Security,True,16404,22691.007300372614,-0.46806082230501145,-0.48448294528167657,-0.4515713381031697,0.0004997501249375312,dissociated,0.058426918268562944
main,main,Main: Culture inside the ideational domain,Economic + Security,Economic,Security,True,9328,13152.518703809888,-0.49567692246357303,-0.5200059938807564,-0.47121447640971187,0.0004997501249375312,dissociated,0.03322398766210407
culture_out,culture out,Culture dropped: ideational = religion and the academy,Political + Ideational,Political,Ideational,True,55852,58011.834512535825,-0.054737818661325745,-0.0585813285133415,-0.05059687088407736,0.0004997501249375312,dissociated,0.2958106032519464
culture_out,culture out,Culture dropped: ideational = religion and the academy,Political + Economic,Political,Economic,True,51656,55457.87504441904,-0.10245544879840977,-0.10670612379913318,-0.09815082470736261,0.0004997501249375312,dissociated,0.2735872040675812
culture_out,culture out,Culture dropped: ideational = religion and the academy,Political + Security,Political,Security,True,29577,23615.290434120387,0.324748291523172,0.31584904940432124,0.3335790521384431,0.0004997501249375312,associated,0.15664954186748584
culture_out,culture out,Culture dropped: ideational = religion and the academy,Ideational + Economic,Ideational,Economic,True,34182,28220.290442051955,0.2764995177779209,0.26835119765321763,0.28404448191534887,0.0004997501249375312,associated,0.18103913987606587
