birth_century,n_classified,n_crossing,crossing_rate
800,747,94,0.12583668005354753
900,1050,105,0.1
1000,1228,121,0.0985342019543974
1100,1861,198,0.10639441160666309
1200,2539,296,0.1165813312327688
1300,3279,452,0.1378469045440683
1400,8225,1444,0.17556231003039513
1500,21953,3900,0.1776522570947023
1600,32260,5843,0.18112213267203967
1700,87045,21986,0.25258199781722096
1800,364680,85998,0.23581770319183942
1900,952526,159122,0.16705265788020485
