period_type,period,domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
halfcentury,1400,Political,Ideational,Political + Ideational,2785,450,201,205.60041875569428,-0.032567597400732666,-0.07150503095953217,0.0048746210897593015,0.019479181066009387,0.0944527736131934,0.44666666666666666,-9.322064394037248,1.416788676872339,-12.098970200707033,-6.545158587367464,4.71353817540064e-11,0.11334332833583209,9.42707635080128e-11,not distinguishable
halfcentury,1400,Political,Economic,Political + Economic,2785,450,47,61.27742148650955,-0.37915214246436174,-0.6315602549626622,-0.1746879753441353,0.1199177189915795,0.00399800099950025,0.10444444444444445,-0.890142687204704,0.1627623766191305,-1.2091569453781998,-0.5711284290312082,4.526562733578841e-08,0.0079960019990005,5.4318752802946085e-08,dissociated
halfcentury,1400,Political,Security,Political + Security,2785,450,44,25.122159779093806,0.796413245596223,0.535796940295189,1.0643801427249644,0.1371264678806184,0.0004997501249375312,0.09777777777777778,-0.951662091514602,0.16711595891831668,-1.2792093709945027,-0.6241148120347013,1.2364608791391906e-08,0.0029985007496251873,1.854691318708786e-08,associated
halfcentury,1400,Ideational,Economic,Ideational + Economic,2785,450,122,103.12215975597677,0.24144919068774773,0.13686818223795102,0.3594019909183865,0.05607957717534832,0.0009995002498750624,0.27111111111111114,-2.5824164239103644,0.12927288041835613,-2.8357912695303424,-2.3290415782903864,8.823915310382426e-89,0.0029985007496251873,2.647174593114728e-88,associated
halfcentury,1400,Ideational,Security,Ideational + Security,2785,450,28,42.277421459798646,-0.5858876029806598,-1.03286135167788,-0.2677532338843271,0.1956549233811941,0.005497251374312844,0.06222222222222222,-4.79647129713783,0.2093258875749014,-5.206750036784637,-4.386192557491023,3.377583551242033e-116,0.008245877061469266,2.02655013074522e-115,dissociated
halfcentury,1400,Economic,Security,Economic + Security,2785,450,8,12.600418762926937,-0.6240781827693616,-1.8622306567841467,0.07766277138364652,0.4916596640976655,0.17191404297851073,0.017777777777777778,-1.7855530392585919,0.3524430685556109,-2.4763414536275894,-1.0947646248895944,4.0579946013468776e-07,0.17191404297851073,4.0579946013468776e-07,not distinguishable
halfcentury,1450,Political,Ideational,Political + Ideational,5440,994,390,378.53825109171913,0.04297910135419744,0.0029356943588812394,0.08573425242984198,0.021188653893393708,0.04047976011994003,0.39235412474849096,-10.061488046624557,1.4155336996900498,-12.835934098017056,-7.28704199523206,1.1781219003453858e-12,0.04047976011994003,1.7671828505180786e-12,associated
halfcentury,1450,Political,Economic,Political + Economic,5440,994,127,165.2692872216792,-0.37867949028393316,-0.512902304584627,-0.2616570171272649,0.0656806972908345,0.0004997501249375312,0.12776659959758552,-0.7274709605716707,0.10201173720013684,-0.927413965483939,-0.5275279556594025,9.946317843890462e-13,0.0007496251874062968,1.7671828505180786e-12,dissociated
halfcentury,1450,Political,Security,Political + Security,5440,994,81,54.19246171938905,0.5754580597720006,0.3502583473502279,0.7852716368839612,0.11182497498308841,0.0004997501249375312,0.08148893360160966,-0.716676434712905,0.12485204644710515,-0.961386445749231,-0.47196642367657893,9.456159296403233e-09,0.0007496251874062968,1.134739115568388e-08,associated
halfcentury,1450,Ideational,Economic,Ideational + Economic,5440,994,296,269.1924616835027,0.13671690816557552,0.07567988108679723,0.19738346105253138,0.031535499386062205,0.0004997501249375312,0.2977867203219316,-3.403120626249775,0.0985486834110605,-3.5962760457354537,-3.2099652067640965,2.6209441583227633e-261,0.0007496251874062968,1.5725664949936579e-260,associated
halfcentury,1450,Ideational,Security,Ideational + Security,5440,994,50,88.26928717471782,-0.8137772244654011,-1.1459910827527346,-0.5481918980254006,0.15311068660075136,0.0004997501249375312,0.05030181086519115,-5.049196949539399,0.1606634936207729,-5.364097397036114,-4.734296502042684,8.613848019956603e-217,0.0007496251874062968,2.584154405986981e-216,dissociated
halfcentury,1450,Economic,Security,Economic + Security,5440,994,50,38.538251108991965,0.37139496541702915,0.027970689786660872,0.6639450089971703,0.1627597252705595,0.01999000499750125,0.05030181086519115,-0.486693514035946,0.15344098094161224,-0.787437836681506,-0.18594919139038601,0.0015146531225454576,0.0239880059970015,0.0015146531225454576,associated
halfcentury,1500,Political,Ideational,Political + Ideational,9149,1664,618,598.712695058836,0.045705405810169505,0.009072327247163892,0.08076923227546574,0.01835966673951531,0.014992503748125937,0.3713942307692308,-10.798891149765923,1.4149979774331678,-13.572287185534933,-8.025495113996914,2.3161318304608098e-14,0.014992503748125935,2.7793581965529716e-14,associated
halfcentury,1500,Political,Economic,Political + Economic,9149,1664,207,292.4053757581514,-0.4973233351068321,-0.6193004051575469,-0.39154240535749313,0.056514194264505,0.0004997501249375312,0.12439903846153846,-0.8509273328674681,0.07993422116613032,-1.0075984063530836,-0.6942562593818526,1.833046839588422e-26,0.0007496251874062968,3.666093679176844e-26,dissociated
