revolution,category,n_holding,share_holding,n_primary,share_primary,level
Xinhai Revolution,Politics,397,0.4777376654632972,268,0.32250300842358604,sector
Xinhai Revolution,Administration & Law,76,0.0914560770156438,41,0.049338146811071,sector
Xinhai Revolution,Military,178,0.21419975932611313,111,0.13357400722021662,sector
Xinhai Revolution,Religion,110,0.13237063778580024,95,0.11432009626955475,sector
Xinhai Revolution,Nobility,40,0.048134777376654635,17,0.02045728038507822,sector
Xinhai Revolution,Kinship,55,0.06618531889290012,8,0.009626955475330927,sector
Xinhai Revolution,Big business,62,0.07460890493381468,34,0.04091456077015644,sector
Xinhai Revolution,Small business,48,0.05776173285198556,9,0.010830324909747292,sector
Xinhai Revolution,Academia,197,0.23706377858002406,128,0.15403128760529483,sector
Xinhai Revolution,Exploration & Invention,11,0.013237063778580024,6,0.007220216606498195,sector
Xinhai Revolution,Culture (core),106,0.12755716004813478,72,0.08664259927797834,sector
Xinhai Revolution,Culture (periphery),27,0.032490974729241874,11,0.013237063778580024,sector
Xinhai Revolution,Sport & Games,38,0.0457280385078219,31,0.03730445246690734,sector
Xinhai Revolution,Politics,397,0.4777376654632972,268,0.32250300842358604,group
Xinhai Revolution,Administration & Law,76,0.0914560770156438,41,0.049338146811071,group
Xinhai Revolution,Military,178,0.21419975932611313,111,0.13357400722021662,group
Xinhai Revolution,Business,108,0.1299638989169675,43,0.05174488567990373,group
Xinhai Revolution,Nobility & Kinship,93,0.11191335740072202,25,0.030084235860409144,group
Xinhai Revolution,Religion,110,0.13237063778580024,95,0.11432009626955475,group
Xinhai Revolution,Learning & Culture,302,0.36341756919374246,217,0.2611311672683514,group
