revolution,slug,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell
German Revolution,german-revolution,Politics,Administration & Law,Politics + Administration & Law,54018,15435,2532,1365.9283473565165,0.8901524590911644,0.8552900127414759,0.9278091123033684,0.01835402195759578,0.0004997501249375312,0.1640427599611273,0.8702296107302386,0.028483655713361877,0.8144016455320493,0.926057575928428,5.336472450584852e-205,0.0005523554012467451,2.241318429245638e-204,associated,False
German Revolution,german-revolution,Politics,Military,Politics + Military,54018,15435,798,629.8002635439594,0.3412531416781769,0.26319827190065875,0.4127393596303335,0.03780336587168316,0.0004997501249375312,0.05170068027210884,-0.5390190367919369,0.04033943552922804,-0.6180843304292238,-0.4599537431546499,1.0070099014469555e-40,0.0005523554012467451,1.9224734482169152e-40,associated,False
German Revolution,german-revolution,Politics,Business,Politics + Business,54018,15435,1808,1705.5987007667397,0.08409248651466687,0.042832724894236146,0.1271580949645838,0.021493301283818707,0.0004997501249375312,0.11713637836086815,-0.015285337009337832,0.029293030851012283,-0.07269967747732191,0.042129003458646244,0.6018040388396488,0.0005523554012467451,0.6018040388396488,associated,False
German Revolution,german-revolution,Politics,Nobility & Kinship,Politics + Nobility & Kinship,54018,15435,196,359.6174608320832,-0.873938239960566,-1.073705925445545,-0.6949802881105576,0.09610410577066197,0.0004997501249375312,0.012698412698412698,-0.8915042489247126,0.07714203052559983,-1.0427026287548882,-0.7403058690945369,6.831420489633912e-31,0.0005523554012467451,9.563988685487479e-31,dissociated,False
German Revolution,german-revolution,Politics,Religion,Politics + Religion,54018,15435,261,473.1204088866229,-0.8569203033399311,-1.0191265405011636,-0.7057962023399851,0.07922895765862646,0.0004997501249375312,0.016909620991253645,-1.0461623955289183,0.06649092710067124,-1.176484612646234,-0.9158401784116027,8.856597290720981e-56,0.0005523554012467451,2.0665393678348953e-55,dissociated,False
German Revolution,german-revolution,Politics,Learning & Culture,Politics + Learning & Culture,54018,15435,2382,3442.934818994096,-0.5313721542829236,-0.5652355298386069,-0.49701345346404124,0.017598465023416984,0.0004997501249375312,0.1543245869776482,-2.84360119207719,0.025455042959409833,-2.8934930762776334,-2.793709307876747,0.0,0.0005523554012467451,0.0,dissociated,False
German Revolution,german-revolution,Administration & Law,Military,Administration & Law + Military,54018,15435,217,277.41697421588657,-0.3536385511346005,-0.5367884890972172,-0.19140173278519282,0.08912284751816199,0.0004997501249375312,0.014058956916099773,-0.9115608305821488,0.07095423323957684,-1.0506311277317193,-0.7724905334325782,8.921900188743233e-38,0.0005523554012467451,1.4412300304892913e-37,dissociated,False
German Revolution,german-revolution,Administration & Law,Business,Administration & Law + Business,54018,15435,327,751.2890327017624,-1.1988329624656249,-1.3505477605819627,-1.069251764182926,0.07140750798483886,0.0004997501249375312,0.02118561710398445,-0.9758108064820034,0.0584071506389565,-1.090288821734358,-0.8613327912296487,1.1646861619815693e-62,0.0005523554012467451,3.0573011752016195e-62,dissociated,False
German Revolution,german-revolution,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,54018,15435,95,158.4057575616959,-0.7345987599006965,-1.0221576750839978,-0.48563065361972446,0.14208965779694765,0.0004997501249375312,0.006154842889536767,-0.5907960289430837,0.10666371622419825,-0.7998569127425122,-0.38173514514365514,3.04436498985317e-08,0.0005523554012467451,3.551759154828698e-08,dissociated,False
German Revolution,german-revolution,Administration & Law,Religion,Administration & Law + Religion,54018,15435,44,208.4019964274733,-2.2309490387779833,-2.7007624196825724,-1.849316495649712,0.21672947314600866,0.0004997501249375312,0.002850664075153871,-1.8360122226077606,0.15204296980126175,-2.1340164434182336,-1.5380080017972877,1.4209949997007057e-33,0.0005523554012467451,2.1314924995510586e-33,dissociated,False
