revolution,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell,birth_cohort_start,birth_cohort_end,overlaps_window
Russian Revolution,Politics,Administration & Law,Politics + Administration & Law,1626,750,34,12.991982497201644,1.3544940099917093,0.9720354911423267,1.679790180469409,0.18599633145212596,0.0004997501249375312,0.04533333333333334,1.0868529339994484,0.22217513479744616,0.6513896697964539,1.522316198202443,9.987999608099953e-07,0.0020989505247376314,2.6218498971262376e-06,associated,False,1760,1799,False
Russian Revolution,Politics,Military,Politics + Military,1626,750,85,63.402280657473526,0.42005699845832484,0.1953069145609156,0.6203973284123638,0.10674425243766926,0.0009995002498750624,0.11333333333333333,0.007598594230264145,0.14364243240687802,-0.27394057328721677,0.2891377617477451,0.9578120860812963,0.002623688155922039,0.9578120860812963,associated,False,1760,1799,False
Russian Revolution,Politics,Business,Politics + Business,1626,750,11,16.95424807954928,-0.6019443464645731,-1.6377656567271248,0.044420948531166814,0.4221959435482932,0.12993503248375812,0.014666666666666666,-0.8044740517910266,0.3157174420471468,-1.4232802382034344,-0.1856678653786189,0.010831688867070343,0.2098950524737631,0.017497343554498248,not distinguishable,False,1760,1799,False
Russian Revolution,Politics,Nobility & Kinship,Politics + Nobility & Kinship,1626,750,35,59.939418750600815,-0.7676707614701679,-1.2269282759857763,-0.403945378120166,0.20604676966684152,0.0009995002498750624,0.04666666666666667,-0.9322933351287974,0.19012907510496077,-1.3049463223345206,-0.5596403479230743,9.415550567597448e-07,0.002623688155922039,2.6218498971262376e-06,dissociated,False,1760,1799,False
Russian Revolution,Politics,Religion,Politics + Religion,1626,750,12,11.29037910949212,0.08431798720658594,-0.7768859385249137,0.6919926511263452,0.3800139517035337,0.8225887056471765,0.016,-0.6994604089999458,0.30473650742516345,-1.2967439635532663,-0.10217685444662539,0.021716181273019147,0.8225887056471765,0.030402653782226802,not distinguishable,False,1760,1799,False
Russian Revolution,Politics,Learning & Culture,Politics + Learning & Culture,1626,750,47,59.42169090726947,-0.33515082178687033,-0.7000710679263338,-0.029504458260140812,0.17168334752714184,0.04847576211894053,0.06266666666666666,-1.736527505268465,0.1691718036473391,-2.0681042404172496,-1.4049507701196804,1.014517360334387e-24,0.09254463677252284,7.101621522340708e-24,not distinguishable,False,1760,1799,False
Russian Revolution,Administration & Law,Military,Administration & Law + Military,1626,750,13,22.53790843367648,-0.7710503360086945,-1.6504724335642906,-0.17484566785506434,0.37301139981399783,0.04597701149425287,0.017333333333333333,-1.164798345489369,0.29762276842818514,-1.7481389716086118,-0.581457719370126,9.090252598502307e-05,0.09254463677252284,0.00017354118597140766,not distinguishable,False,1760,1799,False
Russian Revolution,Administration & Law,Business,Administration & Law + Business,1626,750,5,6.026806714462811,-0.24694569717531004,-1.9463654477378747,0.6425090306896533,0.6664461880991914,0.6616691654172914,0.006666666666666667,-0.4811342084938597,0.4480187842511526,-1.3592510256261188,0.3969826086383994,0.28286066390932896,0.6947526236881559,0.3126354706366267,not distinguishable,True,1760,1799,False
Russian Revolution,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,1626,750,16,21.30694854128397,-0.40232188249278084,-1.1387744169931175,0.11268004669758593,0.3215000175791939,0.2013993003498251,0.021333333333333333,-0.596568967260908,0.27558974469762715,-1.1367248668682572,-0.0564130676535588,0.030410709657263325,0.24878737102037216,0.03756617075308999,not distinguishable,False,1760,1799,False
Russian Revolution,Administration & Law,Religion,Administration & Law + Religion,1626,750,1,4.013444436264654,-1.589266346170783,-3.4196132513907047,-0.27750181199564355,0.996995888456768,0.14442778610694654,0.0013333333333333333,-1.8465817921897698,0.8276300578630597,-3.4687367056013665,-0.2244268787781729,0.025669995491447876,0.2166416791604198,0.03369186908252534,not distinguishable,True,1760,1799,False
Russian Revolution,Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,1626,750,19,21.122909377304918,-0.1490865277664765,-0.7695889778214343,0.31873039217775984,0.282034402047074,0.5877061469265368,0.025333333333333333,-1.4662815070643318,0.2575339752831376,-1.9710480986192813,-0.9615149155093822,1.2442775137465285e-08,0.6495699518661722,6.532456947169275e-08,not distinguishable,False,1760,1799,False
Russian Revolution,Military,Business,Military + Business,1626,750,14,29.41146902414784,-1.04464586617857,-1.8449838128043212,-0.45638768836535215,0.36059663889342497,0.008995502248875561,0.018666666666666668,-1.4753272523034513,0.2830426868699951,-2.030090918568642,-0.9205635860382608,1.8642885919115977e-07,0.020989505247376312,6.525010071690593e-07,dissociated,False,1760,1799,False
Russian Revolution,Military,Nobility & Kinship,Military + Nobility & Kinship,1626,750,155,103.9802148486427,0.5736848116595026,0.43756292789909257,0.706273835258257,0.0691971962131654,0.0004997501249375312,0.20666666666666667,0.2960781145167138,0.11883788509688979,0.06315585972680979,0.5290003693066178,0.012722448250956364,0.0020989505247376314,0.019083672376434546,associated,False,1760,1799,False
Russian Revolution,Military,Religion,Military + Religion,1626,750,2,19.586043208266016,-3.0061933925413546,-5.420537812347527,-1.854887683977492,0.9992569881613225,0.0004997501249375312,0.0026666666666666666,-3.353759365203678,0.6406568522768527,-4.609446795666309,-2.0980719347410473,1.6509540409034347e-07,0.0020989505247376314,6.525010071690593e-07,dissociated,True,1760,1799,False
Russian Revolution,Military,Learning & Culture,Military + Learning & Culture,1626,750,73,103.08208381059059,-0.49495833220160296,-0.7725670869004946,-0.27481106945484646,0.12300463390734674,0.0009995002498750624,0.09733333333333333,-2.470920026088195,0.14092147591670454,-2.7471261188849363,-2.194713933291454,7.879588395844696e-69,0.002623688155922039,1.6547135631273863e-67,dissociated,False,1760,1799,False
