revolution,category,n_holding,share_holding,n_primary,share_primary,level
Russian Revolution,Politics,3068,0.22032315978456016,2196,0.1577019748653501,sector
Russian Revolution,Administration & Law,840,0.06032315978456014,370,0.02657091561938959,sector
Russian Revolution,Military,1796,0.1289766606822262,1323,0.09500897666068223,sector
Russian Revolution,Religion,821,0.058958707360861756,555,0.03985637342908438,sector
Russian Revolution,Nobility,444,0.031885098743267504,127,0.009120287253141832,sector
Russian Revolution,Kinship,556,0.039928186714542194,51,0.0036624775583482946,sector
Russian Revolution,Big business,345,0.024775583482944345,165,0.0118491921005386,sector
Russian Revolution,Small business,847,0.06082585278276481,122,0.008761220825852782,sector
Russian Revolution,Academia,3820,0.27432675044883303,2715,0.19497307001795333,sector
Russian Revolution,Exploration & Invention,526,0.0377737881508079,226,0.01622980251346499,sector
Russian Revolution,Culture (core),4984,0.3579174147217235,4463,0.32050269299820466,sector
Russian Revolution,Culture (periphery),1437,0.10319569120287253,584,0.04193895870736086,sector
Russian Revolution,Sport & Games,1110,0.07971274685816876,1028,0.07382405745062837,sector
Russian Revolution,Politics,3068,0.22032315978456016,2196,0.1577019748653501,group
Russian Revolution,Administration & Law,840,0.06032315978456014,370,0.02657091561938959,group
Russian Revolution,Military,1796,0.1289766606822262,1323,0.09500897666068223,group
Russian Revolution,Business,1165,0.0836624775583483,287,0.020610412926391382,group
Russian Revolution,Nobility & Kinship,929,0.0667145421903052,178,0.012782764811490125,group
Russian Revolution,Religion,821,0.058958707360861756,555,0.03985637342908438,group
Russian Revolution,Learning & Culture,9004,0.6466068222621185,7988,0.5736445242369839,group
